Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Азовская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	72641	1391	884	359	634	89	305	98	398	1169	487	660	1412	230	487	461	512	1171	827	1064	760	237	163	286	207	2198	1225	1590	1646	109	169	214	1008	675	211	168	215	2123	1905	1084	1297	396	150	312	1010	2177	2245	2216	2340	1689	453	757	219	97	1296	411	1828	551	446	708	2736	113	548	186	726	206	1325	1865	1161	1257	259	803	1166	1448	1932	1701	2037	733	520	926	1345	219									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70585	1400	885	365	625	90	300	100	390	1165	485	645	1405	230	485	460	515	1170	830	1070	770	240	160	295	205	2200	1230	1600	1670	110	170	210	1010	680	210	170	215	2080	1910	1080	1310	395	150	315	1010	2225	2285	2245	2385	1610	460	760	215	100	1300	405	1855	560	445	710	2250	105	550	190	700	210	1050	1500	1000	1100	240	750	1100	1400	1850	1650	1800	650	500	900	1300	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39796	919	279	224	197	57	166	66	217	509	203	275	604	131	200	183	224	520	271	364	288	101	68	102	77	758	464	662	525	36	56	107	614	410	145	126	179	1753	1281	740	891	277	100	220	712	1345	1272	1352	1417	1093	200	305	154	57	712	204	1456	508	400	530	921	47	410	160	600	163	632	753	394	775	196	599	805	847	664	1340	674	526	443	613	831	97									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2589	181	68	13	71	9	50	15	44	31	11	11	230	8	8	13	0	26	39	16	18	0	0	4	7	27	23	20	19	25	3	0	44	64	16	0	0	26	78	90	49	30	8	4	33	4	12	2	15	14	0	63	23	16	81	35	10	18	35	17	24	10	5	10	22	7	45	54	70	80	4	84	34	32	23	17	52	27	7	69	121	15									
6	Число погашенных избирательных бюллетеней	28200	300	538	128	357	24	84	19	129	625	271	359	571	91	277	264	291	624	520	690	464	139	92	189	121	1415	743	918	1126	49	111	103	352	206	49	44	36	301	551	250	370	88	42	91	265	876	1001	891	953	503	260	392	38	27	507	166	389	34	10	163	1305	48	135	20	78	40	373	693	536	245	40	67	261	521	1163	293	1074	97	50	218	348	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2589	181	68	13	71	9	50	15	44	31	11	11	230	8	8	13	0	26	39	16	18	0	0	4	7	27	23	20	19	25	3	0	44	64	16	0	0	26	78	90	49	30	8	4	33	4	12	2	15	14	0	63	23	16	81	35	10	18	35	17	24	10	5	10	22	7	45	54	70	80	4	84	34	32	23	17	52	27	7	69	121	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39793	919	279	224	197	57	166	66	217	509	203	275	604	131	200	183	224	520	271	364	288	101	68	102	77	758	464	662	525	36	56	107	614	410	145	126	179	1753	1281	740	891	277	100	220	712	1345	1272	1352	1417	1093	200	302	154	57	712	204	1456	508	400	530	921	47	410	160	600	163	632	753	394	775	196	599	805	847	664	1340	674	526	443	613	831	97									
9	Число недействительных избирательных бюллетеней	555	10	8	0	10	0	3	0	0	16	12	12	11	0	6	9	12	21	17	9	7	12	0	5	1	15	0	13	19	0	0	11	4	0	0	9	0	9	12	1	3	5	1	2	6	18	11	2	5	2	2	4	0	0	0	1	6	0	3	8	12	0	0	0	0	0	11	20	22	5	0	19	54	7	21	10	11	2	5	0	0	3									
10	Число действительных избирательных бюллетеней	41827	1090	339	237	258	66	213	81	261	524	202	274	823	139	202	187	212	525	293	371	299	89	68	101	83	770	487	669	525	61	59	96	654	474	161	117	179	1770	1347	829	937	302	107	222	739	1331	1273	1352	1427	1105	198	361	177	73	793	238	1460	526	432	539	933	57	415	170	622	170	666	787	442	850	200	664	785	872	666	1347	715	551	445	682	952	109									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1550	30	20	20	20	10	10	10	10	20	10	10	30	10	10	10	10	15	20	15	20	10	10	10	10	50	50	40	50	10	10	10	10	10	10	10	10	10	40	30	30	10	10	10	10	35	35	35	35	20	10	15	10	10	15	10	25	10	10	15	40	10	15	10	10	5	40	40	30	20	15	10	35	35	35	35	30	15	15	15	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	386	4	0	3	1	1	1	0	0	7	2	3	3	0	0	1	0	5	8	2	11	1	0	3	2	11	9	24	16	0	4	2	1	5	0	0	0	6	5	3	5	0	0	5	1	21	17	13	11	6	7	4	1	0	3	3	8	3	0	2	22	0	1	0	3	0	12	15	5	6	1	2	4	10	12	16	8	5	5	0	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	217	1	7	0	5	0	2	0	7	11	0	5	2	0	1	0	0	6	3	2	4	0	0	1	3	3	8	16	1	0	6	1	0	4	0	0	0	17	1	0	0	0	1	1	2	1	6	1	2	4	0	1	0	0	1	4	3	0	0	3	8	2	1	0	3	0	3	12	3	5	11	6	0	2	6	1	2	0	0	1	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	1164	26	20	17	19	9	9	10	10	13	8	7	27	10	10	9	10	10	12	13	9	9	10	7	8	39	41	16	34	10	6	8	9	5	10	10	10	4	35	27	25	10	10	5	9	14	18	22	24	14	3	11	9	10	12	7	17	7	10	13	18	10	14	10	7	5	28	25	25	14	14	8	31	25	23	19	22	10	10	15	17	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	329	6	8	2	3	1	0	0	0	6	2	5	1	0	6	9	3	11	0	4	11	2	1	0	2	7	0	7	9	0	0	2	4	0	0	0	0	0	9	8	0	1	0	0	3	14	0	8	4	0	4	2	3	0	0	2	45	0	0	4	7	0	3	2	0	0	6	13	0	6	3	4	4	9	13	5	9	5	7	4	10	0									
		0.78%	0.55%	2.31%	0.84%	1.12%	1.52%	0.00%	0.00%	0.00%	1.11%	0.93%	1.75%	0.12%	0.00%	2.88%	4.59%	1.34%	2.01%	0.00%	1.05%	3.59%	1.98%	1.47%	0.00%	2.38%	0.89%	0.00%	1.03%	1.65%	0.00%	0.00%	1.87%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.96%	0.00%	0.33%	0.00%	0.00%	0.40%	1.04%	0.00%	0.59%	0.28%	0.00%	2.00%	0.55%	1.69%	0.00%	0.00%	0.84%	3.07%	0.00%	0.00%	0.73%	0.74%	0.00%	0.72%	1.18%	0.00%	0.00%	0.89%	1.61%	0.00%	0.70%	1.50%	0.59%	0.48%	1.02%	1.89%	0.37%	1.24%	0.90%	1.56%	0.59%	1.05%	0.00%									
