Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Тула, Пролетарская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064					
1	"Число избирателей, внесенных в список избирателей"	129979	162	137	50	165	250	295	1330	218	144	372	1010	1688	1616	1805	2368	718	1546	1988	1302	2455	2616	2378	2072	2018	2377	2703	2695	2286	2366	1801	1780	2565	2226	2466	1931	1865	1710	2330	1276	2407	1772	1648	2541	2383	2516	2440	2472	2030	2075	1504	1527	1199	1999	2149	1977	1410	1641	2228	2556	1087	1578	2711	2591	1214	945	1431	1842	2068	2269	1871	1641	1431	1764	2380	1602					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	130250	250	150	50	250	250	300	1500	250	200	750	1000	1700	1700	1800	2400	700	1500	2000	1200	2300	2700	2400	2100	2000	2300	2800	2700	2300	2300	2000	2000	2600	2200	2500	2000	1900	1700	2200	1200	2400	1800	1600	2400	2300	2400	2400	2500	2100	2500	1500	1500	1400	2000	2200	2000	1400	1600	2300	2500	1100	1600	2600	2500	1200	900	1400	1700	1900	2100	1800	1500	1500	1600	2400	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	97750	150	137	48	158	250	252	1021	217	136	265	763	1283	1555	1677	1950	339	1252	1409	1077	2154	2440	2163	1218	1905	1786	2184	1480	1485	1951	1719	1554	2176	1978	2176	1546	820	1436	1807	963	1318	1384	1236	2000	2189	2014	1327	1552	1272	1400	834	1390	1116	887	1300	1252	628	1128	1116	1771	763	1256	2056	1928	1009	422	1147	1395	1721	1844	1635	1378	1141	1462	1956	643					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3427	11	0	2	7	0	43	309	0	0	107	20	17	22	35	31	27	30	26	11	14	21	11	22	19	67	59	41	54	54	26	29	59	56	64	20	24	20	33	29	46	39	52	20	33	24	34	42	18	37	31	14	15	33	27	121	38	40	43	24	27	38	100	53	20	149	29	23	46	25	40	39	37	25	42	583					
6	Число погашенных избирательных бюллетеней	29073	89	13	0	85	0	5	170	33	64	378	217	400	123	88	419	334	218	565	112	132	239	226	860	76	447	557	1179	761	295	255	417	365	166	260	434	1056	244	360	208	1036	377	312	380	78	362	1039	906	810	1063	635	96	269	1080	873	627	734	432	1141	705	310	306	444	519	171	329	224	282	133	231	125	83	322	113	402	274					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3427	11	0	2	7	0	43	309	0	0	107	20	17	22	35	31	27	30	26	11	14	21	11	22	19	67	59	41	54	54	26	29	59	56	64	20	24	20	33	29	46	39	52	20	33	24	34	42	18	37	31	14	15	33	27	121	38	40	43	24	27	38	100	53	20	149	29	23	46	25	40	39	37	25	42	583					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	97745	150	137	48	158	250	252	1021	217	136	265	763	1283	1555	1677	1950	339	1251	1409	1077	2154	2440	2163	1218	1905	1786	2184	1480	1485	1951	1719	1554	2176	1978	2176	1546	820	1436	1807	963	1318	1384	1235	2000	2189	2014	1327	1552	1272	1400	834	1390	1116	887	1300	1252	628	1128	1116	1771	763	1256	2056	1925	1009	422	1147	1395	1721	1844	1635	1378	1141	1462	1956	643					
9	Число недействительных избирательных бюллетеней	956	3	3	1	0	0	2	24	4	0	6	7	10	14	5	11	4	7	20	13	31	12	21	19	5	26	0	19	12	11	9	0	24	15	15	11	8	23	17	7	13	15	10	8	26	13	12	17	16	9	12	10	11	7	20	16	9	12	16	25	3	6	18	23	20	9	15	16	13	44	29	11	12	11	18	12					
10	Число действительных избирательных бюллетеней	100216	158	134	49	165	250	293	1306	213	136	366	776	1290	1563	1707	1970	362	1274	1415	1075	2137	2449	2153	1221	1919	1827	2243	1502	1527	1994	1736	1583	2211	2019	2225	1555	836	1433	1823	985	1351	1408	1277	2012	2196	2025	1349	1577	1274	1428	853	1394	1120	913	1307	1357	657	1156	1143	1770	787	1288	2138	1955	1009	562	1161	1402	1754	1825	1646	1406	1166	1476	1980	1214					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2784	0	0	0	0	0	0	0	0	0	0	30	43	36	36	58	15	36	47	20	41	46	67	42	40	54	58	51	45	57	26	41	87	46	63	53	63	40	53	21	60	30	27	41	60	53	43	46	63	72	46	50	20	35	50	31	28	44	43	68	23	41	45	45	21	11	31	38	30	45	50	40	28	33	48	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2783	0	0	0	0	0	0	0	0	0	0	30	43	36	36	58	15	36	47	20	41	46	67	42	40	54	58	51	45	57	26	41	87	46	63	53	62	40	53	21	60	30	27	41	60	53	43	46	63	72	46	50	20	35	50	31	28	44	43	68	23	41	45	45	21	11	31	38	30	45	50	40	28	33	48	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3035	77	30	31	65	137	70	553	134	12	189	14	26	104	99	36	13	23	14	18	41	18	17	13	13	62	10	33	22	56	12	12	28	21	34	13	30	34	19	12	12	7	19	79	117	53	17	20	10	16	13	14	12	14	16	12	14	15	13	13	20	10	12	27	40	16	28	16	9	29	16	29	98	14	24	16					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1516	0	0	0	0	0	0	0	0	0	0	7	18	19	23	18	5	17	18	17	27	34	34	33	30	26	50	30	24	22	21	22	26	17	35	42	24	17	28	17	40	27	10	26	35	40	23	21	43	34	28	28	13	35	34	24	14	9	27	48	13	15	14	31	15	10	8	15	18	25	28	16	8	17	13	10					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8542	28	15	6	12	28	53	174	20	14	47	38	75	87	105	172	32	103	120	68	175	199	172	162	140	216	157	177	189	163	97	74	173	193	170	123	128	128	134	84	160	118	103	159	144	76	143	161	129	148	83	99	85	115	127	130	86	122	133	148	74	82	171	139	63	59	100	136	154	137	124	125	110	113	150	85					
		8.44%	17.39%	10.95%	12.00%	7.27%	11.20%	17.97%	13.08%	9.22%	10.29%	12.63%	4.85%	5.77%	5.52%	6.13%	8.68%	8.74%	8.04%	8.36%	6.25%	8.07%	8.09%	7.91%	13.06%	7.28%	11.66%	6.99%	11.64%	12.28%	8.13%	5.56%	4.67%	7.74%	9.49%	7.59%	7.85%	15.17%	8.79%	7.28%	8.47%	11.73%	8.29%	8.00%	7.87%	6.48%	3.73%	10.51%	10.10%	10.00%	10.30%	9.60%	7.05%	7.52%	12.50%	9.57%	9.47%	12.91%	10.45%	11.48%	8.25%	9.37%	6.34%	7.93%	7.03%	6.12%	10.33%	8.50%	9.59%	8.72%	7.33%	7.40%	8.82%	9.34%	7.60%	7.51%	6.93%					
