Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Георгиевская городская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46260	2215	1720	1754	1785	1434	1747	1257	1917	1725	2203	1790	1684	2577	1958	1641	1783	1593	1657	2068	1592	2255	1600	1659	2306	2340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45750	2200	1700	1750	1750	1500	1700	1250	1900	1700	2150	1750	1650	2550	1950	1600	1750	1600	1650	2050	1550	2200	1600	1650	2300	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15627	577	507	590	543	692	636	482	507	479	729	587	500	684	632	501	537	641	583	685	504	728	543	663	1136	961									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3133	253	118	176	139	42	161	127	53	114	105	116	117	169	128	150	20	122	268	185	71	240	130	90	21	18									
6	Число погашенных избирательных бюллетеней	26990	1370	1075	984	1068	766	903	641	1340	1107	1316	1047	1033	1697	1190	949	1193	837	799	1180	975	1232	927	897	1143	1321									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3133	253	118	176	139	42	161	127	53	114	105	116	117	169	128	150	20	122	268	185	71	240	130	90	21	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15602	577	507	590	543	692	636	479	507	479	717	582	500	684	632	501	537	641	583	685	502	728	540	663	1136	961									
9	Число недействительных избирательных бюллетеней	517	10	21	8	15	38	17	17	24	27	35	19	17	14	37	25	10	16	8	11	23	38	5	31	17	34									
10	Число действительных избирательных бюллетеней	18218	820	604	758	667	696	780	589	536	566	787	679	600	839	723	626	547	747	843	859	550	930	665	722	1140	945									
