Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Рыбинск, Пролетарская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382					
1	"Число избирателей, внесенных в список избирателей"	86543	1299	1154	1774	1928	1873	1896	1736	1769	1790	1751	1786	1721	1799	1786	1694	1607	1462	2046	1753	1413	1573	1296	662	1141	1573	1504	1492	835	590	1515	1071	717	2086	1894	2229	1174	1139	1877	1408	1329	1932	1839	506	1788	1576	1073	1112	1181	479	1628	1431	1489	1565	1451	1891	2107	1754	340	259					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85850	1300	1150	1750	1900	1850	1900	1750	1750	1750	1750	1800	1700	1750	1800	1700	1600	1450	2050	1750	1400	1500	1250	650	1100	1550	1500	1500	800	550	1500	1050	700	2100	1900	2250	1200	1100	1900	1400	1300	1950	1850	450	1800	1550	1050	1100	1150	450	1650	1450	1450	1550	1450	1900	2100	1700	340	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43232	617	631	963	1102	1050	1078	965	980	948	919	956	970	918	965	853	932	752	1114	990	757	688	527	226	540	610	643	661	344	200	756	586	256	1084	913	1163	536	563	913	736	702	848	894	259	950	732	585	617	559	173	772	742	822	747	658	650	873	727	340	177					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2311	32	40	5	11	12	13	23	16	41	13	38	29	91	39	26	40	20	32	40	54	18	110	107	27	85	59	36	23	50	44	26	16	62	61	34	67	16	22	15	14	37	26	104	40	18	31	21	29	18	27	32	28	40	27	80	75	111	0	60					
6	Число погашенных избирательных бюллетеней	40307	651	479	782	787	788	809	762	754	761	818	806	701	741	796	821	628	678	904	720	589	794	613	317	533	855	798	803	433	300	700	438	428	954	926	1053	597	521	965	649	584	1065	930	87	810	800	434	462	562	259	851	676	600	763	765	1170	1152	862	0	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2310	32	40	5	11	12	13	23	16	41	13	38	29	91	39	26	40	20	32	40	54	18	110	107	27	85	59	36	23	50	44	26	16	62	61	34	67	16	22	15	14	37	26	104	40	18	31	21	29	18	27	32	28	40	27	80	75	111	0	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43205	617	630	960	1099	1050	1075	965	980	948	919	955	970	917	964	852	932	752	1113	990	757	686	527	226	540	607	643	661	344	200	756	584	256	1084	913	1163	536	562	912	736	702	848	894	259	950	729	585	617	559	173	772	742	822	747	658	650	873	727	340	177					
9	Число недействительных избирательных бюллетеней	641	5	13	10	13	9	20	7	18	23	5	21	12	10	16	14	19	11	21	25	16	8	10	4	6	10	8	7	2	1	8	8	1	9	13	9	9	3	16	13	6	11	14	28	15	16	7	5	6	4	9	11	8	20	7	8	21	8	3	1					
10	Число действительных избирательных бюллетеней	44874	644	657	955	1097	1053	1068	981	978	966	927	972	987	998	987	864	953	761	1124	1005	795	696	627	329	561	682	694	690	365	249	792	602	271	1137	961	1188	594	575	918	738	710	874	906	335	975	731	609	633	582	187	790	763	842	767	678	722	927	830	337	235					
