Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
"Наименование Избирательной комиссии:    Рыбинск, Пролетарская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378					
1	"Число избирателей, внесенных в списки избирателей"	89364	1275	1269	1883	1961	1715	1936	1832	1875	1857	1798	1911	1845	1865	1873	1784	1708	1787	1844	1868	1532	1765	1115	613	1138	1618	1637	1566	796	543	1639	1114	690	2157	2017	2390	1213	1215	1892	1490	1354	1973	1909	526	1900	1370	1321	1040	1198	463	1646	1551	1542	1756	1468	1948	2100	1755	312	206					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	83812	1100	1100	1800	1800	1800	1800	1700	1800	1800	1700	1800	1700	1700	1800	1700	1600	1600	1800	1700	1500	1600	1100	600	1000	1500	1500	1400	700	500	1500	1000	600	2000	2000	2300	1100	1100	1800	1400	1200	2000	1800	500	1800	1200	1200	1000	1100	400	1500	1500	1500	1700	1400	1800	2000	1700	312	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49488	652	755	1111	1195	1141	1175	1132	1136	1080	1052	1098	1106	1071	1075	1004	1105	1032	1088	1162	867	786	521	266	605	766	738	780	372	201	888	665	322	1172	1101	1310	619	652	1040	839	774	1042	1069	276	1101	755	752	612	667	201	869	876	896	977	764	832	1028	843	310	164					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2693	43	54	19	10	16	17	21	33	54	41	53	39	60	53	48	42	34	75	50	74	35	48	52	37	125	57	49	19	63	46	53	23	49	69	29	80	22	27	29	21	26	38	112	36	20	58	22	46	30	34	44	35	47	21	123	82	118	2	30					
6	Число погашенных избирательных бюллетеней	31631	405	291	670	595	643	608	547	631	666	607	649	555	569	672	648	453	534	637	488	559	779	531	282	358	609	705	571	309	236	566	282	255	779	830	961	401	426	733	532	405	932	693	112	663	425	390	366	387	169	597	580	569	676	615	845	890	739	0	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2693	43	54	19	10	16	17	21	33	54	41	53	39	60	53	48	42	34	75	50	74	35	48	52	37	125	57	49	19	63	46	53	23	49	69	29	80	22	27	29	21	26	38	112	36	20	58	22	46	30	34	44	35	47	21	123	82	118	2	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49444	652	755	1109	1193	1135	1175	1130	1136	1080	1052	1096	1106	1070	1074	1002	1105	1032	1086	1162	867	783	521	266	605	766	738	780	372	201	878	665	322	1171	1101	1310	619	652	1040	839	774	1041	1069	276	1101	755	752	609	667	201	869	876	891	977	763	832	1028	843	310	164					
9	Число недействительных избирательных бюллетеней	411	5	7	4	9	12	8	4	6	9	7	5	12	12	12	5	7	4	12	7	14	4	3	1	3	5	11	11	1	1	12	4	6	8	7	4	2	5	9	6	1	7	13	24	6	13	6	6	2	4	6	6	7	9	5	6	11	6	7	2					
10	Число действительных избирательных бюллетеней	51726	690	802	1124	1194	1139	1184	1147	1163	1125	1086	1144	1133	1118	1115	1045	1140	1062	1149	1205	927	814	566	317	639	886	784	818	390	263	912	714	339	1212	1163	1335	697	669	1058	862	794	1060	1094	364	1131	762	804	625	711	227	897	914	919	1015	779	949	1099	955	305	192					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1304	30	20	20	20	20	20	25	30	30	25	30	40	22	25	25	30	24	20	24	23	20	15	10	15	20	20	20	10	10	47	15	10	20	30	25	15	17	20	21	20	30	25	10	25	25	18	15	30	10	83	17	20	21	22	25	25	20	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1120	27	17	20	19	17	19	25	26	27	24	26	38	22	19	24	25	24	19	24	22	11	9	1	10	20	16	9	1	4	40	12	6	20	29	25	14	17	20	21	15	25	15	1	25	24	15	15	28	2	69	17	20	21	21	24	19	15	0	0					
