Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Зимовниковская районная																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593					
1	"Число избирателей, внесенных в списки избирателей"	26747	1735	1588	1405	1488	2374	1059	1774	1444	565	294	426	128	125	295	873	836	265	403	1064	381	1216	992	500	631	780	624	1220	474	831	957					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24320	1550	1400	1250	1300	2100	900	1550	1200	500	290	480	150	150	270	850	750	250	420	900	370	1100	900	500	650	730	550	1150	450	780	880					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14026	892	754	762	792	1219	501	834	703	170	131	246	82	64	148	658	412	228	196	438	195	865	504	302	391	409	268	708	260	430	464					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1902	92	51	20	48	73	42	53	76	97	34	37	13	5	54	120	57	21	44	92	58	35	50	27	42	93	120	155	17	115	161					
6	Число погашенных избирательных бюллетеней	8392	566	595	468	460	808	357	663	421	233	125	197	55	81	68	72	281	1	180	370	117	200	346	171	217	228	162	287	173	235	255					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1902	92	51	20	48	73	42	53	76	97	34	37	13	5	54	120	57	21	44	92	58	35	50	27	42	93	120	155	17	115	161					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14020	892	754	762	792	1213	501	834	703	170	131	246	82	64	148	658	412	228	196	438	195	865	504	302	391	409	268	708	260	430	464					
9	Число недействительных избирательных бюллетеней	123	11	6	7	4	6	3	7	12	1	0	3	0	0	6	3	2	5	2	1	4	3	2	0	10	3	3	12	1	2	4					
10	Число действительных избирательных бюллетеней	15799	973	799	775	836	1280	540	880	767	266	165	280	95	69	196	775	467	244	238	529	249	897	552	329	423	499	385	851	276	543	621					
