Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Плюсская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551					
1	"Число избирателей, внесенных в списки избирателей"	8117	346	278	854	302	304	1937	1073	303	315	334	545	480	1046					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8332	400	300	900	300	282	1950	1100	300	350	350	550	450	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3956	128	110	420	90	115	1120	539	161	140	142	185	192	614					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1823	92	120	137	153	113	259	171	93	124	109	173	160	119					
6	Число погашенных избирательных бюллетеней	2553	180	70	343	57	54	571	390	46	86	99	192	98	367					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1823	92	120	137	153	113	259	171	93	124	109	173	160	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3956	128	110	420	90	115	1120	539	161	140	142	185	192	614					
9	Число недействительных избирательных бюллетеней	32	2	1	3	1	1	15	2	2	0	2	0	1	2					
10	Число действительных избирательных бюллетеней	5747	218	229	554	242	227	1364	708	252	264	249	358	351	731					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	444	25	5	60	10	15	95	40	10	65	5	10	10	94					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	444	25	5	60	10	15	95	40	10	65	5	10	10	94					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	137	5	1	10	15	12	30	12	4	9	3	6	21	9					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	4	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	170	11	4	19	5	11	39	14	7	9	1	17	10	23					
		2.94%	5.00%	1.74%	3.41%	2.06%	4.82%	2.83%	1.97%	2.76%	3.41%	0.40%	4.75%	2.84%	3.14%					
19	2.Всероссийская политическая партия «Гражданская Сила»	32	2	0	2	0	3	15	5	1	1	0	1	1	1					
		0.55%	0.91%	0.00%	0.36%	0.00%	1.32%	1.09%	0.70%	0.39%	0.38%	0.00%	0.28%	0.28%	0.14%					
20	3.Политическая партия «Демократическая партия России»	5	0	1	0	2	0	0	0	0	1	1	0	0	0					
		0.09%	0.00%	0.43%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.38%	0.40%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	568	18	18	42	19	12	136	42	6	20	14	33	52	156					
		9.83%	8.18%	7.83%	7.54%	7.82%	5.26%	9.86%	5.92%	2.36%	7.58%	5.58%	9.22%	14.77%	21.28%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	2	1	1	0	0	5	2	0	0	0	0	0	0					
		0.19%	0.91%	0.43%	0.18%	0.00%	0.00%	0.36%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	15	1	0	0	0	0	4	3	0	0	1	0	3	3					
		0.26%	0.45%	0.00%	0.00%	0.00%	0.00%	0.29%	0.42%	0.00%	0.00%	0.40%	0.00%	0.85%	0.41%					
24	7.Политическая партия «Либерально-демократическая партия России»	479	20	17	41	17	11	123	59	19	33	28	33	40	38					
		8.29%	9.09%	7.39%	7.36%	6.99%	4.82%	8.92%	8.31%	7.48%	12.50%	11.16%	9.22%	11.36%	5.18%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	580	13	32	48	37	31	157	101	20	15	10	25	35	56					
		10.04%	5.91%	13.91%	8.62%	15.23%	13.60%	11.39%	14.23%	7.87%	5.68%	3.98%	6.98%	9.94%	7.64%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	37	2	3	2	0	0	10	10	0	2	0	4	2	2					
		0.64%	0.91%	1.30%	0.36%	0.00%	0.00%	0.73%	1.41%	0.00%	0.76%	0.00%	1.12%	0.57%	0.27%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3812	147	152	393	162	159	866	465	198	182	192	245	205	446					
		65.96%	66.82%	66.09%	70.56%	66.67%	69.74%	62.80%	65.49%	77.95%	68.94%	76.49%	68.44%	58.24%	60.85%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	38	2	1	6	0	0	9	7	1	1	2	0	3	6					
		0.66%	0.91%	0.43%	1.08%	0.00%	0.00%	0.65%	0.99%	0.39%	0.38%	0.80%	0.00%	0.85%	0.82%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
