Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Плюсская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550					
1	"Число избирателей, внесенных в список избирателей"	7929	312	272	824	286	327	1926	953	274	457	442	374	440	1042					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8100	320	280	890	280	300	2000	980	290	470	450	400	420	1020					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3056	100	85	315	76	103	858	383	128	107	110	157	164	470					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1416	79	101	99	121	119	207	78	74	120	145	78	110	85					
6	Число погашенных избирательных бюллетеней	3628	141	94	476	83	78	935	519	88	243	195	165	146	465					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1416	79	101	99	121	119	207	78	74	120	145	78	110	85					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3056	100	85	315	76	103	858	383	128	107	110	157	164	470					
9	Число недействительных избирательных бюллетеней	53	4	0	1	2	2	12	9	0	5	1	1	5	11					
10	Число действительных избирательных бюллетеней	4419	175	186	413	195	220	1053	452	202	222	254	234	269	544					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	145	5	0	25	2	0	60	15	0	3	0	5	5	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	128	5	0	25	2	0	60	15	0	3	0	5	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	124	1	1	5	5	6	40	14	1	7	1	3	6	34					
14	Число погашенных неиспользованных открепительных удостоверений	17	0	0	0	0	0	0	0	0	0	0	0	0	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	3	0	0	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	831	55	28	88	38	37	217	82	32	53	26	47	36	92					
		18.58%	30.73%	15.05%	21.26%	19.29%	16.67%	20.38%	17.79%	15.84%	23.35%	10.20%	20.00%	13.14%	16.58%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	606	21	26	43	26	29	158	73	19	37	57	22	38	57					
		13.55%	11.73%	13.98%	10.39%	13.20%	13.06%	14.84%	15.84%	9.41%	16.30%	22.35%	9.36%	13.87%	10.27%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	3	0	5	1	4	16	3	0	1	2	2	1	2					
		0.89%	1.68%	0.00%	1.21%	0.51%	1.80%	1.50%	0.65%	0.00%	0.44%	0.78%	0.85%	0.36%	0.36%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	730	23	20	75	28	35	184	77	10	29	29	32	50	138					
		16.32%	12.85%	10.75%	18.12%	14.21%	15.77%	17.28%	16.70%	4.95%	12.78%	11.37%	13.62%	18.25%	24.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	103	0	4	4	1	3	36	19	2	2	3	3	5	21					
		2.30%	0.00%	2.15%	0.97%	0.51%	1.35%	3.38%	4.12%	0.99%	0.88%	1.18%	1.28%	1.82%	3.78%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2092	72	107	196	99	111	440	195	139	100	137	127	139	230					
		46.78%	40.22%	57.53%	47.34%	50.25%	50.00%	41.31%	42.30%	68.81%	44.05%	53.73%	54.04%	50.73%	41.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	17	1	1	2	2	1	2	3	0	0	0	1	0	4					
		0.38%	0.56%	0.54%	0.48%	1.02%	0.45%	0.19%	0.65%	0.00%	0.00%	0.00%	0.43%	0.00%	0.72%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
