Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Топкинская городская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051					
1	"Число избирателей, внесенных в список"	35344	116	301	169	664	193	441	160	100	212	109	527	1151	97	206	635	625	146	510	141	993	160	683	118	279	195	404	138	951	541	175	601	202	233	1473	1132	1305	1232	1094	1028	1208	1143	1331	1665	1260	1322	1328	1231	1316	1327	1230	1543					
2	Число полученных избирательных бюллетеней	32530	121	300	164	650	186	430	151	102	215	110	510	1100	94	220	630	620	153	500	135	970	155	680	122	280	193	400	140	950	500	171	550	198	230	1300	1100	1200	1100	1000	1000	1000	1100	1200	1400	1200	1200	1200	1000	1100	1100	1100	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25125	113	281	157	575	171	419	140	94	209	106	472	925	58	178	604	522	124	357	135	768	147	648	110	246	159	355	118	854	474	151	525	184	198	802	722	749	645	724	720	825	790	864	1079	747	886	836	715	804	865	764	1011					
5	"Число избирательных бюллетеней, выданных вне помещения"	2299	1	2	0	38	3	10	6	4	0	0	3	26	21	11	0	35	18	50	0	104	8	15	6	13	20	13	17	31	24	17	25	6	25	150	116	99	116	48	54	45	51	108	41	70	71	139	204	68	135	146	86					
6	Число погашенных избирательных бюллетеней	5106	7	17	7	37	12	1	5	4	6	4	35	149	15	31	26	63	11	93	0	98	0	17	6	21	14	32	5	65	2	3	0	8	7	348	262	352	339	228	226	130	259	228	280	383	243	225	81	228	100	190	203					
7	Число избирательных бюллетеней в переносных ящиках	2299	1	2	0	38	3	10	6	4	0	0	3	26	21	11	0	35	18	50	0	104	8	15	6	13	20	13	17	31	24	17	25	6	25	150	116	99	116	48	54	45	51	108	41	70	71	139	204	68	135	146	86					
8	Число бюллетеней в стационарных ящиках для голосования	25124	113	281	157	575	171	419	140	94	209	106	472	925	58	178	604	522	124	357	135	768	147	648	110	246	159	355	118	854	474	151	525	184	198	802	722	749	645	723	720	825	790	864	1079	747	886	836	715	804	865	764	1011					
9	Число недействительных избирательных бюллетеней	264	4	2	1	15	3	0	1	0	1	0	7	7	1	4	9	4	1	4	2	6	0	0	0	3	4	5	0	8	6	0	0	0	5	8	9	9	9	22	12	7	7	8	12	4	10	11	4	7	11	4	7					
10	Число действительных избирательных бюллетеней	27159	110	281	156	598	171	429	145	98	208	106	468	944	78	185	595	553	141	403	133	866	155	663	116	256	175	363	135	877	492	168	550	190	218	944	829	839	752	749	762	863	834	964	1108	813	947	964	915	865	989	906	1090					
11	Число полученных открепительных  удостоверений	319	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	10	10	10	10	10	10	10	10	10	13	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	134	0	0	0	4	1	0	0	1	1	1	6	4	1	0	2	2	3	4	0	2	0	1	0	0	0	0	2	6	1	0	2	0	2	2	3	5	3	4	4	4	7	6	11	2	8	4	3	10	5	4	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	197	3	3	2	3	4	4	3	1	3	1	3	6	1	1	1	1	2	7	4	4	21	0	3	1	1	1	3	8	7	5	3	1	3	5	0	3	4	6	4	6	5	8	2	8	6	8	3	4	6	1	4					
14	Число неиспользованных открепительных удостоверений	185	4	4	4	0	3	4	4	3	3	3	0	0	3	4	2	2	1	0	4	2	4	3	4	4	4	4	2	0	3	4	2	4	2	8	7	5	7	6	6	6	3	4	2	8	2	6	7	0	5	6	7					
15	"Число открепительных удостоверений, выданных в ТИК"	50	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	0	2	0	2	6	7	6	3	6	1	4	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
