Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    район Замоскворечье																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №3210	УИК №3211	УИК №3212	УИК №4002					
1	"Число избирателей, внесенных в список избирателей"	30320	2139	1664	1833	1672	1339	1601	2099	1586	2134	931	2013	1524	2109	1334	2242	2617	210	181	127	965					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25650	1770	1450	1540	1310	1140	1140	1650	1270	1770	820	1720	1400	1790	980	1900	2210	300	220	270	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19956	1501	1100	910	1045	843	1055	1378	1003	1436	643	1548	1138	1421	757	1454	1473	210	174	127	740					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	481	31	39	18	15	20	18	26	12	62	27	26	20	26	36	77	28	0	0	0	0					
6	Число погашенных избирательных бюллетеней	5213	238	311	612	250	277	67	246	255	272	150	146	242	343	187	369	709	90	46	143	260					
7	Число избирательных бюллетеней в переносных ящиках для голосования	481	31	39	18	15	20	18	26	12	62	27	26	20	26	36	77	28	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19695	1501	1095	908	1032	843	1055	1378	1003	1370	624	1436	1133	1419	757	1454	1436	210	174	127	740					
9	Число недействительных избирательных бюллетеней	285	23	12	18	24	21	21	25	6	19	5	21	16	23	10	27	13	0	1	0	0					
10	Число действительных избирательных бюллетеней	19891	1509	1122	908	1023	842	1052	1379	1009	1413	646	1441	1137	1422	783	1504	1451	210	173	127	740					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1219	89	73	78	66	57	51	83	64	89	60	88	72	90	50	97	112	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	510	27	32	26	35	34	24	24	23	42	48	27	30	48	14	37	39	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1153	54	43	36	127	51	60	107	21	78	12	86	0	46	31	0	40	0	0	0	361					
14	Число погашенных неиспользованных открепительных удостоверений	709	62	41	52	31	23	27	59	41	47	12	61	42	42	36	60	73	0	0	0	0					
