Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Ярославль, Фрунзенская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №880	УИК №881	УИК №882	УИК №883									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103767	1804	1542	1305	2573	2470	2531	2293	1934	2046	2063	1481	1408	2036	1373	2368	2249	1014	1035	2539	2446	2120	2160	1748	1758	2058	2253	1254	2443	2163	2390	2062	1516	1299	1572	1891	1697	1484	1820	1735	1700	1993	1845	1845	2021	1830	1486	2041	1569	1747	2027	2325	1857	2374	2440	470	118	43	103									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73510	1267	1078	910	1776	1707	1769	1604	1358	1439	1439	1458	986	1428	960	1662	1582	707	728	1782	1718	1488	1505	1226	1245	1443	1561	882	1713	1517	1675	1442	1069	916	1107	1323	1152	1036	1281	1220	1192	1397	1287	1301	1412	1284	1045	1438	1105	1226	1414	1640	1305	1673	1712	540	160	100	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36079	419	275	285	853	538	699	794	720	748	744	437	428	724	507	940	779	373	457	908	854	729	671	702	599	781	678	337	875	531	738	669	645	457	474	672	497	391	720	677	619	912	736	648	714	639	570	721	611	714	801	931	834	831	832	465	73	37	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	906	7	4	10	28	10	8	3	6	10	11	7	4	6	10	15	25	9	18	26	21	26	13	25	22	3	39	24	14	22	29	15	10	7	28	29	33	22	10	29	9	8	13	15	17	29	6	14	14	13	12	7	7	21	13	0	42	3	25									
6	Число погашенных избирательных бюллетеней	36525	841	799	615	895	1159	1062	807	632	681	684	1014	554	698	443	707	778	325	253	848	843	733	821	499	624	659	844	521	824	964	908	758	414	452	605	622	622	623	551	514	564	477	538	638	681	616	469	703	480	499	601	702	464	821	867	75	45	60	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	905	7	4	10	28	10	8	3	6	10	11	7	4	6	10	15	25	9	18	26	21	26	13	25	22	3	39	24	14	22	29	15	10	7	28	29	33	22	10	29	9	8	13	15	17	29	6	14	14	13	12	7	7	21	12	0	42	3	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36048	412	275	284	853	538	697	794	720	748	744	437	428	724	507	939	778	373	457	907	854	729	671	702	598	781	678	337	875	529	738	668	645	457	474	671	497	391	719	677	618	912	736	648	714	639	570	721	611	714	801	931	834	831	821	465	73	37	66									
9	Число недействительных избирательных бюллетеней	734	3	5	4	23	4	8	9	3	20	17	17	8	22	14	21	21	10	15	9	21	16	17	23	13	12	12	3	15	12	13	12	12	4	6	9	17	11	9	16	4	13	27	8	6	17	14	19	13	11	12	17	17	20	12	32	4	0	2									
10	Число действительных избирательных бюллетеней	36219	416	274	290	858	544	697	788	723	738	738	427	424	708	503	933	782	372	460	924	854	739	667	704	607	772	705	358	874	539	754	671	643	460	496	691	513	402	720	690	623	907	722	655	725	651	562	716	612	716	801	921	824	832	821	433	111	40	89									
