Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Александрово-Заводская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486					
1	"Число избирателей, внесенных в списки"	7049	1779	60	352	295	213	136	171	136	142	73	193	176	124	353	271	158	156	629	218	172	54	211	167	203	322	81	204					
2	"Число бюллетеней, полученных участковыми комиссиями"	7065	1550	71	345	300	211	135	170	131	150	110	200	170	125	380	265	160	152	685	215	170	60	212	160	365	300	80	193					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4517	907	59	286	222	153	107	114	86	133	61	116	133	87	273	156	112	122	335	118	93	54	124	95	177	184	64	146					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	427	57	1	0	11	0	0	14	7	9	12	23	2	8	0	36	19	11	62	14	22	0	28	15	26	36	5	9					
6	Число погашенных бюллетеней	2121	586	11	59	67	58	28	42	38	8	37	61	35	30	107	73	29	19	288	83	55	6	60	50	162	80	11	38					
7	Число бюллетеней в переносных ящиках для голосования	427	57	1	0	11	0	0	14	7	9	12	23	2	8	0	36	19	11	62	14	22	0	28	15	26	36	5	9					
8	Число бюллетеней в стационарных ящиках для голосования	4516	906	59	286	222	153	107	114	86	133	61	116	133	87	273	156	112	122	335	118	93	54	124	95	177	184	64	146					
9	Число недействительных бюллетеней	88	17	0	1	2	6	1	4	3	8	1	1	0	0	0	3	4	6	12	5	0	0	2	4	2	4	1	1					
10	Число действительных бюллетеней	4855	946	60	285	231	147	106	124	90	134	72	138	135	95	273	189	127	127	385	127	115	54	150	106	201	216	68	154					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	35	2	4	3	3	2	2	2	2	2	3	2	2	3	3	2	2	6	2	2	1	2	2	3	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	35	0	0	2	0	1	0	0	0	0	0	1	1	1	2	0	0	3	0	2	0	2	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1					
14	Число погашенных открепительных удостоверений	47	0	2	4	1	3	1	2	2	2	2	3	1	1	2	1	2	2	3	2	0	1	0	2	3	1	2	2					
15	Число открепительных удостоверений выданных ТИК	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	98	12	2	6	10	8	0	1	5	3	0	1	1	2	4	1	7	1	6	2	0	0	5	3	9	6	1	2					
		1.98%	1.24%	3.33%	2.09%	4.29%	5.22%	0.0%	0.78%	5.37%	2.11%	0.0%	0.71%	0.74%	2.10%	1.46%	0.52%	5.34%	0.75%	1.51%	1.51%	0.0%	0.0%	3.28%	2.72%	4.43%	2.72%	1.44%	1.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	23	4	0	0	1	0	1	0	1	0	0	0	2	1	1	0	4	0	0	0	0	1	0	0	2	2	0	3					
		0.46%	0.41%	0.0%	0.0%	0.42%	0.0%	0.93%	0.0%	1.07%	0.0%	0.0%	0.0%	1.48%	1.05%	0.36%	0.0%	3.05%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%	0.98%	0.90%	0.0%	1.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	149	34	0	4	10	3	0	9	4	7	0	3	3	2	4	4	5	4	15	2	8	0	1	8	11	4	3	1					
		3.01%	3.53%	0.0%	1.39%	4.29%	1.96%	0.0%	7.03%	4.30%	4.92%	0.0%	2.15%	2.22%	2.10%	1.46%	2.08%	3.81%	3.00%	3.77%	1.51%	6.95%	0.0%	0.65%	7.27%	5.41%	1.81%	4.34%	0.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	34	7	1	1	1	0	0	0	1	3	0	1	0	1	3	1	2	1	2	0	1	0	1	3	1	1	0	2					
		0.68%	0.72%	1.66%	0.34%	0.42%	0.0%	0.0%	0.0%	1.07%	2.11%	0.0%	0.71%	0.0%	1.05%	1.09%	0.52%	1.52%	0.75%	0.50%	0.0%	0.86%	0.0%	0.65%	2.72%	0.49%	0.45%	0.0%	1.29%					
22	"5. ""За Русь Святую"""	21	1	0	1	1	2	2	0	3	0	0	2	0	0	0	0	0	0	2	2	1	1	0	1	1	0	0	1					
		0.42%	0.10%	0.0%	0.34%	0.42%	1.30%	1.86%	0.0%	3.22%	0.0%	0.0%	1.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	1.51%	0.86%	1.85%	0.0%	0.90%	0.49%	0.0%	0.0%	0.64%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	2	0	0	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	3	0	1	1	0	0	0	1					
		0.28%	0.20%	0.0%	0.0%	0.85%	0.0%	0.93%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.76%	0.0%	0.0%	0.0%	2.60%	0.0%	0.65%	0.90%	0.0%	0.0%	0.0%	0.64%					
24	"7. ""Новый курс - Автомобильная Россия"""	17	3	2	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	2					
		0.34%	0.31%	3.33%	0.34%	1.71%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.86%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	1.29%					
25	"8. ""Народно-республиканская партия России"""	17	0	2	0	1	0	0	1	0	3	0	0	0	1	0	1	0	0	1	0	0	1	0	0	6	0	0	0					
		0.34%	0.0%	3.33%	0.0%	0.42%	0.0%	0.0%	0.78%	0.0%	2.11%	0.0%	0.0%	0.0%	1.05%	0.0%	0.52%	0.0%	0.0%	0.25%	0.0%	0.0%	1.85%	0.0%	0.0%	2.95%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.10%	0.0%	0.0%	0.0%	0.65%	0.0%	0.78%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	549	50	0	35	9	14	13	11	6	13	3	17	9	13	90	35	21	13	13	25	12	2	23	1	26	45	18	32					
