Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Верхотурская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331					
1	"Число избирателей, внесенных в списки"	12767	393	1768	1639	1852	605	239	1129	900	1029	96	455	335	163	560	411	444	390	161	198					
2	"Число бюллетеней, полученных участковыми комиссиями"	12680	390	1680	1640	1860	590	240	1120	890	1020	100	470	340	150	570	410	450	390	170	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5049	204	618	606	660	221	107	462	382	364	72	178	108	85	255	143	196	160	94	134					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	747	6	97	51	21	29	11	18	12	72	6	121	101	25	0	49	20	79	16	13					
6	Число погашенных бюллетеней	6884	180	965	983	1179	340	122	640	496	584	22	171	131	40	315	218	234	151	60	53					
7	Число бюллетеней в переносных ящиках для голосования	747	6	97	51	21	29	11	18	12	72	6	121	101	25	0	49	20	79	16	13					
8	Число бюллетеней в стационарных ящиках для голосования	5049	204	618	606	660	221	107	462	382	364	72	178	108	85	255	143	196	160	94	134					
9	Число недействительных бюллетеней	125	1	18	7	17	5	0	11	4	26	3	8	6	1	2	6	3	7	0	0					
10	Число действительных бюллетеней	5671	209	697	650	664	245	118	469	390	410	75	291	203	109	253	186	213	232	110	147					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	4	10	10	10	4	3	10	5	7	3	5	3	3	5	4	4	4	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	27	0	5	4	3	0	0	0	4	1	0	5	0	0	2	2	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	0	15	3	2	2	0	5	5	1	0	0	1	0	1	1	0	1	2	5					
14	Число погашенных открепительных удостоверений	73	4	5	6	7	4	3	10	1	6	3	0	3	3	3	2	4	4	3	2					
