Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Богородская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46958	1413	2711	2549	2704	1571	1522	1482	1383	1462	1408	1563	1637	1527	1551	1625	1517	1470	904	294	501	540	485	398	575	2294	1039	2588	1250	1460	334	328	525	946	837	345	361	204	916	313	426									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46494	1400	2700	2750	2700	1550	1500	1450	1350	1450	1400	1550	1650	1500	1550	1600	1500	1400	900	250	500	500	450	350	550	2500	1050	2544	1200	1400	300	300	500	950	800	300	350	200	900	300	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15276	494	537	694	798	424	434	417	439	345	332	407	660	460	417	503	736	628	385	73	188	242	218	137	195	1072	258	792	295	511	106	180	193	318	425	75	136	76	296	169	211									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3157	15	124	79	25	48	76	29	14	45	37	12	21	27	80	29	13	17	104	33	34	74	63	96	56	83	127	168	663	23	86	85	143	171	48	113	97	45	82	30	42									
6	Число погашенных избирательных бюллетеней	28061	891	2039	1977	1877	1078	990	1004	897	1060	1031	1131	969	1013	1053	1068	751	755	411	144	278	184	169	117	299	1345	665	1584	242	866	108	35	164	461	327	112	117	79	522	101	147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3158	15	124	79	25	48	76	29	14	45	37	12	21	27	80	29	13	17	104	33	34	74	63	96	56	84	127	168	663	23	86	85	143	171	48	113	97	45	82	30	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15265	494	534	694	798	424	434	417	439	345	332	407	660	460	417	503	736	628	385	73	188	242	218	137	195	1065	258	792	295	511	106	180	192	318	425	75	136	76	296	169	211									
9	Число недействительных избирательных бюллетеней	294	14	21	10	28	0	4	7	11	0	11	2	9	21	1	5	9	3	4	0	2	1	10	3	0	40	5	18	9	17	3	0	1	5	0	1	1	5	8	4	1									
10	Число действительных избирательных бюллетеней	18129	495	637	763	795	472	506	439	442	390	358	417	672	466	496	527	740	642	485	106	220	315	271	230	251	1109	380	942	949	517	189	265	334	484	473	187	232	116	370	195	252									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	455	15	20	32	30	15	15	5	15	8	15	15	15	15	15	15	15	15	5	5	5	5	5	5	5	25	5	20	10	15	5	5	7	8	10	5	5	5	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	311	15	11	28	30	10	13	5	8	8	12	13	12	12	12	11	13	8	1	0	3	2	4	0	1	23	3	6	9	8	0	1	7	5	2	5	4	0	4	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	306	13	8	3	3	8	5	4	7	5	5	11	6	8	7	4	37	32	0	0	4	7	2	6	8	27	0	9	12	12	5	13	7	2	2	3	5	2	11	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	144	0	9	4	0	5	2	0	7	0	3	2	3	3	3	4	2	7	4	5	2	3	1	5	4	2	2	14	1	7	5	4	0	3	8	0	1	5	6	4	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	3	2	2	3	0	0	2	0	1	1	5	0	2	0	1	2	3	1	0	0	0	0	0	0	7	1	0	1	4	0	0	1	0	1	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	194	9	4	1	13	0	9	12	10	0	3	5	9	6	0	9	10	2	5	0	0	0	1	4	4	13	5	11	4	12	3	0	10	7	1	3	3	3	1	1	1									
