Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Тейковская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774					
1	"Число избирателей, внесенных в списки"	11731	1405	640	809	542	720	175	453	410	744	535	494	205	288	148	441	339	157	1069	285	236	125	273	445	793					
2	"Число бюллетеней, полученных участковыми комиссиями"	11581	1410	630	800	520	680	163	432	380	730	520	510	202	290	147	430	330	230	1050	280	230	127	270	430	790					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5097	639	278	387	246	294	42	119	170	368	242	201	86	152	74	137	180	105	430	138	120	71	121	201	296					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1183	114	34	43	22	95	51	136	44	15	48	87	37	25	9	61	26	52	38	10	10	3	58	65	100					
6	Число погашенных бюллетеней	5301	657	318	370	252	291	70	177	166	347	230	222	79	113	64	232	124	73	582	132	100	53	91	164	394					
7	Число бюллетеней в переносных ящиках для голосования	1183	114	34	43	22	95	51	136	44	15	48	87	37	25	9	61	26	52	38	10	10	3	58	65	100					
8	Число бюллетеней в стационарных ящиках для голосования	5097	639	278	387	246	294	42	119	170	368	242	201	86	152	74	137	180	105	430	138	120	71	121	201	296					
9	Число недействительных бюллетеней	108	15	7	9	5	4	1	10	2	4	4	8	2	3	3	1	2	2	11	1	2	1	1	6	4					
10	Число действительных бюллетеней	6172	738	305	421	263	385	92	245	212	379	286	280	121	174	80	197	204	155	457	147	128	73	178	260	392					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	110	13	3	3	3	31	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	64	9	0	0	3	31	0	1	2	3	3	2	1	0	0	1	0	0	2	2	2	0	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	5	3	1	0	3	4	0	29	2	2	5	5	0	2	3	4	0	5	0	2	0	1	6	2					
14	Число погашенных открепительных удостоверений	46	4	3	3	0	0	3	2	1	0	0	1	2	3	3	2	3	3	1	1	1	3	2	3	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	76	4	4	8	2	5	0	5	4	7	4	2	1	5	1	2	3	0	7	1	0	1	1	1	8					
		1.21%	0.53%	1.28%	1.86%	0.74%	1.28%	0.0%	1.96%	1.86%	1.82%	1.37%	0.69%	0.81%	2.82%	1.20%	1.01%	1.45%	0.0%	1.49%	0.67%	0.0%	1.35%	0.55%	0.37%	2.02%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	166	19	2	14	4	8	1	4	8	5	11	27	10	3	2	1	1	0	12	5	7	3	9	2	8					
		2.64%	2.52%	0.64%	3.25%	1.49%	2.05%	1.07%	1.56%	3.73%	1.30%	3.79%	9.37%	8.13%	1.69%	2.40%	0.50%	0.48%	0.0%	2.56%	3.37%	5.38%	4.05%	5.02%	0.75%	2.02%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	188	28	12	13	7	12	0	3	4	6	15	13	0	2	2	6	4	2	22	5	4	0	5	8	15					
		2.99%	3.71%	3.84%	3.02%	2.61%	3.08%	0.0%	1.17%	1.86%	1.56%	5.17%	4.51%	0.0%	1.12%	2.40%	3.03%	1.94%	1.27%	4.70%	3.37%	3.07%	0.0%	2.79%	3.00%	3.78%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	99	21	7	9	2	9	2	3	4	3	3	7	1	1	1	1	1	1	2	3	1	2	1	0	14					
		1.57%	2.78%	2.24%	2.09%	0.74%	2.31%	2.15%	1.17%	1.86%	0.78%	1.03%	2.43%	0.81%	0.56%	1.20%	0.50%	0.48%	0.63%	0.42%	2.02%	0.76%	2.70%	0.55%	0.0%	3.53%					
22	"5. ""За Русь Святую"""	21	2	0	3	0	1	0	1	0	3	2	0	0	0	1	1	0	1	0	0	0	0	0	3	3					
		0.33%	0.26%	0.0%	0.69%	0.0%	0.25%	0.0%	0.39%	0.0%	0.78%	0.68%	0.0%	0.0%	0.0%	1.20%	0.50%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.75%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	3	0	4	0	0	0	0	2	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1					
		0.28%	0.39%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.93%	0.26%	0.34%	0.34%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.67%	0.76%	1.35%	0.0%	0.37%	0.25%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	3	0	1	1	3	0	2	2	3	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1					
		0.31%	0.39%	0.0%	0.23%	0.37%	0.77%	0.0%	0.78%	0.93%	0.78%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%					
25	"8. ""Народно-республиканская партия России"""	8	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0					
		0.12%	0.0%	0.64%	0.23%	0.0%	0.0%	0.0%	0.39%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.67%	0.0%	0.0%	0.55%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	2	0	0	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2					
