Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Ревдинская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753					
1	"Число избирателей, внесенных в список избирателей"	51545	315	1527	2560	840	980	2894	1639	2524	2223	1316	1171	2362	2473	2731	1261	1276	2586	2555	2668	2538	559	2772	1291	2016	646	2027	571	416	497	2311					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50950	300	1500	2500	800	950	2900	1600	2550	2250	1300	1100	2400	2500	2700	1250	1250	2600	2550	2700	2500	550	2700	1300	1900	600	2000	550	350	500	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25668	172	433	1207	470	541	1685	909	1358	1187	702	554	1210	1381	1483	683	679	1245	1373	1377	1226	197	1078	507	1086	274	803	249	153	157	1289					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	892	94	20	39	13	16	24	31	40	24	22	13	22	19	33	22	17	37	25	25	35	51	57	33	41	12	16	63	21	4	23					
6	Число погашенных избирательных бюллетеней	24390	34	1047	1254	317	393	1191	660	1152	1039	576	533	1168	1100	1184	545	554	1318	1152	1298	1239	302	1565	760	773	314	1181	238	176	339	988					
7	Число избирательных бюллетеней в переносных ящиках для голосования	892	94	20	39	13	16	24	31	40	24	22	13	22	19	33	22	17	37	25	25	35	51	57	33	41	12	16	63	21	4	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25663	172	433	1207	470	541	1684	909	1357	1187	702	554	1210	1380	1482	683	678	1245	1373	1377	1226	197	1078	507	1086	274	803	249	153	157	1289					
9	Число недействительных избирательных бюллетеней	621	10	12	23	13	6	45	17	37	24	17	17	40	22	43	22	11	25	40	25	42	6	18	6	28	6	23	9	5	3	26					
10	Число действительных избирательных бюллетеней	25934	256	441	1223	470	551	1663	923	1360	1187	707	550	1192	1377	1472	683	684	1257	1358	1377	1219	242	1117	534	1099	280	796	303	169	158	1286					
