Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Заиграевская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39150	2132	1948	506	1803	1621	1120	748	1383	118	495	943	459	94	461	167	165	161	1048	672	63	2326	383	1575	1224	423	369	1816	1766	1909	1960	559	143	109	499	167	90	696	1680	844	1432	121	937	820	930	83	72	45	65									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35248	1900	1750	450	1600	1500	1000	700	1250	100	390	800	450	100	400	150	150	150	950	600	60	2100	350	1400	1100	400	350	1650	1600	1700	1750	550	130	110	450	150	75	625	1500	750	1300	110	850	700	850	75	73	45	55									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14133	787	610	154	560	752	352	186	419	62	338	501	234	62	236	70	85	60	293	189	29	809	171	550	431	156	150	741	656	543	623	201	88	55	171	74	35	236	404	276	462	101	353	311	362	52	71	30	42									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1341	18	14	10	52	51	34	50	19	12	1	2	40	7	17	16	19	31	29	20	2	52	38	52	58	23	40	26	76	19	18	44	23	10	58	12	10	23	21	37	162	9	10	20	39	6	0	4	7									
6	Число погашенных избирательных бюллетеней	19774	1095	1126	286	988	697	614	464	812	26	51	297	176	31	147	64	46	59	628	391	29	1239	141	798	611	221	160	883	868	1138	1109	305	19	45	221	64	30	366	1075	437	676	0	487	369	449	17	2	11	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1341	18	14	10	52	51	34	50	19	12	1	2	40	7	17	16	19	31	29	20	2	52	38	52	58	23	40	26	76	19	18	44	23	10	58	12	10	23	21	37	162	9	10	20	39	6	0	4	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14133	787	610	154	560	752	352	186	419	62	338	501	234	62	236	70	85	60	293	189	29	809	171	550	431	156	150	741	656	543	623	201	88	55	171	74	35	236	404	276	462	101	353	311	362	52	71	30	42									
9	Число недействительных избирательных бюллетеней	406	22	21	4	26	26	10	2	23	1	9	17	5	1	8	3	1	2	3	3	1	8	0	13	14	5	3	21	25	9	15	7	2	0	8	0	2	6	10	12	21	0	12	13	8	0	2	2	0									
10	Число действительных избирательных бюллетеней	15068	783	603	160	586	777	376	234	415	73	330	486	269	68	245	83	103	89	319	206	30	853	209	589	475	174	187	746	707	553	626	238	109	65	221	86	43	253	415	301	603	110	351	318	393	58	69	32	49									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	950	50	45	10	40	35	25	15	30	10	10	20	40	10	10	10	10	10	20	10	10	40	15	30	25	10	10	35	30	45	45	25	10	15	10	10	10	15	35	20	30	10	20	15	20	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	327	25	14	4	10	21	5	2	1	0	6	9	40	9	0	0	5	7	4	0	0	40	1	17	2	8	0	13	0	5	6	25	2	15	1	0	0	3	4	2	6	0	4	4	7	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	152	15	5	0	2	1	4	1	3	3	18	6	2	0	3	5	1	4	2	3	1	12	2	4	4	2	0	5	2	4	2	5	1	3	6	2	0	2	7	1	2	0	0	1	2	0	2	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	623	25	31	6	30	14	20	13	29	10	4	11	0	1	10	10	5	3	16	10	10	0	14	13	23	2	10	22	30	40	39	0	8	0	9	10	10	12	31	18	24	10	16	11	13	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	5	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
