Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
"Наименование Избирательной комиссии:    Иваново, Октябрьская"																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99					
1	"Число избирателей, внесенных в списки"	74294	1735	1970	1706	1895	1805	1796	1069	2293	2335	1102	2317	2095	2170	2015	2134	1796	1931	2036	2555	1506	2083	2408	2520	2440	1565	1821	1218	2143	1679	1935	1121	1777	2104	2400	2168	2210	1908	555	1978					
2	"Число бюллетеней, полученных участковыми комиссиями"	76072	1458	1975	1729	1922	1793	1796	1898	2301	2334	2103	2315	2088	2170	2029	2134	1806	1929	2026	2563	1498	2085	2409	2515	2438	1565	1822	1209	2128	1688	1941	1957	1506	2101	2409	2167	2207	1900	600	1558					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	36951	979	1010	777	1048	940	982	1043	1200	1296	1072	1336	1145	1070	984	774	602	811	1080	1062	610	753	963	983	979	568	739	631	1086	779	1089	1104	1141	1047	1177	1045	760	749	541	996					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1008	42	28	19	26	43	27	26	33	44	30	22	41	17	19	32	16	13	26	25	24	16	36	29	32	31	18	19	23	23	19	17	42	40	27	20	30	8	0	25					
6	Число погашенных бюллетеней	38113	437	937	933	848	810	787	829	1068	994	1001	957	902	1083	1026	1328	1188	1105	920	1476	864	1316	1410	1503	1427	966	1065	559	1019	886	833	836	323	1014	1205	1102	1417	1143	59	537					
7	Число бюллетеней в переносных ящиках для голосования	1008	42	28	19	26	43	27	26	33	44	30	22	41	17	19	32	16	13	26	25	24	16	36	29	32	31	18	19	23	23	19	17	42	40	27	20	30	8	0	25					
8	Число бюллетеней в стационарных ящиках для голосования	36914	979	1009	777	1046	938	978	1043	1199	1293	1072	1335	1144	1070	984	774	602	811	1080	1059	602	753	963	983	978	568	736	631	1085	779	1089	1104	1140	1045	1177	1042	760	749	541	996					
9	Число недействительных бюллетеней	310	5	10	3	3	5	8	9	8	12	8	16	7	16	6	7	8	7	3	11	4	6	8	8	8	17	8	7	9	9	4	10	5	6	9	10	4	5	14	7					
10	Число действительных бюллетеней	37612	1016	1027	793	1069	976	997	1060	1224	1325	1094	1341	1178	1071	997	799	610	817	1103	1073	622	763	991	1004	1002	582	746	643	1099	793	1104	1111	1177	1079	1195	1052	786	752	527	1014					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	691	17	17	25	13	13	17	17	13	17	17	17	17	17	37	44	17	17	15	17	17	17	20	14	17	17	17	17	17	17	17	17	17	17	17	17	17	17	0	21					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	381	9	13	25	10	7	17	7	8	7	9	5	9	6	32	39	16	10	9	9	2	4	11	8	1	2	1	4	5	12	14	15	13	3	11	6	4	5	0	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	355	12	9	8	9	10	12	6	9	13	7	8	14	8	7	33	6	16	7	5	11	4	7	5	5	5	8	13	15	8	5	2	12	7	7	5	5	8	10	14					
14	Число погашенных открепительных удостоверений	310	8	4	0	3	6	0	10	5	10	8	12	8	11	5	5	1	7	6	8	15	13	9	6	16	15	16	13	12	5	3	2	4	14	6	11	13	12	0	8					
15	Число открепительных удостоверений выданных ТИК	24	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
