Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Тамбовская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717					
1	"Число избирателей, внесенных в список"	18660	2411	2261	1616	480	550	164	923	137	510	293	349	1254	118	165	848	651	215	534	529	1568	136	346	475	170	269	112	445	90	1041					
2	Число полученных избирательных бюллетеней	18525	2396	2234	1567	451	558	166	915	143	507	295	347	1213	119	166	841	651	215	529	557	1572	135	350	469	171	264	108	436	100	1050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12104	1423	1171	812	316	409	97	631	137	349	216	243	765	88	126	630	415	175	386	425	1009	110	216	326	124	221	91	316	71	806					
5	"Число избирательных бюллетеней, выданных вне помещения"	544	74	39	39	19	13	6	21	0	23	10	7	44	0	6	16	7	0	18	18	48	2	28	22	8	8	0	9	0	59					
6	Число погашенных избирательных бюллетеней	5877	899	1024	716	116	136	63	263	6	135	69	97	404	31	34	195	229	40	125	114	515	23	106	121	39	35	17	111	29	185					
7	Число избирательных бюллетеней в переносных ящиках	544	74	39	39	19	13	6	21	0	23	10	7	44	0	6	16	7	0	18	18	48	2	28	22	8	8	0	9	0	59					
8	Число бюллетеней в стационарных ящиках для голосования	12092	1423	1159	812	316	409	97	631	137	349	216	243	765	88	126	630	415	175	386	425	1009	110	216	326	124	221	91	316	71	806					
9	Число недействительных избирательных бюллетеней	124	11	12	10	2	4	0	6	0	4	0	7	14	0	1	6	3	1	1	5	10	0	4	6	1	0	0	8	2	6					
10	Число действительных избирательных бюллетеней	12512	1486	1186	841	333	418	103	646	137	368	226	243	795	88	131	640	419	174	403	438	1047	112	240	342	131	229	91	317	69	859					
11	Число полученных открепительных  удостоверений	190	16	16	16	7	5	5	10	3	5	5	5	13	3	3	5	4	3	5	5	13	3	5	5	3	5	3	5	3	11					
12	Число выданных открепительных удостоверений	73	11	16	6	1	0	0	8	0	0	0	0	9	0	0	2	4	0	0	0	10	0	2	2	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	148	14	16	18	9	3	1	1	1	2	2	1	26	1	0	7	2	1	4	1	9	1	0	3	3	4	1	10	1	6					
14	Число неиспользованных открепительных удостоверений	117	5	0	10	6	5	5	2	3	5	5	5	4	3	3	3	0	3	5	5	3	3	3	3	3	5	3	5	3	9					
