Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
"Наименование Избирательной комиссии:    Липецк, Левобережная"																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38835	1950	2415	2604	1532	2774	1975	1304	1402	2467	1965	306	2294	1135	1201	1743	1821	1354	1825	1954	1359	1225	936	998	296									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31750	1600	2000	2000	1200	2200	1600	1000	1100	2000	1500	600	2000	1000	1000	1500	1500	1000	1500	1500	1000	1000	800	800	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15655	926	947	1166	673	1215	867	415	548	1238	669	288	746	434	420	683	725	514	609	787	567	491	385	334	8									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1157	95	94	46	7	115	63	83	98	50	32	18	10	7	14	15	20	20	9	27	16	12	16	23	267									
6	Число погашенных избирательных бюллетеней	14938	579	959	788	520	870	670	502	454	712	799	294	1244	559	566	802	755	466	882	686	417	497	399	443	75									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1157	95	94	46	7	115	63	83	98	50	32	18	10	7	14	15	20	20	9	27	16	12	16	23	267									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15654	926	947	1166	673	1214	867	415	548	1238	669	288	746	434	420	683	725	514	609	787	567	491	385	334	8									
9	Число недействительных избирательных бюллетеней	551	13	34	41	17	49	19	20	20	49	29	9	28	10	15	20	36	22	26	36	14	19	10	8	7									
10	Число действительных избирательных бюллетеней	16260	1008	1007	1171	663	1280	911	478	626	1239	672	297	728	431	419	678	709	512	592	778	569	484	391	349	268									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	349	20	20	25	15	20	20	10	10	22	15	10	15	10	15	20	15	12	20	15	10	10	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	235	13	9	21	8	12	15	1	2	22	12	3	13	4	12	19	7	12	19	10	6	7	3	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	260	5	4	9	7	16	7	9	10	5	13	15	7	11	12	10	11	33	14	15	11	10	8	11	7									
14	Число погашенных неиспользованных открепительных удостоверений	114	7	11	4	7	8	5	9	8	0	3	7	2	6	3	1	8	0	1	5	4	3	7	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	1	0	2	1	4	0	1	1	1	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	353	13	7	37	22	22	26	13	19	17	13	2	18	12	9	17	14	14	10	18	12	9	15	7	7									
		2.10%	1.27%	0.67%	3.05%	3.24%	1.66%	2.80%	2.61%	2.94%	1.32%	1.85%	0.65%	2.38%	2.72%	2.07%	2.44%	1.88%	2.62%	1.62%	2.21%	2.06%	1.79%	3.74%	1.96%	2.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	397	23	33	21	21	29	20	11	14	22	13	11	20	10	13	9	23	12	10	22	12	12	11	7	18									
		2.36%	2.25%	3.17%	1.73%	3.09%	2.18%	2.15%	2.21%	2.17%	1.71%	1.85%	3.59%	2.65%	2.27%	2.99%	1.29%	3.09%	2.25%	1.62%	2.70%	2.06%	2.39%	2.74%	1.96%	6.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	744	47	40	54	18	35	49	24	26	45	35	7	40	28	17	35	45	21	21	30	34	25	18	32	18									
		4.43%	4.60%	3.84%	4.46%	2.65%	2.63%	5.27%	4.82%	4.02%	3.49%	4.99%	2.29%	5.29%	6.35%	3.92%	5.01%	6.04%	3.93%	3.40%	3.69%	5.83%	4.97%	4.49%	8.96%	6.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6480	428	421	449	237	563	339	199	264	583	313	111	277	159	159	245	269	183	230	290	192	208	157	123	81									
		38.55%	41.92%	40.44%	37.05%	34.85%	42.36%	36.45%	39.96%	40.87%	45.26%	44.65%	36.27%	36.64%	36.05%	36.64%	35.10%	36.11%	34.27%	37.22%	35.63%	32.93%	41.35%	39.15%	34.45%	29.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	7	8	8	6	10	4	2	11	8	3	3	7	4	6	6	6	6	4	0	2	5	4	4	2									
		0.75%	0.69%	0.77%	0.66%	0.88%	0.75%	0.43%	0.40%	1.70%	0.62%	0.43%	0.98%	0.93%	0.91%	1.38%	0.86%	0.81%	1.12%	0.65%	0.00%	0.34%	0.99%	0.99%	1.12%	0.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	3	3	5	2	5	1	0	2	2	0	0	1	0	0	2	1	2	1	0	1	1	1	1	0									
		0.20%	0.29%	0.29%	0.41%	0.29%	0.38%	0.11%	0.00%	0.31%	0.16%	0.00%	0.00%	0.13%	0.00%	0.00%	0.29%	0.13%	0.37%	0.16%	0.00%	0.17%	0.20%	0.25%	0.28%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3188	197	172	211	151	229	188	100	132	224	126	75	147	91	101	141	137	80	132	158	109	83	80	73	51									
		18.96%	19.29%	16.52%	17.41%	22.21%	17.23%	20.22%	20.08%	20.43%	17.39%	17.97%	24.51%	19.44%	20.63%	23.27%	20.20%	18.39%	14.98%	21.36%	19.41%	18.70%	16.50%	19.95%	20.45%	18.55%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	116	4	8	4	6	11	4	3	3	12	5	1	1	2	3	7	3	4	3	12	5	3	2	8	2									
		0.69%	0.39%	0.77%	0.33%	0.88%	0.83%	0.43%	0.60%	0.46%	0.93%	0.71%	0.33%	0.13%	0.45%	0.69%	1.00%	0.40%	0.75%	0.49%	1.47%	0.86%	0.60%	0.50%	2.24%	0.73%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	129	1	13	12	5	7	7	3	2	12	2	4	2	5	1	10	3	6	1	7	10	4	7	5	0									
		0.77%	0.10%	1.25%	0.99%	0.74%	0.53%	0.75%	0.60%	0.31%	0.93%	0.29%	1.31%	0.26%	1.13%	0.23%	1.43%	0.40%	1.12%	0.16%	0.86%	1.72%	0.80%	1.75%	1.40%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	0	4	0	0	1	1	0	3	1	1	0	2	0	1	0	1	1	0	1	0	0	2	0	0									
		0.11%	0.00%	0.38%	0.00%	0.00%	0.08%	0.11%	0.00%	0.46%	0.08%	0.14%	0.00%	0.26%	0.00%	0.23%	0.00%	0.13%	0.19%	0.00%	0.12%	0.00%	0.00%	0.50%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	317	10	20	27	14	30	19	10	11	19	10	6	15	10	4	14	19	18	10	14	9	8	9	10	1									
		1.89%	0.98%	1.92%	2.23%	2.06%	2.26%	2.04%	2.01%	1.70%	1.48%	1.43%	1.96%	1.98%	2.27%	0.92%	2.01%	2.55%	3.37%	1.62%	1.72%	1.54%	1.59%	2.24%	2.80%	0.36%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2641	171	161	197	96	209	148	82	93	189	99	41	115	65	70	103	117	98	98	131	124	80	52	48	54									
		15.71%	16.75%	15.47%	16.25%	14.12%	15.73%	15.91%	16.47%	14.40%	14.67%	14.12%	13.40%	15.21%	14.74%	16.13%	14.76%	15.70%	18.35%	15.86%	16.09%	21.27%	15.90%	12.97%	13.45%	19.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	121	8	4	12	4	9	6	3	3	5	4	1	3	5	4	4	8	5	3	4	5	6	5	5	5									
		0.72%	0.78%	0.38%	0.99%	0.59%	0.68%	0.65%	0.60%	0.46%	0.39%	0.57%	0.33%	0.40%	1.13%	0.92%	0.57%	1.07%	0.94%	0.49%	0.49%	0.86%	1.19%	1.25%	1.40%	1.82%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1595	96	113	134	81	120	99	28	43	100	48	35	80	40	31	85	63	62	69	91	54	40	28	26	29									
		9.49%	9.40%	10.85%	11.06%	11.91%	9.03%	10.65%	5.62%	6.66%	7.76%	6.85%	11.44%	10.58%	9.07%	7.14%	12.18%	8.46%	11.61%	11.17%	11.18%	9.26%	7.95%	6.98%	7.28%	10.55%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
