Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Павлоградская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15159	986	921	1027	983	938	1065	327	142	92	257	705	808	75	219	838	275	184	83	590	249	83	202	115	520	132	857	297	175	676	118	118	105	685	279	33									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15055	980	920	1010	980	930	1040	320	140	90	260	710	820	70	210	840	270	170	80	590	250	80	210	110	520	140	860	300	170	660	118	120	100	680	270	37									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7109	458	498	443	430	412	430	161	89	62	153	429	356	57	93	392	125	84	48	295	113	27	144	57	278	67	315	137	92	257	47	37	32	320	150	21									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	492	11	25	20	23	13	39	12	9	4	3	30	42	2	9	35	13	9	0	15	16	5	6	0	16	0	50	9	3	24	6	7	4	23	7	2									
6	Число погашенных избирательных бюллетеней	7454	511	397	547	527	505	571	147	42	24	104	251	422	11	108	413	132	77	32	280	121	48	60	53	226	73	495	154	75	379	65	76	64	337	113	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	492	11	25	20	23	13	39	12	9	4	3	30	42	2	9	35	13	9	0	15	16	5	6	0	16	0	50	9	3	24	6	7	4	23	7	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7109	458	498	443	430	412	430	161	89	62	153	429	356	57	93	392	125	84	48	295	113	27	144	57	278	67	315	137	92	257	47	37	32	320	150	21									
9	Число недействительных избирательных бюллетеней	272	13	6	19	8	14	20	9	3	3	4	20	12	2	7	15	8	3	0	6	0	1	9	0	13	0	32	4	5	13	0	0	0	19	4	0									
10	Число действительных избирательных бюллетеней	7329	456	517	444	445	411	449	164	95	63	152	439	386	57	95	412	130	90	48	304	129	31	141	57	281	67	333	142	90	268	53	44	36	324	153	23									
