Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
"Наименование Избирательной комиссии:    Ульяновск, Ленинская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994					
1	"Число избирателей, внесенных в список избирателей"	95214	1008	725	2267	2011	1991	2027	1863	2730	1659	1361	2276	2075	2308	1419	2036	2030	1682	1445	1837	1582	2386	2303	2251	1650	2186	1799	2038	2629	1766	1466	2039	2180	2004	1699	2132	2366	1503	2603	1937	2078	2137	2175	2227	1867	2568	1218	1099	2075	1810	341	350					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70400	800	600	1600	1550	1500	1550	1400	2000	1200	1000	1600	1500	1600	1100	1500	1500	1200	1100	1300	1200	1700	1750	1650	1200	1450	1350	1550	1800	1550	1050	1500	1650	1450	1200	1500	1700	1100	1800	1400	1500	1600	1600	1600	1350	1900	1000	1000	1500	1300	500	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	48868	459	435	1219	1036	927	962	702	1610	721	767	1232	1089	1046	675	872	807	687	644	757	675	1291	1348	962	965	1206	958	1062	1425	1144	854	1181	1374	1109	1023	1018	967	880	1606	1130	835	1211	1314	1189	847	1081	520	566	1094	899	160	327					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1783	5	10	30	32	45	8	46	25	48	32	44	21	17	22	31	54	32	27	25	31	41	36	52	15	32	38	9	32	43	37	44	54	51	39	49	24	29	18	20	25	38	27	21	14	33	69	29	61	46	168	4					
6	Число погашенных избирательных бюллетеней	19749	336	155	351	482	528	580	652	365	431	201	324	390	537	403	597	639	481	429	518	494	368	366	636	220	212	354	479	343	363	159	275	222	290	138	433	709	191	176	250	640	351	259	390	489	786	411	405	345	355	172	69					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1783	5	10	30	32	45	8	46	25	48	32	44	21	17	22	31	54	32	27	25	31	41	36	52	15	32	38	9	32	43	37	44	54	51	39	49	24	29	18	20	25	38	27	21	14	33	69	29	61	46	168	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48833	458	435	1219	1036	927	962	702	1609	721	767	1232	1089	1045	675	871	805	687	644	757	675	1291	1348	962	965	1205	958	1060	1424	1144	854	1180	1374	1109	1023	1017	967	880	1605	1110	835	1211	1314	1187	847	1081	520	566	1094	899	160	327					
9	Число недействительных избирательных бюллетеней	689	3	1	14	18	8	6	11	16	5	13	21	20	9	8	19	16	14	8	19	13	21	19	11	15	10	14	18	7	12	13	16	10	14	11	18	8	13	33	13	15	30	26	21	21	17	6	8	9	14	1	3					
10	Число действительных избирательных бюллетеней	49927	460	444	1235	1050	964	964	737	1618	764	786	1255	1090	1053	689	883	843	705	663	763	693	1311	1365	1003	965	1227	982	1051	1449	1175	878	1208	1418	1146	1051	1048	983	896	1590	1117	845	1219	1315	1187	840	1097	583	587	1146	931	327	328					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1960	20	20	30	50	40	50	50	90	20	20	40	60	55	30	30	35	20	20	20	25	30	40	40	50	50	30	30	50	80	50	40	35	50	40	60	50	30	80	50	30	40	50	50	30	30	20	30	40	30	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1584	20	20	24	33	34	50	32	90	19	17	32	53	53	25	21	33	17	20	13	25	26	38	38	37	42	23	23	43	65	25	40	35	39	28	36	33	24	33	37	28	27	41	48	29	30	11	22	28	24	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1510	14	8	15	14	17	21	15	39	16	26	21	21	36	16	24	13	17	13	30	40	71	12	19	29	15	23	37	125	88	73	37	40	33	22	23	21	10	25	33	15	21	13	21	15	8	17	12	9	7	26	194					
14	Число погашенных неиспользованных открепительных удостоверений	376	0	0	6	17	6	0	18	0	1	3	8	7	2	5	9	2	3	0	7	0	4	2	2	13	8	7	7	7	15	25	0	0	11	12	24	17	6	47	13	2	13	9	2	1	0	9	8	12	6	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	3	4	1	3	0	0	0	0	1	1	0	0	0	1	3	0	1	4	1	0	0	2	0	1	0	0	0	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9566	89	80	260	197	216	196	127	304	124	127	213	195	227	138	152	145	129	117	148	152	259	253	179	220	179	208	217	301	184	186	275	284	206	213	207	192	189	238	238	165	248	262	230	155	210	104	109	250	143	71	55					
		18.90%	19.22%	17.98%	20.82%	18.45%	22.22%	20.21%	16.98%	18.60%	16.12%	15.89%	16.69%	17.57%	21.37%	19.80%	16.85%	16.88%	17.94%	17.44%	18.93%	21.53%	19.44%	18.28%	17.65%	22.45%	14.47%	20.88%	20.30%	20.67%	15.50%	20.88%	22.47%	19.89%	17.76%	20.06%	19.42%	19.37%	20.79%	14.66%	21.06%	19.19%	19.86%	19.54%	19.04%	18.00%	18.85%	17.66%	18.32%	21.65%	15.13%	21.65%	16.62%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6946	67	48	198	147	110	144	112	248	94	105	133	155	153	84	130	103	105	95	102	81	149	164	132	121	248	116	146	218	265	98	145	134	110	109	151	184	126	446	124	124	158	182	180	116	130	78	63	112	115	51	37					
