Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
"Наименование Избирательной комиссии:    Ульяновск, Ленинская"																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004					
1	"Число избирателей, внесенных в списки избирателей"	96296	1081	750	1798	2114	2244	2315	2575	2361	1945	2484	2215	2358	2443	2653	2641	1059	1756	1727	2084	2079	1614	1731	1666	2676	760	2408	2848	2026	2365	2581	2663	2054	2257	2528	1947	1545	1390	1002	1670	2027	1977	2091	1857	1607	2574	1183	2064	1769	457	277					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91225	940	720	1690	1990	2120	2215	2415	2100	1900	2370	2100	2240	2330	2515	2480	1000	1625	1600	1965	1975	1525	1625	1575	2530	710	2235	2690	1960	2230	2165	2530	1950	2140	2380	1840	1310	1270	1665	1570	1920	1865	1960	1765	1530	2435	1120	1970	1685	500	285					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	51714	555	448	1033	1011	1012	1240	1277	1350	895	1334	1426	1014	1045	1609	1753	589	738	886	1112	1165	705	752	765	1041	449	1045	1302	1400	947	1521	1478	1229	1241	1420	1069	762	1094	962	993	1223	1263	1158	1052	894	1030	542	1408	941	281	255					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2345	5	2	42	34	70	21	60	26	44	45	26	50	38	68	80	23	61	25	20	45	29	47	57	70	25	75	51	38	28	29	33	23	22	128	17	222	53	40	66	37	60	66	49	53	31	15	42	20	127	7					
6	Число погашенных избирательных бюллетеней	37166	380	270	615	945	1038	954	1078	724	961	991	648	1176	1247	838	647	388	826	689	833	765	791	826	753	1419	236	1115	1337	522	1255	615	1019	698	877	832	754	326	123	663	511	660	542	736	664	583	1374	563	520	724	92	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2345	5	2	42	34	70	21	60	26	44	45	26	50	38	68	80	23	61	25	20	45	29	47	57	70	25	75	51	38	28	29	33	23	22	128	17	222	53	40	66	37	60	66	49	53	31	15	42	20	127	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	51677	554	446	1032	1011	1012	1240	1277	1350	891	1334	1425	1013	1045	1607	1753	589	738	883	1110	1165	705	752	765	1041	449	1045	1302	1400	947	1521	1477	1228	1241	1413	1069	762	1093	962	991	1223	1261	1158	1050	890	1030	542	1408	941	281	255					
9	Число недействительных избирательных бюллетеней	627	7	0	16	12	8	11	10	10	11	12	14	15	13	29	44	3	7	1	12	14	12	9	7	25	4	5	24	16	4	15	25	17	14	16	9	8	15	16	9	20	18	10	10	12	12	3	16	23	3	1					
10	Число действительных избирательных бюллетеней	53395	552	448	1058	1033	1074	1250	1327	1366	924	1367	1437	1048	1070	1646	1789	609	792	907	1118	1196	722	790	815	1086	470	1115	1329	1422	971	1535	1485	1234	1249	1525	1077	976	1131	986	1048	1240	1303	1214	1089	931	1049	554	1434	938	405	261					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1537	19	10	30	20	40	40	80	60	15	25	40	40	40	30	25	15	30	30	40	40	10	15	15	20	20	40	40	30	20	40	40	40	40	40	30	15	60	30	30	40	30	25	30	30	40	30	40	28	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1047	12	6	19	20	15	30	74	51	15	20	25	23	38	27	19	12	17	25	31	26	5	8	10	17	11	22	13	21	7	27	33	20	23	30	23	15	32	14	27	27	19	19	27	23	20	7	18	24	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1129	31	5	18	16	22	17	28	34	8	12	19	7	18	21	21	6	9	18	15	19	2	17	13	17	15	25	14	17	10	19	20	13	16	13	22	86	58	76	40	13	41	30	21	17	17	7	8	7	5	126					
14	Число погашенных неиспользованных открепительных удостоверений	490	7	4	11	0	25	10	6	9	0	5	15	17	2	3	6	3	13	5	9	14	5	7	5	3	9	18	27	9	13	13	7	20	17	10	7	0	28	16	3	13	11	6	3	7	20	23	22	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
