Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Дальнереченская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23285	1324	1407	1414	1300	903	1271	1290	1101	1096	1338	1372	1284	1213	1116	1191	1039	1141	692	356	110	982	345									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22600	1300	1400	1400	1300	850	1200	1200	1100	1100	1300	1300	1200	1200	1100	1200	1000	1100	650	350	100	950	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8718	538	673	688	618	381	418	463	401	359	419	494	376	371	438	409	310	364	244	117	53	400	184									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	301	14	13	14	1	3	19	4	8	9	49	5	24	24	13	11	20	20	9	12	3	20	6									
6	Число погашенных избирательных бюллетеней	13581	748	714	698	681	466	763	733	691	732	832	801	800	805	649	780	670	716	397	221	44	530	110									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	301	14	13	14	1	3	19	4	8	9	49	5	24	24	13	11	20	20	9	12	3	20	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8714	538	673	688	617	381	418	463	401	359	419	494	375	371	438	409	310	362	244	117	53	400	184									
9	Число недействительных избирательных бюллетеней	385	14	21	39	23	16	17	21	17	14	31	13	22	13	17	18	13	22	23	10	3	10	8									
10	Число действительных избирательных бюллетеней	8630	538	665	663	595	368	420	446	392	354	437	486	377	382	434	402	317	360	230	119	53	410	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	520	30	30	55	25	20	25	25	25	25	25	25	25	25	25	25	25	15	15	10	10	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	268	14	17	42	19	13	9	15	10	10	8	24	11	14	10	18	10	8	7	1	2	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	205	17	12	19	9	10	9	12	10	3	18	12	10	10	10	5	11	6	2	2	3	9	6									
14	Число погашенных неиспользованных открепительных удостоверений	252	16	13	13	6	7	16	10	15	15	17	1	14	11	15	7	15	7	8	9	8	17	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	242	10	28	78	15	16	5	5	7	8	13	21	5	8	5	4	4	2	2	0	2	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	4	9	6	3	8	2	2	2	2	8	1	2	3	2	2	3	1	0	0	1	4	1									
		0.73%	0.72%	1.31%	0.85%	0.49%	2.08%	0.46%	0.43%	0.49%	0.54%	1.71%	0.20%	0.50%	0.76%	0.44%	0.48%	0.91%	0.26%	0.00%	0.00%	1.79%	0.95%	0.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	401	27	29	36	30	17	18	17	16	13	17	28	18	20	19	25	15	10	17	3	3	11	12									
		4.45%	4.89%	4.23%	5.13%	4.85%	4.43%	4.12%	3.64%	3.91%	3.53%	3.63%	5.61%	4.51%	5.06%	4.21%	5.95%	4.55%	2.62%	6.72%	2.33%	5.36%	2.62%	6.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	310	18	27	28	24	21	22	14	9	18	14	8	16	11	26	9	10	8	11	3	3	8	2									
