Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Орловская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1553	УИК №1554	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1593	УИК №1594	УИК №1595	УИК №1596									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28944	698	220	492	522	157	1095	227	307	1069	1250	1432	275	353	437	96	485	145	122	729	634	247	152	619	175	1300	1169	1762	1057	1315	1190	1248	1013	1719	1481	1616	745	191	253	607	340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28920	700	220	500	520	170	1100	220	300	1080	1250	1440	280	350	440	100	480	140	130	730	630	250	150	620	170	1280	1180	1770	1060	1320	1200	1250	1000	1700	1470	1600	750	200	250	580	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17208	412	149	252	170	82	502	90	78	721	337	1030	112	72	169	25	367	112	72	349	251	81	66	256	70	828	424	1376	807	1086	820	623	602	1227	1176	995	617	117	149	322	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1502	27	7	33	38	11	131	32	71	59	49	48	37	10	30	23	16	3	10	49	28	28	8	21	5	93	75	40	40	30	13	23	51	63	16	128	46	15	2	84	9									
6	Число погашенных избирательных бюллетеней	10210	261	64	215	312	77	467	98	151	300	864	362	131	268	241	52	97	25	48	332	351	141	76	343	95	359	681	354	213	204	367	604	347	410	278	477	87	68	99	174	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1502	27	7	33	38	11	131	32	71	59	49	48	37	10	30	23	16	3	10	49	28	28	8	21	5	93	75	40	40	30	13	23	51	63	16	128	46	15	2	84	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17201	412	149	252	170	82	502	90	78	721	337	1030	112	72	169	25	367	112	72	344	251	81	66	256	70	828	423	1375	807	1086	820	623	602	1227	1176	995	617	117	149	322	214									
9	Число недействительных избирательных бюллетеней	170	0	0	9	7	0	4	0	1	0	16	4	0	1	5	0	0	0	2	7	2	2	2	12	1	0	9	2	9	11	4	15	5	13	0	15	2	0	4	6	0									
10	Число действительных избирательных бюллетеней	18533	439	156	276	201	93	629	122	148	780	370	1074	149	81	194	48	383	115	80	386	277	107	72	265	74	921	489	1413	838	1105	829	631	648	1277	1192	1108	661	132	147	400	223									
