Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
"Наименование Избирательной комиссии:    Калининград, Балтийская"																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №740	УИК №741					
1	"Число избирателей, внесенных в списки избирателей"	54553	2567	2808	2148	1353	2188	2396	2016	2475	2361	1927	1751	2150	2288	2298	489	1557	2484	2423	1890	1203	2012	1884	1751	2581	1874	2443	378	30	15	25	67	68	89	19	17	17	16	15	16	16	8	71	11	11	13	12	11	13	11	11	12	11	11	12	64	41	41	42	10	21	11	12					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52731	2500	2700	2000	1200	2100	2150	1950	2350	2300	1900	1700	2100	2200	2200	600	1450	2400	2350	1850	1150	1950	1850	1650	2500	1900	2350	500	30	15	25	67	68	89	22	17	18	19	18	19	18	9	77	11	11	13	12	11	13	11	11	12	11	11	12	64	41	41	42	10	21	12	12					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30097	1315	1562	1099	615	1200	1236	887	1310	1392	1135	975	1167	1335	1200	394	882	1352	1283	1082	617	1172	1135	947	1390	967	1245	377	29	15	25	63	68	89	19	17	17	16	15	16	16	7	67	11	11	13	12	11	13	11	11	12	2	11	11	57	41	37	41	10	21	11	12					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	449	87	14	14	13	17	54	13	3	10	8	11	12	12	12	0	10	15	13	11	6	20	13	20	23	23	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	22174	1098	1124	887	572	883	860	1050	1037	887	757	714	921	853	988	206	558	1033	1054	757	527	758	702	683	1087	910	1091	122	1	0	0	4	0	0	3	0	1	3	3	3	2	2	10	0	0	0	0	0	0	0	0	0	9	0	1	7	0	4	1	0	0	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	449	87	14	14	13	17	54	13	3	10	8	11	12	12	12	0	10	15	13	11	6	20	13	20	23	23	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30050	1315	1562	1096	610	1196	1232	887	1307	1389	1135	975	1164	1335	1193	394	882	1352	1283	1082	617	1171	1135	943	1388	966	1244	377	27	15	25	63	68	89	19	17	17	16	15	16	16	7	67	11	11	13	12	11	13	11	11	12	2	11	11	57	41	35	41	10	19	11	0					
9	Число недействительных избирательных бюллетеней	438	21	13	8	0	8	9	13	13	19	20	11	20	11	14	3	7	9	20	69	8	17	21	9	21	13	16	5	0	0	0	0	1	2	2	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	2	0	0	0	17	8	1	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	30061	1381	1563	1102	623	1205	1277	887	1297	1380	1123	975	1156	1336	1191	391	885	1358	1276	1024	615	1174	1127	954	1390	976	1242	373	27	15	25	63	67	87	17	17	16	16	14	16	16	7	66	11	10	13	11	11	12	11	11	10	2	11	11	40	33	34	41	10	18	11	0					
