Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Курчатовская городская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в списки"	37026	2521	2425	2398	2595	2465	2713	2834	2770	2613	2691	2829	2790	2781	2601					
2	"Число бюллетеней, полученных участковыми комиссиями"	32847	2241	2156	2144	2298	2217	2408	2508	2467	2327	2366	2509	2463	2470	2273					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21290	1424	1592	1427	1677	1112	1648	1361	1709	1544	1560	1703	1698	1337	1498					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	172	26	23	14	19	7	11	13	9	14	7	3	6	11	9					
6	Число погашенных бюллетеней	11385	791	541	703	602	1098	749	1134	749	769	799	803	759	1122	766					
7	Число бюллетеней в переносных ящиках для голосования	172	26	23	14	19	7	11	13	9	14	7	3	6	11	9					
8	Число бюллетеней в стационарных ящиках для голосования	21260	1424	1587	1423	1677	1102	1646	1359	1704	1547	1560	1701	1695	1337	1498					
9	Число недействительных бюллетеней	193	18	20	17	0	4	26	8	13	18	10	16	22	11	10					
10	Число действительных бюллетеней	21239	1432	1590	1420	1696	1105	1631	1364	1700	1543	1557	1688	1679	1337	1497					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	280	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	154	12	6	8	14	9	14	14	14	13	10	15	7	11	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	6	2	1	3	2	3	0	0	2	3	2	3	1	18					
