Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Нововаршавская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227					
1	"Число избирателей, внесенных в список избирателей"	18452	1755	1384	689	547	314	1010	1434	1442	795	380	203	227	264	1091	34	92	384	130	111	515	198	141	824	241	323	151	83	681	176	181	1547	794	94	43	174					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19075	1775	1414	1090	542	319	1036	1439	1447	810	374	192	217	265	1080	28	88	404	129	111	536	244	142	829	243	317	151	84	687	177	177	1610	816	93	41	168					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12387	1071	868	646	350	179	721	874	913	579	313	171	204	242	589	24	69	323	97	102	373	160	107	440	150	227	58	61	471	121	151	899	600	77	33	124					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	806	58	55	43	7	17	51	48	55	27	15	4	5	4	65	1	8	8	8	0	50	38	9	30	11	16	4	0	29	17	6	80	34	3	0	0					
6	Число погашенных избирательных бюллетеней	5882	646	491	401	185	123	264	517	479	204	46	17	8	19	426	3	11	73	24	9	113	46	26	359	82	74	89	23	187	39	20	631	182	13	8	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	806	58	55	43	7	17	51	48	55	27	15	4	5	4	65	1	8	8	8	0	50	38	9	30	11	16	4	0	29	17	6	80	34	3	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12387	1071	868	646	350	179	721	874	913	579	313	171	204	242	589	24	69	323	97	102	373	160	107	440	150	227	58	61	471	121	151	899	600	77	33	124					
9	Число недействительных избирательных бюллетеней	223	21	14	11	6	5	11	10	14	15	5	5	3	5	14	0	1	5	0	0	4	4	5	16	1	6	4	0	5	6	3	13	9	0	1	1					
10	Число действительных избирательных бюллетеней	12970	1108	909	678	351	191	761	912	954	591	323	170	206	241	640	25	76	326	105	102	419	194	111	454	160	237	58	61	495	132	154	966	625	80	32	123					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	48	49	40	15	15	35	35	35	25	15	10	10	15	30	5	5	24	5	5	15	5	5	20	5	5	5	5	19	5	5	25	25	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	335	48	49	17	12	1	17	12	12	7	1	3	0	3	24	1	2	14	0	0	13	4	2	6	2	1	0	0	14	5	5	25	25	0	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	4	7	9	4	1	7	11	9	1	3	3	3	2	7	4	7	2	2	2	1	4	2	4	1	6	2	2	6	3	3	6	8	2	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	245	0	0	23	3	14	18	23	23	18	14	7	10	12	6	4	3	10	5	5	2	1	3	14	3	4	5	5	5	0	0	0	0	5	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1215	146	123	89	47	22	67	103	118	42	26	9	17	6	42	1	2	28	4	2	44	8	5	58	8	8	2	0	37	9	12	74	41	2	6	7					
		9.21%	12.93%	13.33%	12.92%	13.17%	11.22%	8.68%	11.17%	12.19%	6.93%	7.93%	5.14%	8.13%	2.44%	6.42%	4.00%	2.60%	8.46%	3.81%	1.96%	10.40%	4.04%	4.31%	12.34%	4.97%	3.29%	3.23%	0.00%	7.40%	6.52%	7.64%	7.56%	6.47%	2.50%	18.18%	5.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1366	134	115	101	43	27	64	151	167	70	23	3	10	1	44	2	5	42	3	5	35	6	5	42	26	0	8	3	42	27	26	89	38	1	0	8					
		10.35%	11.87%	12.46%	14.66%	12.04%	13.78%	8.29%	16.38%	17.25%	11.55%	7.01%	1.71%	4.78%	0.41%	6.73%	8.00%	6.49%	12.69%	2.86%	4.90%	8.27%	3.03%	4.31%	8.94%	16.15%	0.00%	12.90%	4.92%	8.40%	19.57%	16.56%	9.09%	5.99%	1.25%	0.00%	6.45%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	186	13	10	5	2	4	8	12	14	3	0	3	0	2	5	0	1	0	0	0	2	2	0	21	0	39	0	10	7	2	3	9	3	2	0	4					
