Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
"Наименование Избирательной комиссии:    Саратов, Волжская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47					
1	"Число избирателей, внесенных в список избирателей"	70130	783	1749	779	1319	1814	1341	1474	1370	1022	1692	1430	1064	2027	760	2668	2500	2453	2263	913	1937	2266	1776	1404	1078	1996	1623	1221	1845	1777	1289	1554	1988	253	1261	1500	1334	1222	1548	2268	1537	1039	1275	1889	1580	1999	137	113					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69076	600	1300	750	1310	1830	1310	1460	1400	1030	1720	1440	1040	2070	760	2740	2440	2500	2290	900	1900	2300	1760	1420	900	1770	1470	1210	1800	1850	1300	1500	2030	253	1260	1500	1340	1180	1560	2180	1560	1040	1280	1900	1640	2030	137	116					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	32916	448	1044	337	604	900	912	849	673	562	856	629	606	776	232	1500	1164	1151	993	348	713	1201	746	661	414	927	533	361	641	814	470	703	888	253	604	470	599	475	764	1030	482	440	523	1487	1199	684	137	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2248	10	45	37	39	23	65	34	47	55	40	45	29	52	8	31	22	31	22	15	67	83	30	69	5	75	8	40	37	135	12	20	44	0	27	20	22	46	255	225	92	41	23	106	52	64	0	0					
6	Число погашенных избирательных бюллетеней	33912	142	211	376	667	907	333	577	680	413	824	766	405	1242	520	1209	1254	1318	1275	537	1120	1016	984	690	481	768	929	809	1122	901	818	777	1098	0	629	1010	719	659	541	925	986	559	734	307	389	1282	0	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2248	10	45	37	39	23	65	34	47	55	40	45	29	52	8	31	22	31	22	15	67	83	30	69	5	75	8	40	37	135	12	20	44	0	27	20	22	46	255	225	92	41	23	106	52	64	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32677	448	1044	337	604	900	912	849	668	562	856	629	582	775	232	1500	1164	1150	993	348	713	1201	741	661	414	927	533	361	641	814	470	703	888	253	604	468	598	475	764	924	481	410	493	1454	1199	684	137	113					
9	Число недействительных избирательных бюллетеней	603	2	13	5	12	20	15	6	7	5	5	29	13	19	2	3	22	50	18	9	8	140	9	6	11	20	10	4	8	1	8	10	19	0	3	0	6	10	10	19	4	3	2	10	13	11	2	1					
10	Число действительных избирательных бюллетеней	34322	456	1076	369	631	903	962	877	708	612	891	645	598	808	238	1528	1164	1131	997	354	772	1144	762	724	408	982	531	397	670	948	474	713	913	253	628	488	614	511	1009	1130	569	448	514	1550	1238	737	135	112					
