Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
"Наименование Избирательной комиссии:    Иваново, Советская"																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134					
1	"Число избирателей, внесенных в списки"	54279	1364	1469	1093	1358	1736	1742	1315	1413	1544	2038	1589	1571	899	1525	1734	1608	1603	1945	1098	963	1447	1787	1255	1133	2812	2342	2046	1459	1431	1431	1460	1856	1199	1464	1550					
2	"Число бюллетеней, полученных участковыми комиссиями"	54165	1368	1458	1083	1321	1726	1732	1305	1411	1526	2032	1596	1568	897	1517	1731	1600	1594	1945	1093	951	1433	1854	1248	1130	2852	2343	2048	1450	1418	1424	1458	1878	1205	1436	1534					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24255	500	728	428	545	847	806	460	601	744	795	784	669	340	747	902	708	761	918	457	398	730	930	562	600	1380	1086	806	537	582	568	660	860	434	596	786					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	813	25	12	27	45	16	21	11	23	14	11	30	19	35	25	20	19	23	7	27	16	14	13	27	15	19	39	34	15	29	19	20	22	13	99	9					
6	Число погашенных бюллетеней	29097	843	718	628	731	863	905	834	787	768	1226	782	880	522	745	809	873	810	1020	609	537	689	911	659	515	1453	1218	1208	898	807	837	778	996	758	741	739					
7	Число бюллетеней в переносных ящиках для голосования	812	25	12	27	45	16	21	11	23	14	11	30	19	35	25	20	19	23	7	27	16	14	13	27	15	19	39	34	14	29	19	20	22	13	99	9					
8	Число бюллетеней в стационарных ящиках для голосования	24247	500	728	427	545	847	806	460	601	743	795	783	668	340	747	901	707	761	918	457	398	729	930	562	600	1380	1086	805	537	582	568	660	860	434	596	786					
9	Число недействительных бюллетеней	348	13	6	5	6	9	11	2	12	10	11	9	11	7	11	7	34	1	3	10	12	10	14	5	6	14	20	9	10	7	9	9	9	5	19	12					
10	Число действительных бюллетеней	24711	512	734	449	584	854	816	469	612	747	795	804	676	368	761	914	692	783	922	474	402	733	929	584	609	1385	1105	830	541	604	578	671	873	442	676	783					
