Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Красногорская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10735	1074	1012	475	501	818	629	753	155	114	148	426	195	251	277	106	310	698	323	294	196	308	712	350	241	286	83									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10950	1091	1040	482	518	847	639	758	165	114	151	433	200	252	278	104	312	710	336	297	198	310	724	355	249	299	88									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8665	825	705	397	191	720	556	634	134	94	131	379	145	188	246	69	295	650	259	280	149	297	511	254	225	255	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	362	39	20	18	9	16	11	3	2	7	4	10	27	28	11	1	3	0	59	0	30	2	25	37	0	0	0									
6	Число погашенных избирательных бюллетеней	1923	227	315	67	318	111	72	121	29	13	16	44	28	36	21	34	14	60	18	17	19	11	188	64	24	44	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	362	39	20	18	9	16	11	3	2	7	4	10	27	28	11	1	3	0	59	0	30	2	25	37	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8662	825	705	397	191	720	556	634	134	94	131	379	145	188	246	69	292	650	259	280	149	297	511	254	225	255	76									
9	Число недействительных избирательных бюллетеней	47	4	4	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	0	24	3									
10	Число действительных избирательных бюллетеней	8977	860	721	415	196	736	567	637	136	101	135	388	171	216	257	70	295	650	318	280	179	299	536	285	225	231	73									
