Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Абинская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №8347									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68104	2179	2158	1875	1626	2249	2134	1722	1855	1882	2151	1550	2052	1411	1975	317	266	923	454	906	2372	2599	2401	2323	2491	2541	1600	2380	1960	1477	2053	2240	530	370	436	271	1946	1959	983	1217	1022	572	1009	1667									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74984	2143	2077	1797	1543	2188	2016	1614	1826	1805	2002	1547	2032	1332	1871	300	262	898	430	902	2376	2550	2397	2334	2483	2548	1533	2324	1976	1391	1985	2207	516	378	437	267	1967	1974	1000	1242	1019	573	1022	9900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29508	1098	1185	896	689	989	930	676	909	840	965	684	874	616	866	166	156	450	237	491	778	1067	967	995	720	861	700	855	760	533	720	807	259	136	158	86	1034	673	389	579	446	298	469	1501									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3611	93	69	58	48	118	61	45	67	107	97	79	50	66	105	47	11	59	29	51	128	63	62	78	175	90	103	135	100	119	135	193	38	178	84	53	116	140	99	70	64	75	39	14									
6	Число погашенных избирательных бюллетеней	41723	952	823	843	806	1081	1025	893	850	858	940	784	1108	650	900	87	95	389	164	360	1470	1420	1368	1261	1588	1597	730	1334	1116	739	1130	1207	219	64	195	128	817	1161	512	593	509	200	514	8243									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3753	93	69	58	48	118	61	45	67	107	97	79	50	66	105	47	11	59	29	51	128	63	62	78	175	90	103	135	100	119	135	193	38	178	84	53	116	140	99	70	64	75	39	156									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29501	1098	1185	896	689	986	928	676	909	840	965	684	874	616	866	166	156	450	237	491	778	1067	967	995	720	861	700	855	760	533	720	807	259	136	158	86	1034	673	389	579	446	298	467	1501									
9	Число недействительных избирательных бюллетеней	782	36	29	21	25	26	31	15	13	25	25	17	24	12	24	7	7	15	7	18	20	31	20	20	16	18	22	28	24	19	14	30	5	18	7	3	27	18	9	18	6	10	12	10									
10	Число действительных избирательных бюллетеней	32472	1155	1225	933	712	1078	958	706	963	922	1037	746	900	670	947	206	160	494	259	524	886	1099	1009	1053	879	933	781	962	836	633	841	970	292	296	235	136	1123	795	479	631	504	363	494	1647									
