Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Михайловская городская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426					
1	"Число избирателей, внесенных в список избирателей"	46146	1978	2117	2283	2098	1970	1207	1365	2488	2312	1263	1095	1250	1033	862	1450	2240	1940	1857	1842	2044	1983	2261	1201	1248	2522	2237					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42150	1900	2000	2000	1800	1800	1100	1300	2400	2200	1000	1000	1100	900	750	1250	2000	1750	1750	1750	1950	1850	2000	1050	1050	2350	2150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20054	886	973	1025	851	835	559	566	1025	975	443	442	498	409	366	568	941	888	913	844	985	947	926	510	564	1117	998					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1685	50	41	36	212	125	42	51	93	43	201	41	63	40	30	42	95	40	37	20	27	38	108	30	63	51	66					
6	Число погашенных избирательных бюллетеней	20411	964	986	939	737	840	499	683	1282	1182	356	517	539	451	354	640	964	822	800	886	938	865	966	510	423	1182	1086					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1685	50	41	36	212	125	42	51	93	43	201	41	63	40	30	42	95	40	37	20	27	38	108	30	63	51	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20054	886	973	1025	851	835	559	566	1025	975	443	442	498	409	366	568	941	888	913	844	985	947	926	510	564	1117	998					
9	Число недействительных избирательных бюллетеней	194	9	4	7	25	13	3	5	11	10	14	3	4	2	2	6	5	8	12	10	7	6	9	7	3	7	2					
10	Число действительных избирательных бюллетеней	21545	927	1010	1054	1038	947	598	612	1107	1008	630	480	557	447	394	604	1031	920	938	854	1005	979	1025	533	624	1161	1062					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	575	15	30	30	20	20	20	21	25	25	15	15	15	15	15	15	35	15	25	30	30	30	27	15	15	30	27					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	431	9	23	20	18	18	18	20	19	19	2	4	15	10	8	13	24	15	15	30	21	22	20	13	8	23	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	319	14	21	13	18	22	19	6	7	10	17	7	4	13	2	10	9	19	12	14	17	17	13	8	10	10	7					
14	Число погашенных неиспользованных открепительных удостоверений	144	6	7	10	2	2	2	1	6	6	13	11	0	5	7	2	11	0	10	0	9	8	7	2	7	7	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6727	271	329	323	344	308	227	192	328	299	217	149	151	149	103	165	294	289	324	278	350	331	306	155	181	349	315					
		30.94%	28.95%	32.45%	30.44%	32.36%	32.08%	37.77%	31.12%	29.34%	29.37%	33.70%	30.85%	26.92%	33.18%	26.01%	27.05%	28.38%	31.14%	34.11%	32.18%	34.58%	33.60%	29.59%	28.70%	28.87%	29.88%	29.61%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3309	134	123	187	143	129	87	96	168	148	131	71	97	65	64	109	186	127	140	132	148	117	179	90	95	166	177					
		15.22%	14.32%	12.13%	17.62%	13.45%	13.44%	14.48%	15.56%	15.03%	14.54%	20.34%	14.70%	17.29%	14.48%	16.16%	17.87%	17.95%	13.69%	14.74%	15.28%	14.62%	11.88%	17.31%	16.67%	15.15%	14.21%	16.64%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	173	6	7	11	9	7	7	3	5	10	5	7	5	8	1	8	15	7	2	5	12	8	6	5	2	3	9					
		0.80%	0.64%	0.69%	1.04%	0.85%	0.73%	1.16%	0.49%	0.45%	0.98%	0.78%	1.45%	0.89%	1.78%	0.25%	1.31%	1.45%	0.75%	0.21%	0.58%	1.19%	0.81%	0.58%	0.93%	0.32%	0.26%	0.85%					
