Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Тасеевская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1923	УИК №1924	УИК №1925	УИК №1927	УИК №1928	УИК №1929	УИК №1931	УИК №1932	УИК №1934	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1952	УИК №1953	УИК №1977	УИК №2079									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10362	785	1051	760	674	531	816	654	106	194	358	130	93	82	290	171	300	66	391	164	125	48	123	441	151	1158	700									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9850	750	1050	750	650	500	800	650	100	170	350	100	90	80	250	150	250	60	350	150	100	50	100	400	100	1150	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3363	215	340	229	165	156	257	203	30	55	165	39	46	42	93	77	142	32	156	74	54	34	47	121	58	339	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	407	14	42	16	21	33	31	26	10	38	5	2	5	12	14	4	6	3	8	10	3	0	8	17	10	31	38									
6	Число погашенных избирательных бюллетеней	6057	521	668	505	464	311	512	421	60	77	180	59	39	26	143	69	102	25	163	66	43	16	45	262	32	780	468									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	430	14	42	16	21	33	31	26	10	38	5	2	5	12	14	4	6	3	31	10	3	0	8	17	10	31	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3363	215	340	229	165	156	257	203	30	55	165	39	46	42	93	77	142	32	156	74	54	34	47	121	58	339	194									
9	Число недействительных избирательных бюллетеней	80	6	4	4	7	1	4	5	0	3	3	3	1	0	5	4	2	0	6	2	1	0	0	4	2	9	4									
10	Число действительных избирательных бюллетеней	3713	223	378	241	179	188	284	224	40	90	167	38	50	54	102	77	146	35	181	82	56	34	55	134	66	361	228									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	15	15	15	15	15	15	15	5	5	10	5	5	5	10	5	5	5	10	5	5	5	10	10	5	15	15									
