Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Верхоянская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131					
1	"Число избирателей, внесенных в списки"	8293	1531	1203	360	277	826	314	226	243	216	428	328	94	191	142	562	590	204	96	462					
2	"Число бюллетеней, полученных участковыми комиссиями"	8619	1603	1161	330	260	845	355	255	255	250	450	375	110	205	135	590	635	215	115	475					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	429	37	4	0	0	0	38	36	18	26	78	16	0	0	3	77	16	4	4	72					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4908	735	526	253	177	556	193	150	151	148	237	238	72	156	88	319	396	169	78	266					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	594	66	101	0	35	88	38	7	20	14	37	13	2	6	21	60	46	7	3	30					
6	Число погашенных бюллетеней	2687	764	530	77	48	201	86	62	66	62	98	108	36	43	23	134	177	35	30	107					
7	Число бюллетеней в переносных ящиках для голосования	1024	104	105	0	35	88	76	43	38	40	115	29	2	6	24	137	62	11	7	102					
8	Число бюллетеней в стационарных ящиках для голосования	4908	735	526	253	177	556	193	150	151	148	237	238	72	156	88	319	396	169	78	266					
9	Число недействительных бюллетеней	90	24	11	0	2	6	5	5	4	3	7	2	1	0	0	6	7	2	0	5					
10	Число действительных бюллетеней	5842	815	620	253	210	638	264	188	185	185	345	265	73	162	112	450	451	178	85	363					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	52	45	11	9	29	12	9	9	8	15	13	4	7	5	20	22	7	5	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	138	21	16	2	4	13	12	7	2	5	7	12	0	5	0	5	20	0	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	16	15	3	1	8	3	1	3	1	2	1	0	4	2	2	6	3	1	3					
14	Число погашенных открепительных удостоверений	160	31	29	9	5	16	0	2	7	3	8	1	4	2	5	15	2	7	3	11					
15	Число открепительных удостоверений выданных ТИК	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	251	19	12	4	9	22	20	5	6	16	18	18	2	8	2	26	25	7	9	23					
		4.23%	2.26%	1.90%	1.58%	4.24%	3.41%	7.43%	2.59%	3.17%	8.51%	5.11%	6.74%	2.70%	4.93%	1.78%	5.70%	5.45%	3.88%	10.58%	6.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	521	62	55	20	3	53	22	7	30	19	38	48	6	11	3	62	14	22	6	40					
		8.78%	7.38%	8.71%	7.90%	1.41%	8.22%	8.17%	3.62%	15.87%	10.10%	10.79%	17.97%	8.10%	6.79%	2.67%	13.59%	3.05%	12.22%	7.05%	10.86%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	220	29	17	5	7	35	11	15	8	3	15	8	1	7	4	17	17	5	3	13					
