Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Ольгинская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744					
1	"Число избирателей, внесенных в список"	8857	323	507	2293	818	382	544	138	105	139	99	129	273	830	654	87	1092	444					
2	Число полученных избирательных бюллетеней	8977	330	517	2325	858	370	546	140	110	141	95	150	280	827	694	90	1070	434					
3	"Число избирательных бюллетеней, выданных  досрочно"	51	0	0	0	0	14	0	0	0	0	0	37	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5837	259	353	1464	502	237	385	95	74	103	76	76	188	493	476	74	674	308					
5	"Число избирательных бюллетеней, выданных вне помещения"	318	8	12	83	43	9	7	8	3	9	8	0	38	36	31	0	19	4					
6	Число погашенных избирательных бюллетеней	2771	63	152	778	313	110	154	37	33	29	11	37	54	298	187	16	377	122					
7	Число избирательных бюллетеней в переносных ящиках	369	8	12	83	43	23	7	8	3	9	8	37	38	36	31	0	19	4					
8	Число бюллетеней в стационарных ящиках для голосования	5837	259	353	1464	502	237	385	95	74	103	76	76	188	493	476	74	674	308					
9	Число недействительных избирательных бюллетеней	65	1	7	10	3	1	6	3	1	1	0	1	2	6	6	0	12	5					
10	Число действительных избирательных бюллетеней	6141	266	358	1537	542	259	386	100	76	111	84	112	224	523	501	74	681	307					
11	Число полученных открепительных  удостоверений	142	10	8	34	13	5	9	2	2	2	1	1	6	14	11	1	16	7					
12	Число выданных открепительных удостоверений	72	9	1	23	9	1	0	0	2	2	0	1	2	0	11	1	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	0	3	20	5	0	2	0	1	0	2	9	2	1	2	1	4	1					
14	Число неиспользованных открепительных удостоверений	70	1	7	11	4	4	9	2	0	0	1	0	4	14	0	0	8	5					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	2	1	0	0	0	0	0	0	1	0	1	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	367	15	14	141	56	16	22	1	9	1	0	4	5	17	11	2	43	10					
		5.91%	5.62%	3.84%	9.11%	10.28%	6.15%	5.61%	0.97%	11.69%	0.89%	0.00%	3.54%	2.21%	3.21%	2.17%	2.70%	6.20%	3.21%					
19	. Малышкин Олег Александрович	355	13	13	126	33	8	41	3	3	2	5	1	5	26	26	3	33	14					
		5.72%	4.87%	3.56%	8.14%	6.06%	3.08%	10.46%	2.91%	3.90%	1.79%	5.95%	0.88%	2.21%	4.91%	5.13%	4.05%	4.76%	4.49%					
20	. Миронов Сергей Михайлович	52	0	1	12	7	3	7	0	1	1	1	0	5	5	4	0	5	0					
		0.84%	0.00%	0.27%	0.78%	1.28%	1.15%	1.79%	0.00%	1.30%	0.89%	1.19%	0.00%	2.21%	0.95%	0.79%	0.00%	0.72%	0.00%					
21	. Путин Владимир Владимирович	3665	146	267	762	246	156	227	83	49	77	64	81	158	320	317	52	434	226					
		59.06%	54.68%	73.15%	49.26%	45.14%	60.00%	57.91%	80.58%	63.64%	68.75%	76.19%	71.68%	69.91%	60.49%	62.52%	70.27%	62.63%	72.44%					
22	. Хакамада Ирина Муцуовна	231	12	4	78	37	11	12	4	1	2	1	4	3	20	21	2	15	4					
		3.72%	4.49%	1.10%	5.04%	6.79%	4.23%	3.06%	3.88%	1.30%	1.79%	1.19%	3.54%	1.33%	3.78%	4.14%	2.70%	2.16%	1.28%					
23	. Харитонов Николай Михайлович	1203	67	48	338	131	55	64	5	11	25	12	12	42	100	111	14	126	42					
		19.38%	25.09%	13.15%	21.85%	24.04%	21.15%	16.33%	4.85%	14.29%	22.32%	14.29%	10.62%	18.58%	18.90%	21.89%	18.92%	18.18%	13.46%					
																								
24	Против всех	268	13	11	80	32	10	13	4	2	3	1	10	6	35	11	1	25	11					
		4.32%	4.87%	3.01%	5.17%	5.87%	3.85%	3.32%	3.88%	2.60%	2.68%	1.19%	8.85%	2.65%	6.62%	2.17%	1.35%	3.61%	3.53%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
