Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Любимская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542					
1	"Число избирателей, внесенных в списки избирателей"	10334	1088	800	1153	967	808	228	148	384	380	123	102	94	179	386	996	134	197	237	175	254	128	228	440	173	212	320					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10822	1128	847	1232	1007	814	234	166	399	381	128	106	96	196	375	1040	152	204	244	188	280	137	231	468	195	239	335					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5887	595	478	753	587	477	107	87	252	169	74	49	41	88	215	688	72	100	127	126	84	82	77	192	82	115	170					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1904	95	66	99	85	42	83	42	83	148	40	34	25	58	65	44	45	59	54	36	109	27	106	192	63	84	120					
6	Число погашенных избирательных бюллетеней	3031	438	303	380	335	295	44	37	64	64	14	23	30	50	95	308	35	45	63	26	87	28	48	84	50	40	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1904	95	66	99	85	42	83	42	83	148	40	34	25	58	65	44	45	59	54	36	109	27	106	192	63	84	120					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5887	595	478	753	587	477	107	87	252	169	74	49	41	88	215	688	72	100	127	126	84	82	77	192	82	115	170					
9	Число недействительных избирательных бюллетеней	51	7	8	9	1	2	0	0	2	3	1	0	1	0	2	4	1	0	0	4	1	2	0	1	0	0	2					
10	Число действительных избирательных бюллетеней	7740	683	536	843	671	517	190	129	333	314	113	83	65	146	278	728	116	159	181	158	192	107	183	383	145	199	288					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	432	13	38	44	28	16	3	13	24	35	7	12	0	13	10	15	18	3	4	12	33	12	3	15	8	28	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	310	11	20	37	14	7	2	13	24	8	3	2	0	13	8	12	16	3	4	12	28	9	1	11	8	23	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	151	8	4	13	4	6	2	1	13	3	4	2	3	3	9	15	3	3	10	2	6	3	3	5	7	8	11					
14	Число погашенных неиспользованных открепительных удостоверений	122	2	18	7	14	9	1	0	0	27	4	10	0	0	2	3	2	0	0	0	5	3	2	4	0	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	2	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	454	32	19	37	40	10	11	14	26	11	6	5	3	1	9	44	4	18	16	11	10	0	19	25	15	26	42					
		5.83%	4.64%	3.49%	4.34%	5.95%	1.93%	5.79%	10.85%	7.76%	3.47%	5.26%	6.02%	4.55%	0.68%	3.21%	6.01%	3.42%	11.32%	8.84%	6.79%	5.18%	0.00%	10.38%	6.51%	10.34%	13.07%	14.48%					
19	2.Всероссийская политическая партия «Гражданская Сила»	29	2	1	7	3	4	0	0	1	2	0	0	1	3	1	0	0	0	0	0	0	0	1	1	1	0	1					
		0.37%	0.29%	0.18%	0.82%	0.45%	0.77%	0.00%	0.00%	0.30%	0.63%	0.00%	0.00%	1.52%	2.05%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.26%	0.69%	0.00%	0.34%					
20	3.Политическая партия «Демократическая партия России»	6	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.19%	0.53%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	532	44	61	82	47	39	4	6	16	18	5	2	5	5	15	83	12	7	12	5	7	4	1	25	6	8	13					
		6.83%	6.38%	11.21%	9.62%	6.99%	7.51%	2.11%	4.65%	4.78%	5.68%	4.39%	2.41%	7.58%	3.42%	5.36%	11.34%	10.26%	4.40%	6.63%	3.09%	3.63%	3.67%	0.55%	6.51%	4.14%	4.02%	4.48%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	21	0	1	6	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1					
		0.27%	0.00%	0.18%	0.70%	1.19%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	1.51%	0.34%					
23	6.Политическая партия «Партия социальной справедливости»	11	1	0	0	0	2	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0					
		0.14%	0.14%	0.00%	0.00%	0.00%	0.39%	0.53%	0.78%	0.60%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1178	101	83	108	87	76	30	15	36	32	14	5	13	27	35	165	22	28	35	20	33	30	21	35	17	26	84					
		15.12%	14.64%	15.26%	12.68%	12.95%	14.64%	15.79%	11.63%	10.75%	10.09%	12.28%	6.02%	19.70%	18.49%	12.50%	22.54%	18.80%	17.61%	19.34%	12.35%	17.10%	27.52%	11.48%	9.11%	11.72%	13.07%	28.97%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	865	93	67	166	110	87	27	10	25	13	3	5	3	3	26	115	11	7	9	6	13	8	11	12	18	7	10					
		11.10%	13.48%	12.32%	19.48%	16.37%	16.76%	14.21%	7.75%	7.46%	4.10%	2.63%	6.02%	4.55%	2.05%	9.29%	15.71%	9.40%	4.40%	4.97%	3.70%	6.74%	7.34%	6.01%	3.13%	12.41%	3.52%	3.45%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	30	5	7	2	2	3	0	2	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0					
		0.39%	0.72%	1.29%	0.23%	0.30%	0.58%	0.00%	1.55%	0.30%	0.32%	0.88%	1.20%	0.00%	0.00%	0.00%	0.14%	0.85%	0.00%	0.55%	0.00%	0.52%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4582	403	295	432	373	290	115	79	226	233	83	65	39	107	188	315	65	99	108	116	125	65	127	285	88	127	134					
		58.81%	58.41%	54.23%	50.70%	55.51%	55.88%	60.53%	61.24%	67.46%	73.50%	72.81%	78.31%	59.09%	73.29%	67.14%	43.03%	55.56%	62.26%	59.67%	71.60%	64.77%	59.63%	69.40%	74.22%	60.69%	63.82%	46.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	32	2	2	3	1	5	0	2	0	2	0	0	1	0	4	2	1	0	0	0	2	0	0	0	0	2	3					
		0.41%	0.29%	0.37%	0.35%	0.15%	0.96%	0.00%	1.55%	0.00%	0.63%	0.00%	0.00%	1.52%	0.00%	1.43%	0.27%	0.85%	0.00%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	1.01%	1.03%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
