Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Камышловская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22054	887	823	1138	881	1390	112	2080	1478	1215	1954	1555	1076	1127	1736	385	1144	1525	1548									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16100	650	600	800	650	1000	250	1450	1050	900	1450	1150	800	800	1250	300	800	1100	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9008	381	323	428	312	613	0	733	547	481	812	711	438	445	672	160	505	703	744									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	305	3	5	3	20	18	112	22	9	14	22	17	9	9	11	3	7	7	14									
6	Число погашенных избирательных бюллетеней	6787	266	272	369	318	369	138	695	494	405	616	422	353	346	567	137	288	390	342									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	305	3	5	3	20	18	112	22	9	14	22	17	9	9	11	3	7	7	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9007	381	323	428	312	613	0	733	547	481	812	711	438	445	672	159	505	703	744									
9	Число недействительных избирательных бюллетеней	300	11	13	13	19	16	4	27	17	10	27	18	16	7	24	8	13	31	26									
10	Число действительных избирательных бюллетеней	9012	373	315	418	313	615	108	728	539	485	807	710	431	447	659	154	499	679	732									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	630	30	30	35	30	40	0	50	40	40	45	40	35	35	45	20	35	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	70	3	2	2	1	2	0	8	6	3	5	5	4	3	8	0	4	6	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	4	2	1	0	2	0	8	7	5	4	4	0	2	4	0	1	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	560	27	28	33	29	38	0	42	34	37	40	35	31	32	37	20	31	34	32									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	3	0	0	0	0	0	3	1	0	1	2	1	1	0	0	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	152	6	3	7	0	13	1	11	5	12	15	9	17	2	15	2	3	11	20									
		1.63%	1.56%	0.91%	1.62%	0.00%	2.06%	0.89%	1.46%	0.90%	2.42%	1.80%	1.24%	3.80%	0.44%	2.20%	1.23%	0.59%	1.55%	2.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	358	15	12	12	17	30	1	21	14	17	30	27	14	15	31	4	25	46	27									
		3.84%	3.91%	3.66%	2.78%	5.12%	4.75%	0.89%	2.78%	2.52%	3.43%	3.60%	3.71%	3.13%	3.30%	4.54%	2.47%	4.88%	6.48%	3.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	234	14	9	16	7	19	1	22	9	13	23	16	10	11	20	4	13	10	17									
		2.51%	3.65%	2.74%	3.71%	2.11%	3.01%	0.89%	2.91%	1.62%	2.63%	2.76%	2.20%	2.24%	2.42%	2.93%	2.47%	2.54%	1.41%	2.24%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3629	165	118	160	119	239	37	306	212	203	302	297	178	179	272	63	205	294	280									
