Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Курагинская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  1508	УИК  1509	УИК  1510	УИК  1511	УИК  1512	УИК  1513	УИК  1514	УИК  1515	УИК  1516	УИК  1517	УИК  1518	УИК  1519	УИК  1520	УИК  1521	УИК  1522	УИК  1523	УИК  1524	УИК  1525	УИК  1526	УИК  1527	УИК  1528	УИК  1529	УИК  1530	УИК  1531	УИК  1532	УИК  1533	УИК  1534	УИК  1535	УИК  1536	УИК  1537	УИК  1538	УИК  1539	УИК  1540	УИК  1541	УИК  1542	УИК  1543	УИК  1544	УИК  1545	УИК  1546	УИК  1547	УИК  1548	УИК  1549	УИК  1550	УИК  1551	УИК  1552	УИК  1553	УИК  1554	УИК  1555	УИК  1556	УИК  1557	УИК  1558	УИК  1559	УИК  1560	УИК  1561					
1	"Число избирателей, внесенных в списки"	37312	463	238	734	357	136	667	298	310	775	363	635	1548	1290	1445	1776	1432	1641	497	1025	165	1997	1763	204	527	317	133	288	105	94	591	177	252	89	990	600	754	176	318	229	632	534	201	232	916	1024	1202	658	722	1194	1926	2024	142	268	238					
2	"Число бюллетеней, полученных участковыми комиссиями"	36809	466	237	733	353	138	671	300	311	753	365	606	1501	1258	1419	1723	1362	1570	486	1027	170	1980	1745	201	526	310	135	288	107	94	602	198	257	89	1003	600	749	177	325	229	630	528	197	232	899	1028	1207	635	707	1157	1867	2012	142	272	232					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17197	240	140	449	187	72	292	149	136	372	192	272	661	554	669	812	515	820	216	502	91	964	894	108	344	191	95	148	68	50	261	96	114	45	402	289	313	108	166	117	304	235	105	133	333	332	380	221	335	492	875	949	87	148	154					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	792	2	0	0	4	0	20	2	3	29	8	10	51	30	56	38	71	26	36	46	10	29	16	0	5	0	0	9	0	0	27	4	31	11	12	0	11	2	0	5	14	3	10	5	6	44	29	12	15	9	18	13	2	8	0					
6	Число погашенных бюллетеней	18689	224	97	284	162	66	359	149	172	352	165	274	789	674	694	873	776	724	234	479	69	987	835	93	177	119	40	131	39	44	314	98	112	33	589	311	425	67	159	107	312	290	82	94	479	652	798	402	357	656	974	1050	53	116	78					
7	Число бюллетеней в переносных ящиках для голосования	792	2	0	0	4	0	20	2	3	29	8	10	51	30	56	38	71	26	36	46	10	29	16	0	5	0	0	9	0	0	27	4	31	11	12	0	11	2	0	5	14	3	10	5	6	44	29	12	15	9	18	13	2	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	17263	240	140	449	187	72	292	149	136	372	192	272	661	549	669	802	515	820	216	502	91	964	894	108	344	191	95	148	68	50	261	96	114	45	402	289	313	108	166	117	304	235	105	133	414	332	380	221	335	492	875	949	87	148	154					
9	Число недействительных бюллетеней	183	6	0	4	1	0	6	1	4	1	7	3	7	5	4	1	4	5	0	8	3	6	3	1	0	2	0	4	1	0	7	2	0	0	6	0	10	3	5	3	9	10	2	4	6	8	0	5	0	3	7	4	0	1	1					
10	Число действительных бюллетеней	17872	236	140	445	190	72	306	150	135	400	193	279	705	574	721	839	582	841	252	540	98	987	907	107	349	189	95	153	67	50	281	98	145	56	408	289	314	107	161	119	309	228	113	134	414	368	409	228	350	498	886	958	89	155	153					
