Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Даниловский район																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №3135	УИК №3136	УИК №3137					
1	"Число избирателей, внесенных в списки"	60356	2401	2543	2184	2124	2317	2323	2240	2591	1864	1910	2882	2667	1503	2268	2105	2158	2539	2284	2518	2475	1954	2285	2501	2673	1731	2309	661	223	123					
2	"Число бюллетеней, полученных участковыми комиссиями"	57320	2200	2400	2000	2000	2100	2200	2000	2400	1700	1800	2600	3000	1500	2100	2000	2000	2300	2100	2300	2300	1800	2100	2300	2500	1700	2200	1100	400	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34205	1460	1491	1172	1095	1397	1275	1159	1421	1071	1188	1637	2331	675	1043	1041	1167	1393	1248	1363	1312	1032	1263	1431	1388	868	1384	554	223	123					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	941	32	49	31	20	64	61	35	48	36	17	75	22	10	34	39	27	41	34	43	45	31	32	32	26	29	28	0	0	0					
6	Число погашенных бюллетеней	22163	708	860	797	885	628	864	806	931	593	595	888	647	815	1023	920	806	866	818	894	943	737	805	837	1086	803	788	546	177	97					
7	Число бюллетеней в переносных ящиках для голосования	940	32	49	31	20	64	61	35	48	36	17	75	22	10	34	39	27	41	34	43	45	31	32	32	26	28	28	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	34021	1458	1487	1172	1095	1330	1273	1152	1418	1068	1188	1636	2331	672	1043	1020	1153	1365	1248	1357	1309	1030	1263	1431	1375	868	1382	551	223	123					
9	Число недействительных бюллетеней	424	14	18	20	14	16	14	10	9	16	8	24	8	1	10	20	17	18	22	13	19	7	13	45	27	7	25	9	0	0					
10	Число действительных бюллетеней	34537	1476	1518	1183	1101	1378	1320	1177	1457	1088	1197	1687	2345	681	1067	1039	1163	1388	1260	1387	1335	1054	1282	1418	1374	889	1385	542	223	123					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1370	50	50	45	40	65	50	45	50	40	40	55	190	40	45	45	45	50	45	50	50	40	45	50	55	40	50	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	889	21	30	16	24	46	37	30	37	24	29	37	183	26	33	27	30	43	30	22	21	17	26	26	37	18	19	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1013	50	20	24	12	35	8	29	23	125	72	42	7	24	37	9	37	12	8	14	40	27	26	95	23	0	26	21	44	123					
14	Число погашенных открепительных удостоверений	481	29	20	29	16	19	13	15	13	16	11	18	7	14	12	18	15	7	15	28	29	23	19	24	18	22	31	0	0	0					
15	Число открепительных удостоверений выданных ТИК	8	0	2	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	286	12	19	11	15	11	11	11	7	18	10	10	42	7	4	5	8	4	7	3	11	4	10	13	9	5	9	7	2	1					
		0.81%	0.80%	1.23%	0.91%	1.34%	0.78%	0.82%	0.92%	0.47%	1.63%	0.82%	0.58%	1.78%	1.02%	0.37%	0.47%	0.67%	0.28%	0.54%	0.21%	0.81%	0.37%	0.77%	0.88%	0.64%	0.55%	0.63%	1.27%	0.89%	0.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3013	150	114	128	122	138	145	132	159	132	147	148	126	55	92	79	58	133	94	97	118	94	125	123	104	65	106	22	7	0					
		8.61%	10.06%	7.42%	10.64%	10.94%	9.89%	10.86%	11.12%	10.84%	11.95%	12.19%	8.64%	5.35%	8.06%	8.54%	7.45%	4.91%	9.45%	7.33%	6.92%	8.71%	8.85%	9.65%	8.40%	7.42%	7.25%	7.51%	3.99%	3.13%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	737	17	24	29	20	18	36	13	25	21	31	37	42	12	40	27	29	46	37	41	27	14	22	36	24	18	21	13	8	9					
		2.10%	1.14%	1.56%	2.41%	1.79%	1.29%	2.69%	1.09%	1.70%	1.90%	2.57%	2.16%	1.78%	1.75%	3.71%	2.54%	2.45%	3.27%	2.88%	2.92%	1.99%	1.31%	1.69%	2.46%	1.71%	2.00%	1.48%	2.35%	3.58%	7.31%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3537	155	163	122	129	158	170	125	166	133	179	180	110	58	122	97	94	149	122	144	139	118	128	174	117	97	136	37	12	3					
		10.11%	10.40%	10.61%	10.14%	11.56%	11.33%	12.74%	10.53%	11.32%	12.04%	14.85%	10.52%	4.67%	8.50%	11.32%	9.15%	7.96%	10.59%	9.51%	10.28%	10.26%	11.12%	9.88%	11.89%	8.35%	10.82%	9.64%	6.71%	5.38%	2.43%					
22	"5. ""За Русь Святую"""	179	7	6	3	7	9	6	5	6	7	6	3	19	2	5	5	10	10	6	5	2	5	10	4	7	3	8	10	2	1					
		0.51%	0.46%	0.39%	0.24%	0.62%	0.64%	0.44%	0.42%	0.40%	0.63%	0.49%	0.17%	0.80%	0.29%	0.46%	0.47%	0.84%	0.71%	0.46%	0.35%	0.14%	0.47%	0.77%	0.27%	0.49%	0.33%	0.56%	1.81%	0.89%	0.81%					
23	"6. ""Объединенная Российская партия ""Русь"""	88	2	1	4	0	6	6	9	1	4	0	5	14	1	3	3	2	1	2	2	7	1	1	2	6	2	2	0	0	1					
		0.25%	0.13%	0.06%	0.33%	0.0%	0.43%	0.44%	0.75%	0.06%	0.36%	0.0%	0.29%	0.59%	0.14%	0.27%	0.28%	0.16%	0.07%	0.15%	0.14%	0.51%	0.09%	0.07%	0.13%	0.42%	0.22%	0.14%	0.0%	0.0%	0.81%					
24	"7. ""Новый курс - Автомобильная Россия"""	547	23	27	15	25	23	12	20	26	16	19	22	76	11	30	16	13	15	13	13	23	9	20	22	18	11	21	5	2	1					
		1.56%	1.54%	1.75%	1.24%	2.24%	1.64%	0.89%	1.68%	1.77%	1.44%	1.57%	1.28%	3.22%	1.61%	2.78%	1.51%	1.10%	1.06%	1.01%	0.92%	1.69%	0.84%	1.54%	1.50%	1.28%	1.22%	1.48%	0.90%	0.89%	0.81%					
25	"8. ""Народно-республиканская партия России"""	19	2	1	0	1	2	0	0	1	0	0	1	4	1	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0					
		0.05%	0.13%	0.06%	0.0%	0.08%	0.14%	0.0%	0.0%	0.06%	0.0%	0.0%	0.05%	0.16%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.07%	0.18%	0.44%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	294	19	10	10	6	15	12	9	10	16	6	12	31	7	5	6	15	16	6	13	9	2	14	12	17	3	8	3	1	1					
		0.84%	1.27%	0.65%	0.83%	0.53%	1.07%	0.89%	0.75%	0.68%	1.44%	0.49%	0.70%	1.31%	1.02%	0.46%	0.56%	1.27%	1.13%	0.46%	0.92%	0.66%	0.18%	1.08%	0.82%	1.21%	0.33%	0.56%	0.54%	0.44%	0.81%					
27	"10. ""Аграрная партия России"""	544	26	20	23	22	30	20	16	20	16	29	29	16	7	19	14	23	15	19	26	19	20	23	22	17	15	21	6	6	5					
		1.55%	1.74%	1.30%	1.91%	1.97%	2.15%	1.49%	1.34%	1.36%	1.44%	2.40%	1.69%	0.67%	1.02%	1.76%	1.32%	1.94%	1.06%	1.48%	1.85%	1.40%	1.88%	1.77%	1.50%	1.21%	1.67%	1.48%	1.08%	2.69%	4.06%					
28	"11. ""Истинные патриоты России"""	35	3	0	2	1	0	1	1	0	2	2	1	7	1	0	0	0	1	0	0	3	2	0	1	2	0	4	0	1	0					
		0.10%	0.20%	0.0%	0.16%	0.08%	0.0%	0.07%	0.08%	0.0%	0.18%	0.16%	0.05%	0.29%	0.14%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.22%	0.18%	0.0%	0.06%	0.14%	0.0%	0.28%	0.0%	0.44%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	358	19	16	13	17	16	12	11	12	5	10	19	20	4	14	10	14	20	10	15	19	12	15	11	1	18	17	3	3	2					
		1.02%	1.27%	1.04%	1.08%	1.52%	1.14%	0.89%	0.92%	0.81%	0.45%	0.82%	1.11%	0.84%	0.58%	1.29%	0.94%	1.18%	1.42%	0.78%	1.07%	1.40%	1.13%	1.15%	0.75%	0.07%	2.00%	1.20%	0.54%	1.34%	1.62%					
30	"13. ""Демократическая партия России"""	55	2	1	1	2	1	1	0	0	0	12	1	13	1	0	2	2	1	1	4	2	0	2	4	1	0	0	1	0	0					
		0.15%	0.13%	0.06%	0.08%	0.17%	0.07%	0.07%	0.0%	0.0%	0.0%	0.99%	0.05%	0.55%	0.14%	0.0%	0.18%	0.16%	0.07%	0.07%	0.28%	0.14%	0.0%	0.15%	0.27%	0.07%	0.0%	0.0%	0.18%	0.0%	0.0%					
