Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Ливенская городская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №147	УИК №148	УИК №150	УИК №151	УИК №152	УИК №153	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №163	УИК №164	УИК №165	УИК №748									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39388	1022	909	1644	920	780	1808	415	1940	1339	1757	1776	1796	1811	1396	1585	1685	1888	1722	1670	1789	1652	278	1905	1918	1880	1983	120									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39275	1000	900	1650	900	800	1800	400	1950	1300	1800	1750	1800	1800	1400	1600	1700	1900	1700	1650	1800	1650	250	1900	1900	1900	1950	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21007	519	460	880	477	410	873	232	994	711	995	949	985	945	736	813	809	1052	1004	901	1009	970	145	1005	969	1103	1061	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1419	63	36	67	94	39	60	13	58	31	32	59	76	63	85	78	34	23	44	42	25	29	3	44	51	55	106	109									
6	Число погашенных избирательных бюллетеней	16849	418	404	703	329	351	867	155	898	558	773	742	739	792	579	709	857	825	652	707	766	651	102	851	880	742	783	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1418	63	36	67	94	39	59	13	58	31	32	59	76	63	85	78	34	23	44	42	25	29	3	44	51	55	106	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20994	518	460	880	477	410	873	232	992	711	995	949	985	945	734	813	809	1052	1001	901	1008	970	145	1001	969	1103	1061	0									
9	Число недействительных избирательных бюллетеней	677	24	18	56	18	10	37	6	34	23	27	38	17	38	32	37	30	28	28	17	30	29	3	23	28	33	13	0									
10	Число действительных избирательных бюллетеней	21735	557	478	891	553	439	895	239	1016	719	1000	970	1044	970	787	854	813	1047	1017	926	1003	970	145	1022	992	1125	1154	109									
