Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Мамско-Чуйская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4198	1595	1328	130	373	141	631									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4150	1500	1300	125	375	150	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	26	0	15	0	0	0	11									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1133	412	341	39	123	46	172									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	85	23	23	6	12	1	20									
6	Число погашенных избирательных бюллетеней	2906	1065	921	80	240	103	497									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	111	23	38	6	12	1	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1133	412	341	39	123	46	172									
9	Число недействительных избирательных бюллетеней	36	14	9	2	2	0	9									
10	Число действительных избирательных бюллетеней	1208	421	370	43	133	47	194									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	30	30	20	30	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	34	3	5	2	4	15	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	2	2	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	126	27	25	18	26	5	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	6	3	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	14	3	5	0	3	0	3									
		1.13%	0.69%	1.32%	0.00%	2.22%	0.00%	1.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	33	7	13	2	1	4	6									
		2.65%	1.61%	3.43%	4.44%	0.74%	8.51%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	49	18	15	2	5	2	7									
		3.94%	4.14%	3.96%	4.44%	3.70%	4.26%	3.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	491	152	131	22	76	17	93									
		39.47%	34.94%	34.56%	48.89%	56.30%	36.17%	45.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	3	4	0	1	0	0									
		0.64%	0.69%	1.06%	0.00%	0.74%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	1	0	0									
		0.08%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	296	114	93	9	26	8	46									
		23.79%	26.21%	24.54%	20.00%	19.26%	17.02%	22.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	0	1	1	1	0	0									
		0.24%	0.00%	0.26%	2.22%	0.74%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	6	2	0	0	0	1									
		0.72%	1.38%	0.53%	0.00%	0.00%	0.00%	0.49%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	1	0	0	0	0	0									
		0.08%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	4	3	0	1	0	1									
		0.72%	0.92%	0.79%	0.00%	0.74%	0.00%	0.49%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	201	76	65	6	12	15	27									
		16.16%	17.47%	17.15%	13.33%	8.89%	31.91%	13.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	2	2	0	2	0	0									
		0.48%	0.46%	0.53%	0.00%	1.48%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	87	35	36	1	4	1	10									
		6.99%	8.05%	9.50%	2.22%	2.96%	2.13%	4.93%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
