Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Похвистневская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388					
1	"Число избирателей, внесенных в список избирателей"	22163	1411	174	1288	509	376	777	303	125	660	99	1039	1220	581	1018	241	2706	385	783	401	1793	207	1297	510	344	1528	631	445	1312					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23178	1400	185	1435	530	368	840	334	139	700	102	1120	1240	595	985	256	2680	405	870	427	1960	241	1300	538	374	1625	694	497	1338					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15160	919	161	829	415	325	496	238	88	403	74	600	1020	486	873	132	1866	210	601	272	1265	141	720	302	262	929	421	321	791					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1646	48	0	142	56	35	46	20	17	31	14	119	33	17	78	32	91	56	64	26	99	18	144	52	30	136	73	50	119					
6	Число погашенных избирательных бюллетеней	6372	433	24	464	59	8	298	76	34	266	14	401	187	92	34	92	723	139	205	129	596	82	436	184	82	560	200	126	428					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1646	48	0	142	56	35	46	20	17	31	14	119	33	17	78	32	91	56	64	26	99	18	144	52	30	136	73	50	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15159	919	161	829	415	325	495	238	88	403	74	600	1020	486	873	132	1866	210	601	272	1265	141	720	302	262	929	421	321	791					
9	Число недействительных избирательных бюллетеней	486	11	2	23	1	0	13	5	6	11	2	16	3	1	9	1	135	12	6	3	133	5	18	3	7	26	8	8	18					
10	Число действительных избирательных бюллетеней	16319	956	159	948	470	360	528	253	99	423	86	703	1050	502	942	163	1822	254	659	295	1231	154	846	351	285	1039	486	363	892					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1455	80	5	135	25	10	70	30	20	50	10	100	35	15	35	25	70	20	90	25	155	40	95	40	35	105	50	45	40					
