Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Лобненская городская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	62868	1837	1160	1199	1914	2205	874	1506	1935	1772	1670	2104	2170	1879	1621	2038	1967	1534	2633	2651	2058	1840	1753	1758	1943	1891	2460	1489	2310	2091	2148	2341	1861	1889	367									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43700	1300	800	800	1300	1500	600	1000	1300	1200	1200	1500	1500	1300	1100	1400	1400	1000	1800	1400	1200	1200	1200	1400	1300	1200	2000	1600	1800	1500	1600	1300	1300	1500	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23153	729	405	440	711	883	348	570	743	688	593	724	815	689	583	839	713	614	929	841	796	639	591	583	784	676	843	521	855	760	763	843	606	866	170									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	508	3	11	7	7	20	2	12	9	2	18	12	3	7	5	11	18	16	8	2	20	114	13	11	11	17	21	13	19	28	12	15	8	25	8									
6	Число погашенных избирательных бюллетеней	20039	568	384	353	582	597	250	418	548	510	589	764	682	604	512	550	669	370	863	557	384	447	596	806	505	507	1136	1066	926	712	825	442	686	609	22									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	508	3	11	7	7	20	2	12	9	2	18	12	3	7	5	11	18	16	8	2	20	114	13	11	11	17	21	13	19	28	12	15	8	25	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23113	729	404	440	709	883	348	570	734	688	593	724	815	689	583	839	713	612	929	841	796	639	589	583	784	676	843	521	846	760	751	843	606	864	169									
9	Число недействительных избирательных бюллетеней	928	14	18	28	30	27	11	35	16	16	33	15	37	28	26	32	32	38	27	20	28	20	26	16	33	37	23	38	51	38	38	36	10	44	7									
10	Число действительных избирательных бюллетеней	22693	718	397	419	686	876	339	547	727	674	578	721	781	668	562	818	699	590	910	823	788	733	576	578	762	656	841	496	814	750	725	822	604	845	170									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1005	30	30	30	30	35	30	35	30	30	25	30	30	30	25	30	30	25	35	35	30	25	25	25	30	30	35	25	30	30	30	35	30	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	385	21	12	12	12	10	2	7	9	5	16	18	9	8	11	10	12	14	10	14	10	2	15	7	13	7	17	2	20	14	10	21	11	20	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	280	6	14	12	3	7	0	8	10	7	6	5	15	4	7	5	7	3	15	19	13	5	1	4	8	3	17	4	11	10	9	14	2	16	10									
14	Число погашенных неиспользованных открепительных удостоверений	620	9	18	18	18	25	28	28	21	25	9	12	21	22	14	20	18	11	25	21	20	23	10	18	17	23	18	23	10	16	20	14	19	10	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	262	15	4	3	5	11	2	5	7	14	5	12	6	3	4	12	6	4	27	21	7	6	3	4	5	9	14	6	9	7	6	8	6	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	782	36	15	18	18	44	7	16	24	36	21	25	26	30	20	26	18	22	31	45	30	25	19	16	27	16	39	17	15	14	13	29	6	32	6									
		3.31%	4.92%	3.61%	4.03%	2.51%	4.87%	2.00%	2.75%	3.23%	5.22%	3.44%	3.40%	3.18%	4.31%	3.40%	3.06%	2.46%	3.50%	3.31%	5.34%	3.68%	3.32%	3.16%	2.69%	3.40%	2.31%	4.51%	3.18%	1.73%	1.78%	1.70%	3.38%	0.98%	3.60%	3.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	482	13	6	7	17	20	3	16	16	12	14	17	15	15	8	13	16	9	16	4	17	12	18	9	17	18	14	8	24	17	16	19	23	29	4									
		2.04%	1.78%	1.45%	1.57%	2.37%	2.21%	0.86%	2.75%	2.15%	1.74%	2.29%	2.31%	1.83%	2.16%	1.36%	1.53%	2.19%	1.43%	1.71%	0.47%	2.08%	1.59%	2.99%	1.52%	2.14%	2.60%	1.62%	1.50%	2.77%	2.16%	2.10%	2.21%	3.75%	3.26%	2.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	655	15	8	15	34	30	11	23	22	18	14	10	25	25	22	28	10	22	22	14	23	32	15	22	18	21	14	15	23	20	11	27	15	23	8									
		2.77%	2.05%	1.93%	3.36%	4.75%	3.32%	3.14%	3.95%	2.96%	2.61%	2.29%	1.36%	3.06%	3.59%	3.74%	3.29%	1.37%	3.50%	2.35%	1.66%	2.82%	4.25%	2.49%	3.70%	2.26%	3.03%	1.62%	2.81%	2.66%	2.54%	1.44%	3.15%	2.44%	2.59%	4.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8911	261	166	170	274	348	124	224	268	241	232	288	274	253	223	303	282	229	349	326	295	287	225	230	312	266	340	203	352	344	305	304	251	305	57									
