Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Баунтовская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49					
1	"Число избирателей, внесенных в список"	7694	1604	1755	1148	393	129	244	297	496	463	279	260	168	458					
2	Число полученных избирательных бюллетеней	7800	1600	1700	1150	415	150	240	295	505	540	320	250	170	465					
3	"Число избирательных бюллетеней, выданных  досрочно"	198	0	0	8	18	3	19	0	0	0	0	25	84	41					
4	"Число избирательных бюллетеней, выданных в день голосования"	4477	847	912	607	237	89	165	201	334	345	227	133	62	318					
5	"Число избирательных бюллетеней, выданных вне помещения"	432	44	100	101	7	9	16	20	47	13	0	39	0	36					
6	Число погашенных избирательных бюллетеней	2693	709	688	434	153	49	40	74	124	182	93	53	24	70					
7	Число избирательных бюллетеней в переносных ящиках	630	44	100	109	25	12	35	20	47	13	0	64	84	77					
8	Число бюллетеней в стационарных ящиках для голосования	4477	847	912	607	237	89	165	201	334	345	227	133	62	318					
9	Число недействительных избирательных бюллетеней	66	16	10	7	2	1	4	6	6	8	0	2	1	3					
10	Число действительных избирательных бюллетеней	5041	875	1002	709	260	100	196	215	375	350	227	195	145	392					
11	Число полученных открепительных  удостоверений	300	30	30	30	50	20	20	20	20	20	10	20	10	20					
12	Число выданных открепительных удостоверений	38	6	6	1	3	6	0	0	2	10	0	1	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	9	6	2	1	2	0	1	3	0	0	2	4	4					
14	Число неиспользованных открепительных удостоверений	262	24	24	29	47	14	20	20	18	10	10	19	10	17					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	154	19	54	23	14	1	5	1	3	5	6	2	2	19					
		3.02%	2.13%	5.34%	3.21%	5.34%	0.99%	2.50%	0.45%	0.79%	1.40%	2.64%	1.02%	1.37%	4.81%					
19	. Малышкин Олег Александрович	105	18	19	17	4	1	1	6	16	7	0	4	6	6					
		2.06%	2.02%	1.88%	2.37%	1.53%	0.99%	0.50%	2.71%	4.20%	1.96%	0.00%	2.03%	4.11%	1.52%					
20	. Миронов Сергей Михайлович	53	11	12	8	4	0	0	0	1	11	0	1	0	5					
		1.04%	1.23%	1.19%	1.12%	1.53%	0.00%	0.00%	0.00%	0.26%	3.07%	0.00%	0.51%	0.00%	1.27%					
21	. Путин Владимир Владимирович	3982	643	736	566	202	88	161	192	321	262	193	170	125	323					
		77.97%	72.17%	72.73%	79.05%	77.10%	87.13%	80.50%	86.88%	84.25%	73.18%	85.02%	86.29%	85.62%	81.77%					
22	. Хакамада Ирина Муцуовна	160	39	43	13	10	0	20	4	3	8	7	3	3	7					
		3.13%	4.38%	4.25%	1.82%	3.82%	0.00%	10.00%	1.81%	0.79%	2.23%	3.08%	1.52%	2.05%	1.77%					
23	. Харитонов Николай Михайлович	530	131	122	78	23	8	9	12	27	55	21	13	4	27					
		10.38%	14.70%	12.06%	10.89%	8.78%	7.92%	4.50%	5.43%	7.09%	15.36%	9.25%	6.60%	2.74%	6.84%					
																				
24	Против всех	57	14	16	4	3	2	0	0	4	2	0	2	5	5					
		1.12%	1.57%	1.58%	0.56%	1.15%	1.98%	0.00%	0.00%	1.05%	0.56%	0.00%	1.02%	3.42%	1.27%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
