Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
"Наименование Избирательной комиссии:    Екатеринбург, Кировская"																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №666	УИК №679	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469					
1	"Число избирателей, внесенных в списки избирателей"	165345	897	200	2156	1990	2539	2308	2072	1671	1078	2183	1687	2277	2253	2093	2185	1609	1502	1246	2168	1917	2191	2520	1540	1285	2000	1682	1858	1702	1653	1956	2295	2245	2409	2258	1602	1768	1651	1910	1738	2474	1060	1551	123	1204	2269	2112	2410	2055	2273	2385	1860	2808	2052	2080	2405	2291	1944	2028	1793	2089	1645	1072	850	2145	447	2717	2595	2690	2415	2259	2227	2882	2327	1887	2008	1554	2167	2368	2808	2723	1775	1183	1965	2029	1434	980	633					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	157450	1000	500	2000	1900	2100	2200	1900	1600	900	2100	1700	2200	2200	2000	2100	1600	1400	1200	2000	1700	2200	2400	1300	1200	1700	1600	1800	1700	1600	1900	2000	2100	2400	2100	1600	1600	1600	1800	1600	2400	1000	1400	150	1200	2000	2100	2300	2000	2200	2000	1800	2700	1900	2000	2200	2200	1800	1900	1700	2000	1400	800	600	2000	500	2600	2500	2600	2300	2100	2100	2600	2200	1800	1900	1400	2100	2300	2600	2500	2000	1400	2300	2100	1300	1000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	98792	897	184	1357	1093	1702	1448	1222	976	692	1248	1122	1517	1335	1247	1251	950	875	751	1078	1052	1348	1503	893	831	1078	1029	1196	884	814	1151	1547	1550	1477	1230	1020	1062	983	1198	987	1458	580	844	120	1096	1373	1234	1500	1244	1394	1232	1106	1666	1231	1239	1447	1277	1240	1139	793	1042	877	634	508	1236	435	1592	1490	1576	1384	1163	1368	1530	1310	1065	1018	973	1238	1434	1583	1505	1340	828	1358	1311	850	668	485					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2310	0	0	44	43	46	70	34	20	5	35	22	21	26	22	32	36	24	15	28	8	28	29	23	22	28	30	36	39	18	35	44	8	22	98	23	33	78	22	15	35	28	22	0	12	22	27	17	14	19	18	24	20	11	21	17	43	13	27	17	50	134	71	60	13	3	21	22	53	20	31	17	12	10	21	12	19	21	19	23	39	9	11	8	23	12	7	0					
6	Число погашенных избирательных бюллетеней	56348	103	316	599	764	352	682	644	604	203	817	556	662	839	731	817	614	501	434	894	640	824	868	384	347	594	541	568	777	768	714	409	542	901	772	557	505	539	580	598	907	392	534	30	92	605	839	783	742	787	750	670	1014	658	740	736	880	547	734	890	908	389	95	32	751	62	987	988	971	896	906	715	1058	880	714	870	408	841	847	994	956	651	561	934	766	438	325	515					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2310	0	0	44	43	46	70	34	20	5	35	22	21	26	22	32	36	24	15	28	8	28	29	23	22	28	30	36	39	18	35	44	8	22	98	23	33	78	22	15	35	28	22	0	12	22	27	17	14	19	18	24	20	11	21	17	43	13	27	17	50	134	71	60	13	3	21	22	53	20	31	17	12	10	21	12	19	21	19	23	39	9	11	8	23	12	7	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	98755	897	184	1357	1093	1700	1442	1222	976	692	1247	1122	1517	1334	1244	1251	950	875	751	1078	1052	1348	1503	893	830	1074	1029	1196	884	814	1151	1547	1550	1477	1228	1019	1057	983	1198	987	1458	580	843	120	1096	1373	1234	1500	1244	1394	1231	1106	1666	1230	1239	1447	1277	1236	1139	793	1042	875	634	508	1236	435	1592	1489	1576	1384	1163	1368	1530	1310	1065	1018	973	1237	1434	1583	1505	1340	828	1358	1311	850	668	485					
9	Число недействительных избирательных бюллетеней	1173	9	3	22	13	23	21	13	17	5	14	10	18	6	11	20	12	10	7	13	8	11	7	12	13	10	8	12	9	2	12	18	30	21	25	5	13	14	24	15	10	5	3	0	9	14	16	27	9	19	19	30	31	13	21	15	14	12	13	7	11	11	40	8	13	10	15	17	14	22	10	9	13	18	14	8	11	12	12	15	16	17	12	13	12	9	4	4					
10	Число действительных избирательных бюллетеней	99892	888	181	1379	1123	1723	1491	1243	979	692	1268	1134	1520	1354	1255	1263	974	889	759	1093	1052	1365	1525	904	839	1092	1051	1220	914	830	1174	1573	1528	1478	1301	1037	1077	1047	1196	987	1483	603	862	120	1099	1381	1245	1490	1249	1394	1230	1100	1655	1228	1239	1449	1306	1237	1153	803	1081	998	665	560	1236	428	1598	1494	1615	1382	1184	1376	1529	1302	1072	1022	981	1246	1441	1591	1528	1332	827	1353	1322	853	671	481					
