Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
Наименование Избирательной комиссии:    Каргатская ТИК																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415					
1	"Число избирателей, внесенных в списки избирателей"	16912	2098	1438	1661	1029	1414	1444	899	266	99	139	96	65	154	282	68	102	401	396	66	329	141	410	78	42	60	540	152	510	110	108	374	178	376	230	156	723	131	147					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16423	1900	1400	1600	1000	1350	1400	900	260	100	140	100	60	150	276	60	100	400	385	64	320	140	420	79	42	64	536	150	512	115	110	362	178	359	231	153	725	131	151					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8697	1023	588	769	388	575	551	481	142	78	112	74	60	90	188	54	68	207	316	62	210	106	246	59	36	26	343	93	249	64	78	233	118	178	127	123	383	99	100					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1096	96	29	38	90	132	69	28	19	12	9	7	0	15	26	6	10	38	6	0	23	7	51	5	0	30	34	1	63	10	11	16	9	72	22	11	86	3	12					
6	Число погашенных избирательных бюллетеней	6630	781	783	793	522	643	780	391	99	10	19	19	0	45	62	0	22	155	63	2	87	27	123	15	6	8	159	56	200	41	21	113	51	109	82	19	256	29	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1096	96	29	38	90	132	69	28	19	12	9	7	0	15	26	6	10	38	6	0	23	7	51	5	0	30	34	1	63	10	11	16	9	72	22	11	86	3	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8697	1023	588	769	388	575	551	481	142	78	112	74	60	90	188	54	68	207	316	62	210	106	246	59	36	26	343	93	249	64	78	233	118	178	127	123	383	99	100					
9	Число недействительных избирательных бюллетеней	101	7	7	10	0	4	6	5	1	1	2	2	0	3	4	0	1	7	5	0	4	2	4	0	1	0	4	0	2	0	0	0	2	3	7	0	5	2	0					
10	Число действительных избирательных бюллетеней	9692	1112	610	797	478	703	614	504	160	89	119	79	60	102	210	60	77	238	317	62	229	111	293	64	35	56	373	94	310	74	89	249	125	247	142	134	464	100	112					
