Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Шарлыкская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15070	309	154	294	264	137	257	214	293	177	386	202	288	745	149	149	390	223	266	92	495	66	160	150	310	282	658	119	82	225	188	227	65	353	1614	1338	1505	1681	234	329									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15182	314	151	290	267	135	262	211	283	178	394	205	291	759	146	146	387	224	274	91	495	67	160	151	308	286	672	121	82	225	187	228	64	355	1640	1340	1530	1700	238	325									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8486	163	105	269	135	77	206	152	156	87	221	105	175	484	93	104	221	152	104	56	236	48	124	113	151	130	495	95	71	143	121	151	46	260	681	747	662	890	124	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1052	37	13	12	12	23	30	13	38	28	37	8	35	54	19	10	44	15	85	4	59	3	4	3	35	48	29	10	7	26	17	18	7	18	42	45	61	61	9	33									
6	Число погашенных избирательных бюллетеней	5644	114	33	9	120	35	26	46	89	63	136	92	81	221	34	32	122	57	85	31	200	16	32	35	122	108	148	16	4	56	49	59	11	77	917	548	807	749	105	159									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1052	37	13	12	12	23	30	13	38	28	37	8	35	54	19	10	44	15	85	4	59	3	4	3	35	48	29	10	7	26	17	18	7	18	42	45	61	61	9	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8486	163	105	269	135	77	206	152	156	87	221	105	175	484	93	104	221	152	104	56	236	48	124	113	151	130	495	95	71	143	121	151	46	260	681	747	662	890	124	133									
9	Число недействительных избирательных бюллетеней	152	7	0	2	3	1	6	6	1	1	1	2	2	18	0	3	4	2	0	3	11	0	0	0	0	3	0	1	0	3	0	1	0	0	17	21	4	14	1	14									
10	Число действительных избирательных бюллетеней	9386	193	118	279	144	99	230	159	193	114	257	111	208	520	112	111	261	165	189	57	284	51	128	116	186	175	524	104	78	166	138	168	53	278	706	771	719	937	132	152									
