Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    район Измайлово 																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №3274	УИК №3275	УИК №3276					
1	"Число избирателей, внесенных в список избирателей"	63050	1115	1472	1756	1755	1715	1639	1910	1400	1874	2238	1795	1352	2083	2452	2181	2222	1471	1807	1919	1555	1690	2482	1484	2152	1874	2498	1910	2633	2400	1322	1923	1834	2673	284	80	100					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54200	850	1450	1700	1500	1500	1450	1500	1200	1600	1800	1500	1300	1800	2100	1850	1900	1300	1550	1850	1350	1450	2150	1100	1800	1600	2150	1700	2400	2200	1150	1650	1500	1800	300	100	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45567	621	1177	1120	1284	960	1352	1037	1118	1483	1709	1374	1102	1673	1956	1750	1083	1189	1423	1795	1281	931	2056	1072	1735	926	1200	1633	2325	2071	1072	1279	1330	1350	0	0	100					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1238	3	17	22	16	49	58	22	22	33	14	24	20	33	138	31	20	16	26	17	22	20	28	6	21	20	24	18	24	26	17	18	21	28	284	80	0					
6	Число погашенных избирательных бюллетеней	7395	226	256	558	200	491	40	441	60	84	77	102	178	94	6	69	797	95	101	38	47	499	66	22	44	654	926	49	51	103	61	353	149	422	16	20	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1235	3	17	22	16	49	58	22	22	33	14	24	20	33	138	31	20	16	26	17	22	20	28	6	21	20	24	18	24	26	17	18	21	28	281	80	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45365	621	1160	1114	1284	960	1306	1037	1117	1483	1706	1372	1102	1671	1956	1741	1081	1189	1419	1795	1281	931	2021	1070	1717	926	1196	1631	2311	2045	1071	1274	1330	1347	0	0	100					
9	Число недействительных избирательных бюллетеней	766	6	19	15	19	19	23	15	10	54	29	22	16	18	2	28	27	17	15	30	12	19	12	9	21	12	29	99	29	44	12	24	13	30	12	0	5					
10	Число действительных избирательных бюллетеней	45834	618	1158	1121	1281	990	1341	1044	1129	1462	1691	1374	1106	1686	2092	1744	1074	1188	1430	1782	1291	932	2037	1067	1717	934	1191	1550	2306	2027	1076	1268	1338	1345	269	80	95					
