Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Чебаркульская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506					
1	"Число избирателей, внесенных в список"	22394	1028	733	301	385	1708	485	129	480	1942	249	208	247	286	230	306	185	953	142	296	661	209	107	547	2485	368	383	143	2127	181	445	255	355	218	203	220	1338	256	206	366	562	314	152					
2	Число полученных избирательных бюллетеней	20390	935	670	275	355	1500	435	115	465	1745	225	195	230	250	205	265	165	915	110	285	595	190	100	500	2300	365	330	130	1935	165	400	220	305	195	180	185	1225	225	190	335	510	330	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13447	575	486	165	215	950	322	77	288	999	145	142	189	168	175	160	132	789	91	261	355	132	91	328	1558	194	212	97	1169	125	298	152	201	144	149	128	724	140	115	251	309	168	78					
5	"Число избирательных бюллетеней, выданных вне помещения"	993	76	5	9	8	140	22	11	29	91	0	13	9	12	8	21	7	21	12	1	22	15	0	34	66	42	17	5	40	11	18	22	24	14	5	14	23	0	11	10	30	57	18					
6	Число погашенных избирательных бюллетеней	5950	284	179	101	132	410	91	27	148	655	80	40	32	70	22	84	26	105	7	23	218	43	9	138	676	129	101	28	726	29	84	46	80	37	26	43	478	85	64	74	171	105	44					
7	Число избирательных бюллетеней в переносных ящиках	993	76	5	9	8	140	22	11	29	91	0	13	9	12	8	21	7	21	12	1	22	15	0	34	66	42	17	5	40	11	18	22	24	14	5	14	23	0	11	10	30	57	18					
8	Число бюллетеней в стационарных ящиках для голосования	13446	575	486	165	215	950	322	77	288	999	144	142	189	168	175	160	132	789	91	261	355	132	91	328	1558	194	212	97	1169	125	298	152	201	144	149	128	724	140	115	251	309	168	78					
9	Число недействительных избирательных бюллетеней	180	5	5	0	5	24	4	1	1	15	0	0	1	2	0	1	4	6	0	2	4	4	0	3	25	7	4	0	17	0	1	0	8	4	1	3	9	0	3	3	1	4	3					
10	Число действительных избирательных бюллетеней	14259	646	486	174	218	1066	340	87	316	1075	144	155	197	178	183	180	135	804	103	260	373	143	91	359	1599	229	225	102	1192	136	315	174	217	154	153	139	738	140	123	258	338	221	93					
11	Число полученных открепительных  удостоверений	272	11	10	5	5	15	5	4	6	15	5	5	5	5	5	5	4	5	4	4	7	4	4	6	25	5	4	3	15	4	5	4	8	4	4	4	15	4	4	4	9	4	3					
12	Число выданных открепительных удостоверений	124	6	10	3	5	8	1	0	3	10	3	1	0	0	0	0	0	2	2	0	2	0	0	4	21	4	2	0	8	0	2	0	6	4	1	1	5	0	0	1	8	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	826	14	8	11	0	10	0	3	1	14	3	0	1	0	5	0	0	540	10	132	8	5	0	3	8	6	5	2	8	0	5	0	1	1	6	3	1	1	0	0	4	3	4					
14	Число неиспользованных открепительных удостоверений	148	5	0	2	0	7	4	4	3	5	2	4	5	5	5	5	4	3	2	4	5	4	4	2	4	1	2	3	7	4	3	4	2	0	3	3	10	4	4	3	1	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	1	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	316	10	7	9	5	20	8	1	5	21	2	2	4	0	0	5	2	17	3	2	10	2	0	3	70	5	2	2	34	5	7	1	4	5	4	1	12	1	1	4	14	6	0					
		2.19%	1.54%	1.43%	5.17%	2.24%	1.83%	2.33%	1.14%	1.58%	1.93%	1.39%	1.29%	2.02%	0.00%	0.00%	2.76%	1.44%	2.10%	2.91%	0.76%	2.65%	1.36%	0.00%	0.83%	4.31%	2.12%	0.87%	1.96%	2.81%	3.68%	2.22%	0.57%	1.78%	3.16%	2.60%	0.70%	1.61%	0.71%	0.79%	1.53%	4.13%	2.67%	0.00%					
19	. Малышкин Олег Александрович	329	22	8	0	2	27	13	6	5	31	7	6	10	7	9	3	5	10	3	2	5	2	2	6	41	4	1	2	21	0	15	6	1	11	3	5	7	3	1	2	9	3	3					
		2.28%	3.38%	1.63%	0.00%	0.90%	2.48%	3.78%	6.82%	1.58%	2.84%	4.86%	3.87%	5.05%	3.89%	4.92%	1.66%	3.60%	1.23%	2.91%	0.76%	1.33%	1.36%	2.20%	1.66%	2.52%	1.69%	0.44%	1.96%	1.74%	0.00%	4.75%	3.45%	0.44%	6.96%	1.95%	3.52%	0.94%	2.14%	0.79%	0.77%	2.65%	1.33%	3.12%					
20	. Миронов Сергей Михайлович	83	8	1	0	0	6	1	0	1	8	1	2	2	1	0	2	1	7	0	0	3	2	0	2	11	1	2	1	4	0	1	3	3	0	1	0	3	0	0	2	3	0	0					
		0.57%	1.23%	0.20%	0.00%	0.00%	0.55%	0.29%	0.00%	0.32%	0.73%	0.69%	1.29%	1.01%	0.56%	0.00%	1.10%	0.72%	0.86%	0.00%	0.00%	0.80%	1.36%	0.00%	0.55%	0.68%	0.42%	0.87%	0.98%	0.33%	0.00%	0.32%	1.72%	1.33%	0.00%	0.65%	0.00%	0.40%	0.00%	0.00%	0.77%	0.88%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10207	511	432	130	164	719	221	59	237	662	104	124	108	111	130	137	73	688	72	204	270	116	78	264	983	181	156	70	806	113	238	134	152	108	111	115	552	95	92	186	244	175	82					
		70.69%	78.49%	87.98%	74.71%	73.54%	65.96%	64.24%	67.05%	74.76%	60.73%	72.22%	80.00%	54.55%	61.67%	71.04%	75.69%	52.52%	84.94%	69.90%	77.86%	71.62%	78.91%	85.71%	72.93%	60.53%	76.69%	68.12%	68.63%	66.67%	83.09%	75.32%	77.01%	67.56%	68.35%	72.08%	80.99%	73.90%	67.86%	73.02%	71.26%	71.98%	77.78%	85.42%					
22	. Хакамада Ирина Муцуовна	295	16	11	2	3	32	9	1	8	20	7	1	1	0	0	2	1	11	2	6	12	3	0	5	43	4	5	0	23	1	7	5	2	2	1	4	23	2	2	1	5	11	1					
		2.04%	2.46%	2.24%	1.15%	1.35%	2.94%	2.62%	1.14%	2.52%	1.83%	4.86%	0.65%	0.51%	0.00%	0.00%	1.10%	0.72%	1.36%	1.94%	2.29%	3.18%	2.04%	0.00%	1.38%	2.65%	1.69%	2.18%	0.00%	1.90%	0.74%	2.22%	2.87%	0.89%	1.27%	0.65%	2.82%	3.08%	1.43%	1.59%	0.38%	1.47%	4.89%	1.04%					
23	. Харитонов Николай Михайлович	2710	71	18	31	37	238	83	19	54	312	21	19	68	54	41	30	48	56	21	42	66	12	11	71	368	33	56	22	278	16	42	23	49	25	32	10	130	38	26	63	54	16	6					
		18.77%	10.91%	3.67%	17.82%	16.59%	21.83%	24.13%	21.59%	17.03%	28.62%	14.58%	12.26%	34.34%	30.00%	22.40%	16.57%	34.53%	6.91%	20.39%	16.03%	17.51%	8.16%	12.09%	19.61%	22.66%	13.98%	24.45%	21.57%	22.99%	11.76%	13.29%	13.22%	21.78%	15.82%	20.78%	7.04%	17.40%	27.14%	20.63%	24.14%	15.93%	7.11%	6.25%					
																																																	
24	Против всех	319	8	9	2	7	24	5	1	6	21	2	1	4	5	3	1	5	15	2	4	7	6	0	8	83	1	3	5	26	1	5	2	6	3	1	4	11	1	1	0	9	10	1					
		2.21%	1.23%	1.83%	1.15%	3.14%	2.20%	1.45%	1.14%	1.89%	1.93%	1.39%	0.65%	2.02%	2.78%	1.64%	0.55%	3.60%	1.85%	1.94%	1.53%	1.86%	4.08%	0.00%	2.21%	5.11%	0.42%	1.31%	4.90%	2.15%	0.74%	1.58%	1.15%	2.67%	1.90%	0.65%	2.82%	1.47%	0.71%	0.79%	0.00%	2.65%	4.44%	1.04%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
