Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Район  Хорошево - Мневники																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №3200	УИК №3201	УИК №3202					
1	"Число избирателей, внесенных в списки"	100112	2884	2334	2457	2304	2465	2749	2667	2434	2240	2337	2138	1949	1940	2242	2302	2059	1146	1573	1991	2349	2521	2345	2501	2179	2224	1684	2658	2750	1905	2658	1080	1828	2478	2057	1936	2158	1418	2222	1604	2178	2096	1902	2893	1941	1936	1011	1245	144					
2	"Число бюллетеней, полученных участковыми комиссиями"	90300	2300	2000	2200	2100	2200	2400	2400	2100	1900	2100	1900	1700	1700	2000	2000	1800	1600	1400	1800	2100	2200	2100	2200	1900	1900	1500	2300	2400	1600	2400	1900	1600	2200	1800	1700	1900	1100	2000	1400	1900	1900	1700	2400	1700	1700	1500	1500	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	57912	1799	1383	1309	1255	1298	1479	1228	1254	1172	1269	1178	1058	1069	1219	1256	1234	1108	1015	1197	1418	1301	1364	1358	1272	1245	1024	1529	1580	1156	1492	1041	993	1334	1069	1057	1123	815	1279	975	1337	1117	1058	1586	1067	1170	1005	1223	144					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1422	5	19	25	49	22	32	24	38	23	22	41	24	37	60	41	19	38	27	30	25	48	48	32	29	43	36	37	23	27	38	39	32	53	34	20	35	22	35	23	40	29	30	18	29	21	0	0	0					
6	Число погашенных бюллетеней	30940	496	598	866	796	880	889	1148	808	705	809	675	611	594	721	703	547	451	358	573	657	851	688	810	599	612	440	734	797	417	870	820	575	813	697	623	738	259	686	402	523	754	612	796	602	509	495	277	56					
7	Число бюллетеней в переносных ящиках для голосования	1422	5	19	25	49	22	32	24	38	23	22	41	24	37	60	41	19	38	27	30	25	48	48	32	29	43	36	37	23	27	38	39	32	53	34	20	35	22	35	23	40	29	30	18	29	21	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	57687	1792	1366	1309	1254	1298	1479	1228	1253	1172	1269	1168	1024	1069	1219	1252	1215	1108	980	1197	1414	1301	1364	1358	1272	1245	1024	1529	1564	1135	1492	1030	992	1334	1069	1057	1123	815	1274	975	1322	1117	1055	1586	1067	1149	1005	1223	144					
9	Число недействительных бюллетеней	759	11	16	23	8	23	22	26	17	17	14	16	25	14	20	19	16	11	15	11	16	20	12	8	9	15	12	16	35	8	20	16	22	21	21	4	17	14	11	9	12	22	13	24	15	11	11	19	2					
10	Число действительных бюллетеней	58350	1786	1369	1311	1295	1297	1489	1226	1274	1178	1277	1193	1023	1092	1259	1274	1218	1135	992	1216	1423	1329	1400	1382	1292	1273	1048	1550	1552	1154	1510	1053	1002	1366	1082	1073	1141	823	1298	989	1350	1124	1072	1580	1081	1159	994	1204	142					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2475	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	0	0	0					
