Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Константиновская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25723	1027	1033	1047	1016	1016	1001	972	1109	219	390	246	1034	1001	1000	1019	995	1022	385	257	347	339	358	303	390	773	96	323	88	73	1334	1268	486	430	91	109	192	337	394	268	373	258	125	151	491	291	246									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25185	1000	1000	1000	1000	1000	1000	1000	1100	200	390	240	1000	1000	1000	1000	950	1000	380	250	340	330	350	300	380	750	90	320	85	65	1300	1200	450	430	90	100	180	330	390	270	370	250	125	150	490	290	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10465	458	372	375	371	377	381	409	447	96	111	128	425	311	399	377	385	420	163	151	222	183	203	139	127	301	60	127	41	34	461	382	137	264	65	80	99	173	189	117	184	105	57	71	209	159	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1246	21	22	50	22	20	21	15	19	21	28	12	20	23	11	33	32	5	25	32	42	10	11	40	37	45	8	29	1	10	68	37	69	34	9	12	7	23	54	25	45	16	29	36	61	26	30									
6	Число погашенных избирательных бюллетеней	13474	521	606	575	607	603	598	576	634	83	251	100	555	666	590	590	533	575	192	67	76	137	136	121	216	404	22	164	43	21	771	781	244	132	16	8	74	134	147	128	141	129	39	43	220	105	100									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1246	21	22	50	22	20	21	15	19	21	28	12	20	23	11	33	32	5	25	32	42	10	11	40	37	45	8	29	1	10	68	37	69	34	9	12	7	23	54	25	45	16	29	36	61	26	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10451	458	372	375	371	377	381	409	447	96	111	128	425	311	388	377	385	418	163	151	222	183	203	139	127	301	60	127	41	34	461	381	137	264	65	80	99	173	189	117	184	105	57	71	209	159	120									
9	Число недействительных избирательных бюллетеней	282	9	5	16	6	14	8	3	18	4	15	0	16	10	19	17	7	17	1	1	6	1	2	1	1	8	0	4	1	2	21	22	6	3	0	0	2	3	2	1	4	1	1	1	2	0	1									
10	Число действительных избирательных бюллетеней	11415	470	389	409	387	383	394	421	448	113	124	140	429	324	380	393	410	406	187	182	258	192	212	178	163	338	68	152	41	42	508	396	200	295	74	92	104	193	241	141	225	120	85	106	268	185	149									
