Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Алейская городская  																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15					
1	"Число избирателей, внесенных в списки"	25112	1749	668	2025	1641	1759	1645	1651	1684	2006	1826	2587	983	290	2306	2292					
2	"Число бюллетеней, полученных участковыми комиссиями"	22000	1500	500	2000	1500	1500	1500	1500	1500	1500	1500	2500	700	300	2000	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11447	708	335	578	574	725	741	722	790	993	761	1340	359	146	1229	1446					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	714	35	16	57	35	43	41	63	46	82	53	37	32	34	26	114					
6	Число погашенных бюллетеней	9839	757	149	1365	891	732	718	715	664	425	686	1123	309	120	745	440					
7	Число бюллетеней в переносных ящиках для голосования	714	35	16	57	35	43	41	63	46	82	53	37	32	34	26	114					
8	Число бюллетеней в стационарных ящиках для голосования	11445	708	335	578	574	725	741	722	788	993	761	1340	359	146	1229	1446					
9	Число недействительных бюллетеней	141	13	6	12	8	9	5	13	9	13	9	17	10	4	4	9					
10	Число действительных бюллетеней	12018	730	345	623	601	759	777	772	825	1062	805	1360	381	176	1251	1551					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	243	10	10	10	10	15	10	20	26	15	15	52	10	0	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	148	8	2	5	4	11	6	15	16	13	6	39	6	0	13	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	4	1	2	2	0	3	2	11	5	7	5	1	55	1	3					
14	Число погашенных открепительных удостоверений	95	2	8	5	6	4	4	5	10	2	9	13	4	0	7	16					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	165	11	9	5	3	2	6	14	8	18	4	22	4	9	17	33					
		1.35%	1.48%	2.56%	0.78%	0.49%	0.26%	0.76%	1.78%	0.95%	1.67%	0.49%	1.59%	1.02%	5.0%	1.35%	2.11%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	328	19	7	6	17	13	19	23	27	54	23	27	6	3	43	41					
		2.69%	2.55%	1.99%	0.94%	2.79%	1.69%	2.42%	2.92%	3.23%	5.02%	2.82%	1.96%	1.53%	1.66%	3.42%	2.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	235	20	11	12	13	17	11	12	14	16	16	44	15	6	16	12					
		1.93%	2.69%	3.13%	1.88%	2.13%	2.21%	1.40%	1.52%	1.67%	1.48%	1.96%	3.19%	3.83%	3.33%	1.27%	0.76%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	188	5	8	14	13	9	10	8	16	32	9	25	4	1	20	14					
		1.54%	0.67%	2.27%	2.20%	2.13%	1.17%	1.27%	1.01%	1.91%	2.97%	1.10%	1.81%	1.02%	0.55%	1.59%	0.89%					
22	"5. ""За Русь Святую"""	36	5	1	5	1	3	0	0	1	6	3	6	3	1	1	0					
		0.29%	0.67%	0.28%	0.78%	0.16%	0.39%	0.0%	0.0%	0.11%	0.55%	0.36%	0.43%	0.76%	0.55%	0.07%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	1	0	0	0	3	3	1	4	3	2	4	0	0	2	3					
		0.21%	0.13%	0.0%	0.0%	0.0%	0.39%	0.38%	0.12%	0.47%	0.27%	0.24%	0.29%	0.0%	0.0%	0.15%	0.19%					
24	"7. ""Новый курс - Автомобильная Россия"""	48	2	0	6	3	3	2	2	4	4	5	3	1	1	4	8					
		0.39%	0.26%	0.0%	0.94%	0.49%	0.39%	0.25%	0.25%	0.47%	0.37%	0.61%	0.21%	0.25%	0.55%	0.31%	0.51%					
25	"8. ""Народно-республиканская партия России"""	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0					
		0.02%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.55%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	2	0	1	1	2	0	4	3	2	0	1	0	0	4	5					
		0.20%	0.26%	0.0%	0.15%	0.16%	0.26%	0.0%	0.50%	0.35%	0.18%	0.0%	0.07%	0.0%	0.0%	0.31%	0.32%					
27	"10. ""Аграрная партия России"""	477	22	12	25	22	40	29	37	31	52	30	95	16	8	34	24					
		3.92%	2.96%	3.41%	3.93%	3.61%	5.20%	3.70%	4.71%	3.71%	4.83%	3.68%	6.89%	4.09%	4.44%	2.70%	1.53%					
28	"11. ""Истинные патриоты России"""	23	4	1	1	4	0	0	1	0	0	0	1	0	1	2	8					
		0.18%	0.53%	0.28%	0.15%	0.65%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.07%	0.0%	0.55%	0.15%	0.51%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	129	5	1	6	7	11	9	6	13	8	11	15	7	1	15	14					
		1.06%	0.67%	0.28%	0.94%	1.14%	1.43%	1.15%	0.76%	1.55%	0.74%	1.35%	1.08%	1.79%	0.55%	1.19%	0.89%					
30	"13. ""Демократическая партия России"""	34	4	0	0	2	8	5	2	1	2	0	1	4	2	2	1					
		0.27%	0.53%	0.0%	0.0%	0.32%	1.04%	0.63%	0.25%	0.11%	0.18%	0.0%	0.07%	1.02%	1.11%	0.15%	0.06%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	1	0	0	0	0	0	1	2	4	3	2	1	0	5	5					
		0.19%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.23%	0.37%	0.36%	0.14%	0.25%	0.0%	0.39%	0.32%					
32	"15. ""Партия СЛОН"""	11	1	0	0	0	2	1	1	0	0	0	1	1	1	2	1					
		0.09%	0.13%	0.0%	0.0%	0.0%	0.26%	0.12%	0.12%	0.0%	0.0%	0.0%	0.07%	0.25%	0.55%	0.15%	0.06%					
33	"16. ""Родина"" (народно-патриотический союз)"""	668	63	18	29	35	34	36	43	47	69	39	91	17	5	75	67					
		5.49%	8.47%	5.12%	4.56%	5.74%	4.42%	4.60%	5.47%	5.63%	6.41%	4.79%	6.60%	4.34%	2.77%	5.97%	4.29%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	1	1	2	2	1	2	0	1	3	2	4	0	1	0	6					
		0.21%	0.13%	0.28%	0.31%	0.32%	0.13%	0.25%	0.0%	0.11%	0.27%	0.24%	0.29%	0.0%	0.55%	0.0%	0.38%					
35	"18. ""ЛДПР"""	1797	150	71	92	91	141	118	106	123	119	115	159	71	24	189	228					
		14.77%	20.18%	20.22%	14.48%	14.94%	18.35%	15.08%	13.50%	14.74%	11.06%	14.12%	11.54%	18.15%	13.33%	15.05%	14.61%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	229	18	3	15	14	10	18	22	19	27	18	19	12	2	14	18					
		1.88%	2.42%	0.85%	2.36%	2.29%	1.30%	2.30%	2.80%	2.27%	2.51%	2.21%	1.37%	3.06%	1.11%	1.11%	1.15%					
37	"20. ""Политическая партия ""Единая Россия"""	4521	194	117	215	204	249	288	247	318	334	265	473	115	59	559	884					
		37.18%	26.11%	33.33%	33.85%	33.49%	32.42%	36.82%	31.46%	38.12%	31.06%	32.55%	34.35%	29.41%	32.77%	44.54%	56.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	1	0	1	0	1	1	0	0	1	1	2	3	0	3	2					
		0.13%	0.13%	0.0%	0.15%	0.0%	0.13%	0.12%	0.0%	0.0%	0.09%	0.12%	0.14%	0.76%	0.0%	0.23%	0.12%					
39	"22. ""Развитие предпринимательства"""	43	2	3	2	3	8	3	1	1	4	1	3	1	1	7	3					
		0.35%	0.26%	0.85%	0.31%	0.49%	1.04%	0.38%	0.12%	0.11%	0.37%	0.12%	0.21%	0.25%	0.55%	0.55%	0.19%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2622	178	69	165	153	189	205	216	180	273	227	328	95	40	193	111					
		21.56%	23.95%	19.65%	25.98%	25.12%	24.60%	26.21%	27.51%	21.58%	25.39%	27.88%	23.81%	24.29%	22.22%	15.37%	7.11%					
																						
41	Против всех	344	20	13	21	13	13	11	25	12	31	31	33	5	9	44	63					
		2.82%	2.69%	3.70%	3.30%	2.13%	1.69%	1.40%	3.18%	1.43%	2.88%	3.80%	2.39%	1.27%	5.0%	3.50%	4.03%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
