Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    район Восточное Дегунино																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59876	2353	2352	2647	2291	2295	2316	2084	2644	2673	2327	2728	2521	2671	2574	2415	2500	2527	2661	2515	2576	2180	2586	2792	2648									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50900	2000	2000	2200	2000	2000	2000	1800	2200	2200	2000	2400	2100	2200	2200	2000	2200	2200	2200	2200	2200	1800	2200	2400	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19268	815	744	890	703	685	718	623	813	871	678	830	754	852	937	867	808	809	892	798	786	721	839	888	947									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	541	37	35	25	27	30	23	35	14	16	18	16	32	12	10	25	18	18	17	29	32	22	16	20	14									
6	Число погашенных избирательных бюллетеней	31091	1148	1221	1285	1270	1285	1259	1142	1373	1313	1304	1554	1314	1336	1253	1108	1374	1373	1291	1373	1382	1057	1345	1492	1239									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	541	37	35	25	27	30	23	35	14	16	18	16	32	12	10	25	18	18	17	29	32	22	16	20	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19157	811	744	865	703	685	718	620	810	871	675	825	721	852	930	867	808	809	888	794	786	721	837	884	933									
9	Число недействительных избирательных бюллетеней	391	16	25	25	20	6	17	11	23	13	13	15	11	14	23	13	28	10	21	19	13	14	14	19	8									
10	Число действительных избирательных бюллетеней	19307	832	754	865	710	709	724	644	801	874	680	826	742	850	917	879	798	817	884	804	805	729	839	885	939									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	515	20	20	20	20	20	30	20	20	20	30	20	20	20	35	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	379	19	15	16	11	9	22	13	17	17	23	15	15	14	20	20	17	19	11	16	18	13	13	11	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	232	5	11	5	7	11	11	7	3	5	15	10	11	2	16	14	6	12	7	9	1	12	11	25	16									
14	Число погашенных неиспользованных открепительных удостоверений	136	1	5	4	9	11	8	7	3	3	7	5	5	6	15	0	3	1	9	4	2	7	7	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	3	1	2	0	1	1	1	2	6	2	3	2	1	3	2	1	3	2	2	1	4	3	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	636	24	35	31	33	19	13	30	34	17	21	19	30	22	38	31	16	29	19	26	29	25	28	36	31									
		3.23%	2.83%	4.49%	3.48%	4.52%	2.66%	1.75%	4.58%	4.13%	1.92%	3.03%	2.26%	3.98%	2.55%	4.04%	3.48%	1.94%	3.51%	2.10%	3.16%	3.55%	3.36%	3.28%	3.98%	3.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	338	17	15	17	11	8	11	9	17	17	6	16	8	13	16	14	12	19	21	18	15	15	14	17	12									
		1.72%	2.00%	1.93%	1.91%	1.51%	1.12%	1.48%	1.37%	2.06%	1.92%	0.87%	1.90%	1.06%	1.50%	1.70%	1.57%	1.45%	2.30%	2.32%	2.19%	1.83%	2.02%	1.64%	1.88%	1.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	591	25	27	32	27	25	24	22	31	26	17	23	14	30	27	30	20	22	16	31	21	28	25	22	26									
		3.00%	2.95%	3.47%	3.60%	3.70%	3.50%	3.24%	3.36%	3.76%	2.93%	2.45%	2.73%	1.86%	3.47%	2.87%	3.36%	2.42%	2.66%	1.77%	3.77%	2.57%	3.77%	2.93%	2.43%	2.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7401	309	261	327	270	268	295	254	298	325	292	333	286	293	351	286	308	318	379	299	280	306	348	369	346									
		37.57%	36.44%	33.50%	36.74%	36.99%	37.48%	39.81%	38.78%	36.17%	36.64%	42.14%	39.60%	37.98%	33.91%	37.34%	32.06%	37.29%	38.45%	41.88%	36.33%	34.23%	41.18%	40.80%	40.82%	36.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	285	10	10	10	11	12	7	10	22	9	14	9	9	14	14	13	14	17	15	9	10	9	14	10	13									
		1.45%	1.18%	1.28%	1.12%	1.51%	1.68%	0.94%	1.53%	2.67%	1.01%	2.02%	1.07%	1.20%	1.62%	1.49%	1.46%	1.69%	2.06%	1.66%	1.09%	1.22%	1.21%	1.64%	1.11%	1.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	61	4	1	0	1	4	2	1	2	2	2	2	4	3	0	6	1	1	5	2	3	4	3	2	6									
		0.31%	0.47%	0.13%	0.00%	0.14%	0.56%	0.27%	0.15%	0.24%	0.23%	0.29%	0.24%	0.53%	0.35%	0.00%	0.67%	0.12%	0.12%	0.55%	0.24%	0.37%	0.54%	0.35%	0.22%	0.63%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2897	109	123	122	112	102	111	98	116	145	105	135	118	147	122	138	100	107	131	115	147	98	121	142	133									
		14.71%	12.85%	15.79%	13.71%	15.34%	14.27%	14.98%	14.96%	14.08%	16.35%	15.15%	16.05%	15.67%	17.01%	12.98%	15.47%	12.11%	12.94%	14.48%	13.97%	17.97%	13.19%	14.19%	15.71%	14.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	458	9	18	29	22	18	9	15	21	23	21	18	27	20	22	34	19	21	13	14	16	12	17	16	24									
		2.33%	1.06%	2.31%	3.26%	3.01%	2.52%	1.21%	2.29%	2.55%	2.59%	3.03%	2.14%	3.59%	2.31%	2.34%	3.81%	2.30%	2.54%	1.44%	1.70%	1.96%	1.62%	1.99%	1.77%	2.53%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	568	33	21	37	15	19	12	15	27	34	11	17	31	27	31	23	30	21	23	21	22	21	16	30	31									
		2.88%	3.89%	2.70%	4.16%	2.05%	2.66%	1.62%	2.29%	3.28%	3.83%	1.59%	2.02%	4.12%	3.13%	3.30%	2.58%	3.63%	2.54%	2.54%	2.55%	2.69%	2.83%	1.88%	3.32%	3.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	44	0	1	7	0	2	1	1	1	3	1	0	0	5	6	1	0	6	1	1	1	1	2	0	3									
		0.22%	0.00%	0.13%	0.79%	0.00%	0.28%	0.13%	0.15%	0.12%	0.34%	0.14%	0.00%	0.00%	0.58%	0.64%	0.11%	0.00%	0.73%	0.11%	0.12%	0.12%	0.13%	0.23%	0.00%	0.32%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1406	85	58	62	40	68	46	50	60	83	29	49	61	80	71	80	73	53	57	46	38	53	51	60	53									
		7.14%	10.02%	7.45%	6.97%	5.48%	9.51%	6.21%	7.63%	7.28%	9.36%	4.18%	5.83%	8.10%	9.26%	7.55%	8.97%	8.84%	6.41%	6.30%	5.59%	4.65%	7.13%	5.98%	6.64%	5.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2751	129	107	99	112	105	108	76	93	123	94	125	85	129	144	123	125	124	119	137	123	95	117	100	159									
		13.97%	15.21%	13.74%	11.12%	15.34%	14.69%	14.57%	11.60%	11.29%	13.87%	13.56%	14.86%	11.29%	14.93%	15.32%	13.79%	15.13%	14.99%	13.15%	16.65%	15.04%	12.79%	13.72%	11.06%	16.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	123	5	4	13	1	5	6	1	5	7	6	4	4	5	8	4	8	7	3	6	4	4	2	5	6									
		0.62%	0.59%	0.51%	1.46%	0.14%	0.70%	0.81%	0.15%	0.61%	0.79%	0.87%	0.48%	0.53%	0.58%	0.85%	0.45%	0.97%	0.85%	0.33%	0.73%	0.49%	0.54%	0.23%	0.55%	0.63%									
