Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Лиманская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
1	"Число избирателей, внесенных в список"	25137	1634	1935	2088	1579	374	1453	1123	1212	1598	739	108	174	182	1131	579	194	1002	1988	1583	948	565	233	1431	457	570	257					
2	Число полученных избирательных бюллетеней	24998	1640	1940	2110	1500	365	1430	1110	1210	1615	735	107	169	167	1110	580	195	1000	1980	1565	955	555	235	1440	455	575	255					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13216	743	1002	1132	816	234	849	676	602	846	382	70	121	115	612	327	135	506	991	734	387	353	99	753	311	288	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	1587	51	75	41	98	8	87	64	129	64	41	18	14	5	69	55	19	60	95	151	74	62	50	127	36	64	30					
6	Число погашенных избирательных бюллетеней	10195	846	863	937	586	123	494	370	479	705	312	19	34	47	429	198	41	434	894	680	494	140	86	560	108	223	93					
7	Число избирательных бюллетеней в переносных ящиках	1587	51	75	41	98	8	87	64	129	64	41	18	14	5	69	55	19	60	95	151	74	62	50	127	36	64	30					
8	Число бюллетеней в стационарных ящиках для голосования	13214	743	1002	1132	816	234	849	676	602	845	382	70	121	115	612	327	135	506	991	734	387	353	99	753	311	287	132					
9	Число недействительных избирательных бюллетеней	147	4	12	10	6	4	5	2	17	9	8	0	0	1	8	10	1	8	8	9	4	4	0	10	0	6	1					
10	Число действительных избирательных бюллетеней	14654	790	1065	1163	908	238	931	738	714	900	415	88	135	119	673	372	153	558	1078	876	457	411	149	870	347	345	161					
11	Число полученных открепительных  удостоверений	244	14	15	25	15	5	14	14	10	15	10	5	5	5	15	5	5	5	8	5	5	14	5	10	5	5	5					
12	Число выданных открепительных удостоверений	156	6	13	20	14	0	10	10	7	13	7	0	0	1	13	5	1	3	6	1	0	10	2	7	5	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	4	11	1	3	1	6	5	3	3	3	2	3	2	3	2	2	1	6	1	2	2	0	3	1	1	0					
14	Число неиспользованных открепительных удостоверений	88	8	2	5	1	5	4	4	3	2	3	5	5	4	2	0	4	2	2	4	5	4	3	3	0	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
