Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Павловская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943	УИК №3944					
1	"Число избирателей, внесенных в списки"	54021	2792	1518	974	535	882	1458	1687	1956	329	1730	483	173	211	2236	1080	921	1577	2078	2528	1402	2207	2472	1498	2489	1643	1754	1094	1986	1027	1470	280	229	818	178	317	1157	454	776	153	208	237	564	2512	1948					
2	"Число бюллетеней, полученных участковыми комиссиями"	49070	2500	1400	900	500	800	1300	1500	1800	300	1600	450	160	200	2100	1000	800	1400	1900	2300	1200	2000	2200	1400	2200	1500	1600	1000	1800	900	1300	290	220	750	170	300	1100	400	700	150	200	230	550	2200	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28552	1443	916	620	352	604	517	807	860	178	1163	334	134	165	1308	675	490	794	941	1100	670	1022	1239	757	1236	708	859	587	911	498	716	160	148	488	112	182	750	282	459	122	133	157	390	1439	1126					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1547	95	61	40	22	29	83	51	47	74	20	34	22	15	75	60	27	24	30	35	104	51	28	30	27	32	9	15	23	14	18	16	0	16	10	34	54	33	49	18	25	20	26	11	40					
6	Число погашенных бюллетеней	18971	962	423	240	126	167	700	642	893	48	417	82	4	20	717	265	283	582	929	1165	426	927	933	613	937	760	732	398	866	388	566	114	72	246	48	84	296	85	192	10	42	53	134	750	634					
7	Число бюллетеней в переносных ящиках для голосования	1546	95	61	40	22	29	83	50	47	74	20	34	22	15	75	60	27	24	30	35	104	51	28	30	27	32	9	15	23	14	18	16	0	16	10	34	54	33	49	18	25	20	26	11	40					
8	Число бюллетеней в стационарных ящиках для голосования	28527	1443	914	620	352	604	515	807	860	178	1162	334	134	165	1308	675	488	794	941	1095	669	1020	1238	757	1231	708	859	587	911	498	716	160	148	488	112	182	750	282	459	122	133	157	390	1435	1126					
9	Число недействительных бюллетеней	284	9	22	10	2	18	2	7	15	4	7	6	7	3	7	11	5	6	2	5	11	8	5	0	12	14	9	2	4	7	7	0	3	2	1	5	4	1	0	0	1	6	7	23	4					
10	Число действительных бюллетеней	29789	1529	953	650	372	615	596	850	892	248	1175	362	149	177	1376	724	510	812	969	1125	762	1063	1261	787	1246	726	859	600	930	505	727	176	145	502	121	211	800	314	508	140	157	171	409	1423	1162					
