Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Ильинская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516					
1	"Число избирателей, внесенных в списки"	8636	1334	114	398	538	127	411	2100	1033	74	405	188	288	219	112	518	228	549					
2	"Число бюллетеней, полученных участковыми комиссиями"	8709	1332	111	397	541	128	416	2115	1038	83	415	193	289	228	112	525	236	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4261	621	54	178	269	64	177	1157	546	32	188	82	149	117	59	227	110	231					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	930	181	8	89	63	14	134	74	4	5	72	30	40	27	6	81	55	47					
6	Число погашенных бюллетеней	3518	530	49	130	209	50	105	884	488	46	155	81	100	84	47	217	71	272					
7	Число бюллетеней в переносных ящиках для голосования	930	181	8	89	63	14	134	74	4	5	72	30	40	27	6	81	55	47					
8	Число бюллетеней в стационарных ящиках для голосования	4261	621	54	178	269	64	177	1157	546	32	188	82	149	117	59	227	110	231					
9	Число недействительных бюллетеней	85	11	0	3	8	3	2	20	3	1	3	0	7	7	0	3	5	9					
10	Число действительных бюллетеней	5106	791	62	264	324	75	309	1211	547	36	257	112	182	137	65	305	160	269					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	84	6	2	4	6	2	3	10	8	11	7	2	5	3	2	5	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	6	1	1	2	0	1	9	5	9	7	0	4	1	1	2	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	8	1	2	4	2	1	16	2	2	0	1	2	1	0	2	3	1					
14	Число погашенных открепительных удостоверений	30	0	1	3	4	2	2	1	3	2	0	2	1	2	1	3	0	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	62	8	0	5	6	1	4	9	4	0	3	2	5	2	1	5	3	4					
