Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №30																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67074	2040	1556	1492	1260	2452	1953	2300	2653	1460	931	2292	1823	1558	1323	2108	1871	2067	662	1514	2099	2290	1912	1528	2109	2047	2400	2449	2139	1385	1379	2175	1873	2134	1852	1986	1688	202	112									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62600	2500	1500	1100	1000	2000	1500	2000	2000	1100	800	2000	1500	1500	1000	2000	1500	2000	2000	1100	2000	2000	1500	1500	2000	3000	4000	2000	2000	1000	1000	2000	1500	1500	1500	1500	1500	500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21432	1263	486	492	398	975	736	799	833	475	279	672	632	503	446	561	601	677	645	511	577	564	534	433	573	586	541	713	626	459	431	680	529	657	425	516	487	5	112									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1531	4	26	13	27	5	24	50	215	18	9	123	22	13	11	30	15	36	17	4	83	47	12	12	14	4	229	18	11	7	10	9	54	83	7	63	9	197	0									
6	Число погашенных избирательных бюллетеней	39637	1233	988	595	575	1020	740	1151	952	607	512	1205	846	984	543	1409	884	1287	1338	585	1340	1389	954	1055	1413	2410	3230	1269	1363	534	559	1311	917	760	1068	921	1004	298	388									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1513	4	26	13	27	5	24	50	215	18	9	123	22	13	11	12	15	36	17	4	83	47	12	12	14	4	229	18	11	7	10	9	54	83	7	63	9	197	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21247	1263	483	478	396	967	696	799	833	474	278	672	628	503	446	561	601	648	628	511	570	551	533	433	570	584	508	712	626	459	431	680	527	657	424	514	486	5	112									
9	Число недействительных избирательных бюллетеней	1110	463	14	11	3	20	10	15	16	15	8	13	14	8	4	12	11	36	7	10	19	12	11	4	9	215	28	10	19	11	11	15	10	19	2	12	8	3	2									
10	Число действительных избирательных бюллетеней	21650	804	495	480	420	952	710	834	1032	477	279	782	636	508	453	561	605	648	638	505	634	586	534	441	575	373	709	720	618	455	430	674	571	721	429	565	487	199	110									
