Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Износковская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
1	"Число избирателей, внесенных в список избирателей"	4368	188	340	254	1183	112	148	200	228	1249	296	170					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4578	186	347	259	1283	116	145	211	237	1314	307	173					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2540	103	156	139	748	79	56	152	106	765	180	56					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1024	66	119	100	154	26	70	31	109	190	87	72					
6	Число погашенных избирательных бюллетеней	1014	17	72	20	381	11	19	28	22	359	40	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1024	66	119	100	154	26	70	31	109	190	87	72					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2540	103	156	139	748	79	56	152	106	765	180	56					
9	Число недействительных избирательных бюллетеней	52	0	1	3	21	2	0	5	1	16	3	0					
10	Число действительных избирательных бюллетеней	3512	169	274	236	881	103	126	178	214	939	264	128					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	322	12	17	12	115	6	6	10	16	103	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	322	12	17	12	115	6	6	10	16	103	20	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	114	10	6	4	28	9	8	5	6	21	11	6					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	0	0	0	2	6	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	586	45	52	31	158	17	13	33	13	150	59	15					
		16.44%	26.63%	18.91%	12.97%	17.52%	16.19%	10.32%	18.03%	6.05%	15.71%	22.10%	11.72%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	534	14	39	48	192	12	12	39	20	131	21	6					
		14.98%	8.28%	14.18%	20.08%	21.29%	11.43%	9.52%	21.31%	9.30%	13.72%	7.87%	4.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	2	7	1	9	0	0	0	1	12	5	1					
		1.07%	1.18%	2.55%	0.42%	0.99%	0.00%	0.00%	0.00%	0.47%	1.26%	1.87%	0.78%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	615	20	26	25	189	22	21	20	35	197	35	25					
		17.26%	11.83%	9.45%	10.46%	20.95%	20.95%	16.67%	10.93%	16.28%	20.63%	13.11%	19.53%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	74	1	10	1	23	3	5	1	7	19	1	3					
		2.08%	0.59%	3.64%	0.42%	2.55%	2.86%	3.97%	0.55%	3.26%	1.99%	0.37%	2.34%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1651	87	140	129	307	47	75	84	137	428	140	77					
		46.32%	51.48%	50.91%	53.97%	34.04%	44.76%	59.52%	45.90%	63.72%	44.82%	52.43%	60.16%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	0	0	1	3	2	0	1	1	2	3	1					
		0.39%	0.00%	0.00%	0.42%	0.33%	1.90%	0.00%	0.55%	0.47%	0.21%	1.12%	0.78%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
