Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
"Наименование Избирательной комиссии:    Томск, Октябрьская"																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №40	УИК №45	УИК №56	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150					
1	"Число избирателей, внесенных в списки"	108143	1823	2031	1741	1642	707	1160	1189	2019	1607	1495	903	1676	1100	1209	922	1581	1254	1600	1003	619	1876	1881	2034	1969	1728	1270	1781	2355	2482	1890	2142	1891	1601	2196	1395	1578	2188	2302	1953	1758	1832	1944	1796	1860	2431	2387	1798	1123	1802	1756	1829	1764	839	233	1770	1904	2105	1210	1780	862	1656	1222	1918	1541	1329	1901					
2	"Число бюллетеней, полученных участковыми комиссиями"	102500	1800	1800	1700	1600	700	1100	1100	1900	1500	1400	900	1600	1100	1100	900	1500	1100	1500	900	600	1800	1800	1900	1800	1600	1200	1700	2200	2300	1800	2000	1800	1600	2100	1400	1500	2100	2200	1800	1700	1700	1700	1600	1700	2300	2200	1700	1000	1700	1700	1700	1700	700	300	1700	1800	2000	1500	1700	1000	1600	1100	1800	1500	1200	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	51243	842	980	868	703	242	495	502	886	556	548	297	1054	512	463	296	778	412	656	403	313	958	933	1002	914	630	613	752	1087	1124	818	1051	862	755	1032	707	734	1042	1198	1058	820	980	962	992	929	1154	1162	975	551	727	739	920	833	450	233	904	779	1034	978	878	854	623	421	998	852	623	796					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1786	18	25	9	25	14	61	31	29	19	38	26	10	77	16	34	16	38	36	21	9	31	26	23	22	42	27	93	18	29	27	19	27	48	22	17	17	32	15	21	40	18	35	14	9	37	26	28	69	30	62	7	6	2	0	22	19	27	2	16	8	49	33	23	8	21	67					
6	Число погашенных бюллетеней	49471	940	795	823	872	444	544	567	985	925	814	577	536	511	621	570	706	650	808	476	278	811	841	875	864	928	560	855	1095	1147	955	930	911	797	1046	676	749	1026	987	721	840	702	703	594	762	1109	1012	697	380	943	899	773	861	248	67	774	1002	939	520	806	138	928	646	779	640	556	937					
7	Число бюллетеней в переносных ящиках для голосования	1786	18	25	9	25	14	61	31	29	19	38	26	10	77	16	34	16	38	36	21	9	31	26	23	22	42	27	93	18	29	27	19	27	48	22	17	17	32	15	21	40	18	35	14	9	37	26	28	69	30	62	7	6	2	0	22	19	27	2	16	8	49	33	23	8	21	67					
8	Число бюллетеней в стационарных ящиках для голосования	51222	842	980	868	703	242	495	502	886	556	546	297	1054	512	462	296	778	412	656	403	313	958	933	1002	914	630	613	752	1084	1124	817	1050	862	755	1032	705	734	1042	1197	1058	820	979	962	991	929	1154	1160	975	551	726	739	918	833	450	233	904	779	1034	978	877	854	623	421	998	852	621	796					
9	Число недействительных бюллетеней	577	5	8	5	4	3	5	7	5	7	5	3	5	6	4	5	5	3	7	6	4	10	4	7	7	15	5	9	7	11	6	10	5	10	12	7	10	7	18	4	9	12	0	10	9	14	10	11	7	21	10	14	12	3	1	10	8	9	15	6	56	8	8	19	12	11	6					
10	Число действительных бюллетеней	52431	855	997	872	724	253	551	526	910	568	579	320	1059	583	474	325	789	447	685	418	318	979	955	1018	929	657	635	836	1095	1142	838	1059	884	793	1042	715	741	1067	1194	1075	851	985	997	995	929	1177	1176	992	613	735	791	911	827	449	232	916	790	1052	965	887	806	664	446	1002	848	631	857					
