Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																					
Дата голосования: 18.09.2016																																																																																																																																					
																																																																																																																																					
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																					
																																																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																					
																																																																																																																																					
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №980	УИК №981	УИК №982	УИК №983	УИК №5801	УИК №5802	УИК №5803	УИК №5804	УИК №5805	УИК №5806	УИК №5807	УИК №5809	УИК №5810	УИК №5811	УИК №5812	УИК №5813	УИК №5814	УИК №5815	УИК №5816	УИК №5817	УИК №5818	УИК №5819	УИК №5820	УИК №5821	УИК №5822	УИК №5823	УИК №5824	УИК №5825	УИК №5827	УИК №5828	УИК №5829	УИК №5830	УИК №5831	УИК №5832	УИК №5833	УИК №5834	УИК №5836	УИК №5837	УИК №5838	УИК №5839	УИК №5840	УИК №5841	УИК №5842	УИК №5843	УИК №5844	УИК №5845	УИК №5846	УИК №5847	УИК №5849	УИК №5850	УИК №5851	УИК №5852	УИК №5853	УИК №5855	УИК №5856	УИК №5857	УИК №5858	УИК №5859	УИК №5860	УИК №5861	УИК №5862	УИК №5863	УИК №5864	УИК №5865	УИК №5866	УИК №5867	УИК №5870	УИК №5871	УИК №5872	УИК №5873	УИК №5875	УИК №5876	УИК №5878	УИК №5879	УИК №5881	УИК №5882	УИК №5883	УИК №5884	УИК №5885	УИК №5886	УИК №5887	УИК №5889	УИК №5890	УИК №5891	УИК №5892	УИК №5894	УИК №5895	УИК №5896	УИК №5897	УИК №5898	УИК №5899	УИК №5900	УИК №5901	УИК №5902	УИК №5903	УИК №5904									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46048	2831	2390	2374	2265	2137	2114	1324	1134	1113	921	601	1377	1066	2113	1553	1324	1424	1955	920	1854	1892	2264	628	1701	1435	306	82	200	1126	291	21	68	21	35	25	25	40	46	21	16	16	21	19	22	19	12	13	89	24	18	24	28	27	28	89	21	18	23	31	84	17	31	84	18	21	22	21	20	20	369	18	14	91	19	28	24	23	23	23	20	37	22	73	68	26	26	18	19	20	28	32	35	25	13	112	156	9	28	18	18	10	17	23	94	98	52	58	24	27	30	28	23	21	22	20	17	11	17	18	46	22	22									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37533	2100	1800	1800	1700	1600	1600	950	850	800	900	850	1000	800	1600	1200	1000	1100	1500	700	1400	1400	1650	500	1150	1000	250	300	200	1000	1500	21	68	21	35	25	25	40	46	21	16	16	21	19	22	19	12	13	89	24	18	24	28	27	28	89	21	18	23	31	84	17	31	84	18	21	22	21	20	20	369	18	14	91	19	28	24	23	23	23	20	37	22	73	68	26	26	18	19	20	28	32	35	25	13	112	156	9	28	18	18	10	17	23	94	98	52	58	24	27	30	28	23	21	22	20	17	11	17	18	46	22	22									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16469	738	695	626	599	578	779	401	333	337	234	243	352	374	644	567	469	461	644	287	542	654	587	105	342	456	145	58	200	516	269	21	68	21	35	25	25	40	46	21	16	16	21	19	22	19	12	11	76	24	18	24	25	26	28	40	21	18	23	31	84	17	31	84	18	21	22	21	20	20	365	18	14	91	19	28	24	23	23	23	20	37	21	73	68	26	26	18	19	20	28	32	35	25	13	112	156	9	26	17	18	10	17	23	86	88	47	58	24	27	30	28	23	21	22	20	17	11	17	18	46	22	22									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	174	4	8	7	6	5	9	4	4	13	2	0	7	6	5	5	9	6	4	6	5	9	13	6	23	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	20890	1358	1097	1167	1095	1017	812	545	513	450	664	607	641	420	951	628	522	633	852	407	853	737	1050	389	785	537	105	242	0	484	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	3	1	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	8	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	173	4	8	6	6	5	9	4	4	13	2	0	7	6	5	5	9	6	4	6	5	9	13	6	23	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16442	738	695	625	599	578	779	401	333	337	233	243	350	371	644	565	469	460	644	287	542	645	587	105	342	456	145	58	200	516	269	21	68	21	35	25	25	40	41	21	16	16	21	19	22	19	12	11	76	24	18	24	25	26	28	40	21	18	23	31	84	17	31	84	18	21	22	21	20	20	365	18	14	91	19	28	21	23	23	23	20	37	21	73	68	26	26	18	19	20	28	32	35	25	13	112	156	9	26	17	18	10	17	23	86	88	47	58	24	27	30	28	23	21	22	20	17	11	17	18	46	22	22									
9	Число недействительных избирательных бюллетеней	507	12	14	19	19	10	14	13	4	5	11	8	9	8	18	13	13	13	14	1	9	24	22	0	13	17	9	1	3	31	7	2	9	2	4	0	0	1	2	0	0	0	2	1	0	0	1	0	0	0	0	0	0	6	28	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	4	0	0	0	1	0	3	1	0	0	0	1	0	9	0	0	0	0	0	1	0	0	0	11	0	8	0	0	0	0	0	0	0	0	4	9	11	10	2	0	0	0	0	0	0	0	1	0	0	2	5	0	0									
10	Число действительных избирательных бюллетеней	16108	730	689	612	586	573	774	392	333	345	224	235	348	369	631	557	465	453	634	292	538	630	578	111	352	446	136	57	197	485	263	19	59	19	31	25	25	39	39	21	16	16	19	18	22	19	11	11	76	24	18	24	25	20	0	40	21	18	23	31	84	17	31	72	18	21	22	21	20	20	361	18	14	91	18	28	18	22	23	23	20	36	21	64	68	26	26	18	19	19	28	32	35	14	13	104	156	9	26	17	18	10	17	23	82	79	36	48	22	27	30	28	23	21	22	20	16	11	17	16	41	22	22									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1090	70	60	60	55	55	55	40	35	35	30	20	40	30	50	40	35	45	50	30	45	45	55	20	40	40	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	232	12	11	17	18	16	11	7	1	5	5	6	14	3	12	9	9	11	5	5	11	10	16	1	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
