Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Советская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579					
1	"Число избирателей, внесенных в список избирателей"	21987	1345	1544	1908	1956	2215	1875	2518	1953	210	909	798	1116	344	474	976	883	833	130					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22105	1360	1550	1925	1980	2220	1850	2525	1965	215	910	815	1135	350	480	970	890	835	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17978	1121	1317	1413	1338	1802	1606	2274	1671	185	631	661	892	311	395	822	717	713	109					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1080	70	31	44	65	47	114	62	76	13	76	81	115	20	41	60	73	85	7					
6	Число погашенных избирательных бюллетеней	3047	169	202	468	577	371	130	189	218	17	203	73	128	19	44	88	100	37	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1080	70	31	44	65	47	114	62	76	13	76	81	115	20	41	60	73	85	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17975	1121	1317	1413	1338	1802	1606	2274	1671	185	631	661	889	311	395	822	717	713	109					
9	Число недействительных избирательных бюллетеней	97	0	6	16	20	2	2	6	3	1	16	5	4	0	0	1	8	7	0					
10	Число действительных избирательных бюллетеней	18958	1191	1342	1441	1383	1847	1718	2330	1744	197	691	737	1000	331	436	881	782	791	116					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	637	26	23	49	63	32	47	50	40	15	57	40	35	15	15	50	35	35	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	636	26	22	49	63	32	47	50	40	15	57	40	35	15	15	50	35	35	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	4	7	3	8	10	11	2	2	0	8	0	3	2	2	1	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	1	3	3	7	6	6	1	23	3	0	0	1	0	0	3	5	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1791	172	68	230	202	241	239	112	123	24	64	43	43	34	27	77	67	18	7					
		9.40%	14.44%	5.04%	15.79%	14.40%	13.03%	13.90%	4.79%	7.04%	12.12%	9.05%	5.80%	4.28%	10.27%	6.19%	8.73%	8.48%	2.26%	6.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	712	94	49	102	133	55	58	92	7	2	26	18	18	4	5	37	0	8	4					
		3.74%	7.89%	3.64%	7.00%	9.48%	2.97%	3.37%	3.94%	0.40%	1.01%	3.68%	2.43%	1.79%	1.21%	1.15%	4.20%	0.00%	1.00%	3.45%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	73	6	9	9	16	3	5	6	1	0	3	1	7	2	2	3	0	0	0					
		0.38%	0.50%	0.67%	0.62%	1.14%	0.16%	0.29%	0.26%	0.06%	0.00%	0.42%	0.13%	0.70%	0.60%	0.46%	0.34%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1338	116	43	173	173	52	196	56	185	0	64	37	70	2	4	71	36	51	9					
		7.02%	9.74%	3.19%	11.87%	12.33%	2.81%	11.40%	2.40%	10.59%	0.00%	9.05%	4.99%	6.97%	0.60%	0.92%	8.05%	4.56%	6.39%	7.76%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	79	2	4	18	13	9	10	8	2	0	2	4	5	0	0	2	0	0	0					
		0.41%	0.17%	0.30%	1.24%	0.93%	0.49%	0.58%	0.34%	0.11%	0.00%	0.28%	0.54%	0.50%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14930	796	1166	903	838	1486	1208	2051	1426	171	531	633	855	289	398	690	679	714	96					
		78.35%	66.83%	86.50%	61.98%	59.73%	80.37%	70.23%	87.80%	81.63%	86.36%	75.11%	85.31%	85.16%	87.31%	91.28%	78.23%	85.95%	89.47%	82.76%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	35	5	3	6	8	1	2	5	0	0	1	1	2	0	0	1	0	0	0					
		0.18%	0.42%	0.22%	0.41%	0.57%	0.05%	0.12%	0.21%	0.00%	0.00%	0.14%	0.13%	0.20%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
