Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Беломорская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №202	УИК №203	УИК №205	УИК №206	УИК №207					
1	"Число избирателей, внесенных в списки избирателей"	16503	343	1012	654	2095	2191	1880	917	800	656	481	152	266	211	413	204	139	259	1612	367	1301	341	209					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13350	250	800	500	1700	1700	1500	700	600	500	440	140	240	180	350	170	110	240	1400	330	1000	320	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9343	171	525	305	1237	1192	1091	466	367	355	339	128	194	132	289	120	99	172	810	275	701	248	127					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	993	20	27	56	34	47	62	23	50	47	59	7	20	28	14	32	11	45	164	51	121	59	16					
6	Число погашенных избирательных бюллетеней	3014	59	248	139	429	461	347	211	183	98	42	5	26	20	47	18	0	23	426	4	178	13	37					
7	Число избирательных бюллетеней в переносных ящиках для голосования	993	20	27	56	34	47	62	23	50	47	59	7	20	28	14	32	11	45	164	51	121	59	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9336	171	524	305	1237	1192	1091	466	365	355	339	128	194	132	289	120	99	172	807	275	700	248	127					
9	Число недействительных избирательных бюллетеней	110	5	8	6	11	16	15	5	7	3	4	2	1	4	0	0	0	0	7	2	10	3	1					
10	Число действительных избирательных бюллетеней	10219	186	543	355	1260	1223	1138	484	408	399	394	133	213	156	303	152	110	217	964	324	811	304	142					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	292	2	10	5	36	20	15	14	10	5	10	10	10	10	20	10	10	10	20	15	20	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	160	1	4	2	36	20	13	3	10	4	2	0	0	2	13	2	0	7	12	13	11	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	82	6	6	3	11	5	6	0	1	4	1	0	3	3	4	7	4	2	3	6	3	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	132	1	6	3	0	0	2	11	0	1	8	10	10	8	7	8	10	3	8	2	9	16	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	4	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	142	4	4	3	24	28	13	4	5	5	1	1	8	0	1	2	0	2	14	4	10	4	5					
		1.37%	2.09%	0.73%	0.83%	1.89%	2.26%	1.13%	0.82%	1.20%	1.24%	0.25%	0.74%	3.74%	0.00%	0.33%	1.32%	0.00%	0.92%	1.44%	1.23%	1.22%	1.30%	3.50%					
