Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Поныровская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9605	1403	1497	1335	287	264	300	313	932	498	318	311	371	228	246	619	288	395									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8650	1300	1400	1200	260	240	260	270	800	400	280	270	340	200	230	550	280	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4234	591	756	495	140	129	178	129	447	198	159	129	152	112	119	196	124	180									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1264	62	103	93	58	44	37	90	106	87	54	90	45	52	76	129	51	87									
6	Число погашенных избирательных бюллетеней	3152	647	541	612	62	67	45	51	247	115	67	51	143	36	35	225	105	103									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1264	62	103	93	58	44	37	90	106	87	54	90	45	52	76	129	51	87									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4234	591	756	495	140	129	178	129	447	198	159	129	152	112	119	196	124	180									
9	Число недействительных избирательных бюллетеней	97	20	16	13	1	3	3	6	15	3	1	0	0	2	5	4	0	5									
10	Число действительных избирательных бюллетеней	5401	633	843	575	197	170	212	213	538	282	212	219	197	162	190	321	175	262									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	487	90	100	100	24	10	10	10	40	10	10	10	20	5	5	11	10	22									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	487	90	100	100	24	10	10	10	40	10	10	10	20	5	5	11	10	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	3	1	3	3	0	2	0	5	1	1	0	0	1	4	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	10	20	7	6	0	0	4	5	2	1	0	5	0	0	10	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	5	9	5	1	1	0	2	5	4	1	3	4	1	3	2	0	0									
